company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,saleofplantpropertyandequipment
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:36:36+00:00,0.0,4100000.0,344100000.0,287900000.0,31600000.0,178300000.0,5100000.0,102000000.0,-108600000.0,-582300000.0,724700000.0,-108600000.0,-582300000.0,724700000.0,33800000.0,213900000.0,213900000.0,44600000.0,25900000.0,-170800000.0,-639800000.0,-44900000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2010.0,Q3,2010-07-01,2010-09-30,,,,,78800000.0,500000.0,119200000.0,2600000.0,-22000000.0,-97500000.0,-114100000.0,265400000.0,-97500000.0,-114100000.0,265400000.0,53800000.0,51100000.0,51100000.0,16300000.0,-14800000.0,-44000000.0,-99800000.0,-34100000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 13:06:15+00:00,,,,233700000.0,25500000.0,165500000.0,5600000.0,543500000.0,-124000000.0,-363400000.0,593000000.0,-124000000.0,-363400000.0,593000000.0,105600000.0,182800000.0,182800000.0,11000000.0,-14000000.0,-131400000.0,-374900000.0,-541700000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 13:58:19+00:00,,,,154900000.0,25000000.0,46300000.0,3000000.0,565500000.0,-26500000.0,-249300000.0,327600000.0,-26500000.0,-249300000.0,327600000.0,51800000.0,131700000.0,131700000.0,-5300000.0,800000.0,-87400000.0,-275100000.0,-507600000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 16:21:40+00:00,,9400000.0,320600000.0,324600000.0,3500000.0,115400000.0,7000000.0,0.0,-342400000.0,-435200000.0,754900000.0,-342400000.0,-435200000.0,754100000.0,-23500000.0,272600000.0,272600000.0,42300000.0,15400000.0,-183200000.0,-454100000.0,-166200000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-02 12:05:27+00:00,,,,237800000.0,3400000.0,194700000.0,6600000.0,0.0,-293600000.0,-279700000.0,671600000.0,-293600000.0,-279700000.0,671600000.0,98300000.0,219400000.0,219400000.0,19700000.0,15200000.0,-137400000.0,-298300000.0,-162800000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2011.0,Q1,2011-01-01,2011-03-31,2012-05-04 15:06:17+00:00,,,,79800000.0,,76700000.0,1800000.0,,-132300000.0,-75600000.0,229900000.0,-132300000.0,-75600000.0,229900000.0,22000000.0,51700000.0,51700000.0,21700000.0,17300000.0,-44100000.0,-92900000.0,-90000000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2012.0,Q4,2012-10-01,2012-12-31,,,7200000.0,316500000.0,84500000.0,187000000.0,-7400000.0,700000.0,-200000.0,-230200000.0,47000000.0,149100000.0,-230200000.0,47000000.0,149100000.0,-34100000.0,45100000.0,45100000.0,26900000.0,9900000.0,-47300000.0,-149900000.0,-183400000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 09:32:08+00:00,0.0,7200000.0,316500000.0,337700000.0,194400000.0,165900000.0,3900000.0,538100000.0,-301000000.0,-299200000.0,756700000.0,-301000000.0,-299200000.0,756700000.0,156500000.0,212700000.0,212700000.0,40400000.0,11500000.0,-190400000.0,-505100000.0,-652600000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2012.0,Q3TTM,2011-10-01,2012-09-30,,,9400000.0,320600000.0,340000000.0,7500000.0,94000000.0,3600000.0,538300000.0,-119600000.0,-501700000.0,690900000.0,-119600000.0,-501700000.0,690100000.0,68800000.0,220800000.0,220800000.0,36100000.0,1800000.0,-188900000.0,-511000000.0,-472600000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-01 14:22:15+00:00,,,,253200000.0,7400000.0,173300000.0,3200000.0,538300000.0,-70800000.0,-346200000.0,607600000.0,-70800000.0,-346200000.0,607600000.0,190600000.0,167600000.0,167600000.0,13500000.0,1600000.0,-143100000.0,-355200000.0,-469200000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2012.0,Q1TTM,2011-04-01,2012-03-31,,,9400000.0,320600000.0,326000000.0,3500000.0,127200000.0,5500000.0,44000000.0,-302000000.0,-476600000.0,748900000.0,-302000000.0,-476600000.0,748100000.0,-30500000.0,271400000.0,271400000.0,24300000.0,-1500000.0,-186600000.0,-478600000.0,-164900000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2012.0,Q1,2012-01-01,2012-03-31,2013-05-03 10:39:20+00:00,,,,81200000.0,0.0,88500000.0,300000.0,44000000.0,-91900000.0,-117000000.0,223900000.0,-91900000.0,-117000000.0,223900000.0,15000000.0,50500000.0,50500000.0,3700000.0,400000.0,-47500000.0,-117400000.0,-88700000.0,
Tapstone Energy Inc,TE,O7KLLUCLFHPD07BN2U20,350563,2013.0,FY,2013-01-01,2013-12-31,2016-02-26 13:48:12+00:00,0.0,1800000.0,263400000.0,329500000.0,4300000.0,134300000.0,6700000.0,84000000.0,-152100000.0,-521800000.0,658600000.0,-152100000.0,-521800000.0,658600000.0,-15300000.0,197700000.0,197700000.0,-2900000.0,0.0,-191200000.0,-526100000.0,-51600000.0,
