company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredtaxliabilities,longtermdebt,netinventory,netppe,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2008.0,FY,,2009-01-31,2010-03-26 14:23:07+00:00,975000000.0,1076000000.0,123000000.0,1019000000.0,1715000000.0,2950000000.0,57000000.0,,1506000000.0,2933000000.0,743000000.0,,,626000000.0,,41000000.0,9947000000.0,50000000.0,0.0,7564000000.0,4387000000.0,4005000000.0,2158000000.0,4387000000.0,4387000000.0,3177000000.0,7564000000.0,626000000.0,1019000000.0,-8633000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2008.0,Q3,,2008-11-01,2009-12-08 14:53:36+00:00,1578000000.0,1052000000.0,116000000.0,1018000000.0,1480000000.0,2939000000.0,25000000.0,,2224000000.0,3016000000.0,740000000.0,,,613000000.0,,38000000.0,9765000000.0,188000000.0,75000000.0,8186000000.0,4325000000.0,4557000000.0,2843000000.0,4325000000.0,4325000000.0,3861000000.0,8186000000.0,613000000.0,1018000000.0,-8495000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2008.0,Q2,,2008-08-02,2009-09-09 14:41:14+00:00,1227000000.0,1012000000.0,142000000.0,1041000000.0,1606000000.0,2904000000.0,10000000.0,,1700000000.0,3129000000.0,693000000.0,,0.0,467000000.0,,33000000.0,9578000000.0,188000000.0,74000000.0,7702000000.0,4224000000.0,4106000000.0,2437000000.0,4224000000.0,4224000000.0,3478000000.0,7702000000.0,467000000.0,1041000000.0,-8400000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,FY,,2010-01-30,2011-03-28 15:51:43+00:00,1027000000.0,1063000000.0,155000000.0,963000000.0,2348000000.0,2990000000.0,41000000.0,,1477000000.0,2628000000.0,614000000.0,,,693000000.0,,,10815000000.0,,225000000.0,7985000000.0,4891000000.0,4664000000.0,2131000000.0,4891000000.0,4891000000.0,3094000000.0,7985000000.0,693000000.0,963000000.0,-9069000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q3,,2009-10-31,2010-12-08 15:55:58+00:00,1418000000.0,1050000000.0,153000000.0,975000000.0,2173000000.0,2977000000.0,6000000.0,,1999000000.0,2717000000.0,657000000.0,,,659000000.0,,,10519000000.0,,225000000.0,8430000000.0,4981000000.0,5054000000.0,2474000000.0,4981000000.0,4981000000.0,3449000000.0,8430000000.0,659000000.0,975000000.0,-8668000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q2,,2009-08-01,2009-09-09 14:41:14+00:00,1038000000.0,923000000.0,130000000.0,989000000.0,2031000000.0,2956000000.0,10000000.0,,1473000000.0,2775000000.0,651000000.0,,0.0,654000000.0,,21000000.0,10272000000.0,0.0,100000000.0,7705000000.0,4745000000.0,4276000000.0,1971000000.0,4745000000.0,4745000000.0,2960000000.0,7705000000.0,654000000.0,989000000.0,-8613000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q1,,2009-05-02,2010-06-08 17:04:51+00:00,812000000.0,864000000.0,116000000.0,996000000.0,1708000000.0,2948000000.0,9000000.0,,1393000000.0,2820000000.0,647000000.0,,,632000000.0,,21000000.0,10103000000.0,,,7221000000.0,4540000000.0,3769000000.0,1685000000.0,4540000000.0,4540000000.0,2681000000.0,7221000000.0,632000000.0,996000000.0,-8627000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2010.0,FY,,2011-01-29,2012-03-26 16:16:00+00:00,1049000000.0,993000000.0,185000000.0,890000000.0,1561000000.0,2994000000.0,50000000.0,,1620000000.0,2563000000.0,645000000.0,,0.0,576000000.0,,,11767000000.0,3000000.0,100000000.0,7065000000.0,4080000000.0,3926000000.0,2095000000.0,4080000000.0,4080000000.0,2985000000.0,7065000000.0,576000000.0,890000000.0,-10866000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2010.0,Q3,,2010-10-30,2011-12-07 16:09:14+00:00,1438000000.0,960000000.0,183000000.0,972000000.0,1403000000.0,2994000000.0,11000000.0,,2160000000.0,2587000000.0,663000000.0,,0.0,664000000.0,,,11462000000.0,3000000.0,251000000.0,7728000000.0,4344000000.0,4477000000.0,2412000000.0,4344000000.0,4344000000.0,3384000000.0,7728000000.0,664000000.0,972000000.0,-10295000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2010.0,Q2,,2010-07-31,2011-09-07 15:08:41+00:00,1141000000.0,872000000.0,167000000.0,952000000.0,1353000000.0,2987000000.0,16000000.0,,1632000000.0,2565000000.0,718000000.0,,0.0,690000000.0,,,11221000000.0,,350000000.0,7308000000.0,4327000000.0,4053000000.0,2029000000.0,4327000000.0,4327000000.0,2981000000.0,7308000000.0,690000000.0,952000000.0,-10048000000.0
