company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2007.0,FY,2007-02-04,2008-02-02,2010-03-26 14:23:07+00:00,1.05,1.05,0.32,1.05,539000000.0,833000000.0,867000000.0,-34000000.0,833000000.0,10071000000.0,15763000000.0,4377000000.0,10071000000.0,5692000000.0,26000000.0,117000000.0,4377000000.0,1315000000.0,91000000.0,1406000000.0,15763000000.0,793300000.0,791000000.0,794000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2008.0,FY,2008-02-03,2009-01-31,2011-03-28 15:51:43+00:00,1.35,1.35,0.34,1.34,617000000.0,967000000.0,967000000.0,,967000000.0,9079000000.0,14526000000.0,3899000000.0,9079000000.0,5447000000.0,1000000.0,37000000.0,3899000000.0,1548000000.0,36000000.0,1584000000.0,14526000000.0,716300000.0,716000000.0,719000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2008.0,Q3,2008-08-03,2008-11-01,2009-12-08 14:53:36+00:00,0.35,0.35,0.085,0.35,152000000.0,246000000.0,246000000.0,,246000000.0,2183000000.0,3561000000.0,984000000.0,2183000000.0,1378000000.0,5000000.0,9000000.0,984000000.0,394000000.0,4000000.0,398000000.0,3561000000.0,702900000.0,709000000.0,712000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2008.0,Q2,2008-05-04,2008-08-02,2009-09-09 14:41:14+00:00,0.32,0.32,0.085,0.32,148000000.0,229000000.0,229000000.0,,229000000.0,2161000000.0,3499000000.0,965000000.0,2161000000.0,1338000000.0,6000000.0,10000000.0,965000000.0,373000000.0,4000000.0,377000000.0,3499000000.0,715600000.0,717000000.0,719000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,FY,2009-02-01,2010-01-30,2012-03-26 16:16:00+00:00,1.59,1.59,0.34,1.58,714000000.0,1102000000.0,1102000000.0,,1102000000.0,8473000000.0,14197000000.0,3909000000.0,8473000000.0,5724000000.0,6000000.0,7000000.0,3909000000.0,1815000000.0,1000000.0,1816000000.0,14197000000.0,693100000.0,694000000.0,699000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q4,2009-11-01,2010-01-30,,0.51,0.51,0.08,0.5,235000000.0,352000000.0,352000000.0,,352000000.0,2563000000.0,4236000000.0,1086000000.0,2563000000.0,1673000000.0,2000000.0,2000000.0,1086000000.0,587000000.0,,587000000.0,4236000000.0,693100000.0,694000000.0,699000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q3YTD,2009-02-01,2009-10-31,,1.08,1.08,0.26,1.08,479000000.0,750000000.0,750000000.0,,750000000.0,5910000000.0,9961000000.0,2823000000.0,5910000000.0,4051000000.0,4000000.0,5000000.0,2823000000.0,1228000000.0,1000000.0,1229000000.0,9961000000.0,697700000.0,698000000.0,704000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q3,2009-08-02,2009-10-31,2010-12-08 15:55:58+00:00,0.44,0.44,0.085,0.44,193000000.0,307000000.0,307000000.0,,307000000.0,2065000000.0,3589000000.0,1024000000.0,2065000000.0,1524000000.0,1000000.0,1000000.0,1024000000.0,500000000.0,,500000000.0,3589000000.0,697700000.0,698000000.0,704000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q2YTD,2009-02-01,2009-08-01,,0.64,0.64,0.17,0.64,286000000.0,443000000.0,443000000.0,,443000000.0,3845000000.0,6372000000.0,1799000000.0,3845000000.0,2527000000.0,3000000.0,4000000.0,1799000000.0,728000000.0,1000000.0,729000000.0,6372000000.0,690900000.0,697000000.0,700000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q2,2009-05-03,2009-08-01,2010-09-09 14:03:47+00:00,0.33,0.33,0.085,0.33,148000000.0,228000000.0,228000000.0,,228000000.0,1957000000.0,3245000000.0,913000000.0,1957000000.0,1288000000.0,1000000.0,2000000.0,913000000.0,375000000.0,1000000.0,376000000.0,3245000000.0,690900000.0,697000000.0,700000000.0
Gap Inc,GPS,T2ZG1WRWZ4BUCMQL9224,39911,2009.0,Q1,2009-02-01,2009-05-02,2010-06-08 17:04:51+00:00,0.31,0.31,0.085,0.31,138000000.0,215000000.0,215000000.0,,215000000.0,1888000000.0,3127000000.0,886000000.0,1888000000.0,1239000000.0,2000000.0,2000000.0,886000000.0,353000000.0,,353000000.0,3127000000.0,693500000.0,695000000.0,697000000.0
