company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredrevenue,currentdeferredtaxassets,goodwill,grossppe,longtermdebt,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2008.0,FY,,2008-12-31,2009-10-22 18:49:52+00:00,668000000.0,209000000.0,1012000000.0,4831000000.0,-984000000.0,,1368000000.0,2023000000.0,963000000.0,365000000.0,,15871000000.0,3498000000.0,203000000.0,11040000000.0,,1904000000.0,,375000000.0,802000000.0,105000000.0,73000000.0,4919000000.0,163000000.0,435000000.0,14068000000.0,4953000000.0,2653000000.0,2806000000.0,4953000000.0,4953000000.0,9115000000.0,14068000000.0,375000000.0,6309000000.0,-1005000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,FY,,2009-12-31,2011-02-07 19:13:03+00:00,732000000.0,169000000.0,729000000.0,5254000000.0,-578000000.0,,1114000000.0,2024000000.0,1044000000.0,291000000.0,,15888000000.0,3325000000.0,221000000.0,10634000000.0,,2200000000.0,,277000000.0,493000000.0,102000000.0,84000000.0,4971000000.0,190000000.0,1479000000.0,14269000000.0,5454000000.0,3358000000.0,2695000000.0,5454000000.0,5454000000.0,8815000000.0,14269000000.0,277000000.0,6120000000.0,-963000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,Q3,,2009-09-30,2009-10-22 18:49:52+00:00,694000000.0,225000000.0,918000000.0,5166000000.0,-715000000.0,,902000000.0,2034000000.0,1214000000.0,365000000.0,,15864000000.0,3378000000.0,196000000.0,10698000000.0,,1947000000.0,,275000000.0,409000000.0,125000000.0,87000000.0,4876000000.0,198000000.0,1352000000.0,14100000000.0,5217000000.0,3127000000.0,3024000000.0,5217000000.0,5217000000.0,8883000000.0,14100000000.0,275000000.0,5859000000.0,-978000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,Q2,,2009-06-30,2009-10-22 12:43:31+00:00,732000000.0,237000000.0,1024000000.0,5082000000.0,-797000000.0,,946000000.0,2031000000.0,1207000000.0,365000000.0,,15743000000.0,3278000000.0,200000000.0,10661000000.0,,1924000000.0,,272000000.0,481000000.0,128000000.0,94000000.0,4900000000.0,105000000.0,1252000000.0,14027000000.0,5148000000.0,3094000000.0,3068000000.0,5148000000.0,5148000000.0,8879000000.0,14027000000.0,272000000.0,5811000000.0,-986000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2010.0,FY,,2010-12-31,2012-02-09 17:23:28+00:00,739000000.0,195000000.0,863000000.0,5765000000.0,-262000000.0,88000000.0,1261000000.0,1991000000.0,1198000000.0,214000000.0,0.0,16343000000.0,2875000000.0,243000000.0,10578000000.0,,2493000000.0,,606000000.0,465000000.0,,89000000.0,5399000000.0,505000000.0,2277000000.0,15463000000.0,6237000000.0,4279000000.0,3305000000.0,6237000000.0,6237000000.0,9226000000.0,15463000000.0,606000000.0,5921000000.0,-891000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2010.0,Q3,,2010-09-30,2010-10-27 18:03:23+00:00,707000000.0,289000000.0,944000000.0,5682000000.0,-453000000.0,,1031000000.0,2033000000.0,1423000000.0,63000000.0,,16248000000.0,3350000000.0,231000000.0,10566000000.0,,2140000000.0,,535000000.0,424000000.0,92000000.0,80000000.0,5273000000.0,113000000.0,2348000000.0,15143000000.0,5950000000.0,4042000000.0,3187000000.0,5950000000.0,5950000000.0,9193000000.0,15143000000.0,535000000.0,6006000000.0,-903000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2010.0,Q2,,2010-06-30,2010-07-30 18:20:42+00:00,787000000.0,277000000.0,942000000.0,5555000000.0,-641000000.0,,989000000.0,2029000000.0,1486000000.0,252000000.0,,16182000000.0,3324000000.0,226000000.0,10627000000.0,,2192000000.0,,389000000.0,490000000.0,95000000.0,92000000.0,5075000000.0,123000000.0,2135000000.0,14987000000.0,5548000000.0,3971000000.0,3338000000.0,5548000000.0,5548000000.0,9439000000.0,14987000000.0,389000000.0,6101000000.0,-915000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2010.0,Q1,,2010-03-31,2010-04-23 21:10:28+00:00,691000000.0,235000000.0,657000000.0,5402000000.0,-518000000.0,,1110000000.0,2026000000.0,1400000000.0,291000000.0,,16023000000.0,3305000000.0,227000000.0,10621000000.0,,2250000000.0,,288000000.0,423000000.0,98000000.0,95000000.0,4973000000.0,170000000.0,1663000000.0,14530000000.0,5536000000.0,3621000000.0,2918000000.0,5536000000.0,5536000000.0,8994000000.0,14530000000.0,288000000.0,6076000000.0,-945000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2011.0,FY,,2011-12-31,2013-02-06 19:28:58+00:00,1057000000.0,299000000.0,996000000.0,6294000000.0,-224000000.0,75000000.0,829000000.0,2030000000.0,1836000000.0,263000000.0,970000000.0,18421000000.0,3107000000.0,401000000.0,12127000000.0,,2566000000.0,,626000000.0,910000000.0,,238000000.0,5395000000.0,644000000.0,2315000000.0,18068000000.0,6877000000.0,4345000000.0,4533000000.0,6877000000.0,6877000000.0,11191000000.0,18068000000.0,1596000000.0,6658000000.0,-324000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2011.0,Q3,,2011-09-30,2011-11-08 17:27:36+00:00,1083000000.0,369000000.0,1193000000.0,6149000000.0,-513000000.0,78000000.0,1016000000.0,2030000000.0,2058000000.0,0.0,970000000.0,17983000000.0,3220000000.0,459000000.0,11834000000.0,,1856000000.0,,487000000.0,926000000.0,,110000000.0,5251000000.0,986000000.0,2640000000.0,17885000000.0,6485000000.0,4594000000.0,5320000000.0,6485000000.0,6485000000.0,11400000000.0,17885000000.0,1457000000.0,6080000000.0,-283000000.0
