company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2007.0,FY,2007-01-01,2007-12-31,2010-01-29 17:14:04+00:00,,-14000000.0,94000000.0,63000000.0,555000000.0,543000000.0,139000000.0,500000000.0,-493000000.0,-1529000000.0,2845000000.0,-493000000.0,-1529000000.0,2845000000.0,823000000.0,645000000.0,645000000.0,1116000000.0,28000000.0,0.0,-14000000.0,-5086000000.0,-1331000000.0,-145000000.0,-1001000000.0,4888000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2008.0,Q4,2008-10-01,2008-12-31,,,-3000000.0,1000000.0,20000000.0,154000000.0,-69000000.0,4000000.0,891000000.0,1065000000.0,458000000.0,-2545000000.0,1065000000.0,458000000.0,-2545000000.0,-1022000000.0,-56000000.0,-56000000.0,-2571000000.0,184000000.0,,,-1645000000.0,-158000000.0,-14000000.0,,2261000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2008.0,FY,2008-01-01,2008-12-31,2011-02-07 19:13:03+00:00,,-12000000.0,71000000.0,100000000.0,599000000.0,-252000000.0,117000000.0,1491000000.0,1654000000.0,-978000000.0,-1521000000.0,1654000000.0,-978000000.0,-1521000000.0,-845000000.0,178000000.0,178000000.0,-2034000000.0,173000000.0,0.0,-13000000.0,-5886000000.0,-923000000.0,-60000000.0,-54000000.0,5831000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-22 18:49:52+00:00,,-9000000.0,70000000.0,80000000.0,445000000.0,-183000000.0,113000000.0,600000000.0,589000000.0,-1436000000.0,1024000000.0,589000000.0,-1436000000.0,1024000000.0,177000000.0,234000000.0,234000000.0,537000000.0,-11000000.0,0.0,-13000000.0,-4241000000.0,-765000000.0,-46000000.0,-54000000.0,3570000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2008.0,Q3,2008-07-01,2008-09-30,,,-3000000.0,57000000.0,39000000.0,152000000.0,-684000000.0,86000000.0,,60000000.0,-47000000.0,-2276000000.0,60000000.0,-47000000.0,-2276000000.0,-2263000000.0,-121000000.0,-121000000.0,-1620000000.0,-8000000.0,,-3000000.0,-794000000.0,-178000000.0,-15000000.0,,925000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-10-22 12:43:31+00:00,,-6000000.0,13000000.0,41000000.0,293000000.0,501000000.0,27000000.0,600000000.0,529000000.0,-1389000000.0,3300000000.0,529000000.0,-1389000000.0,3300000000.0,2440000000.0,355000000.0,355000000.0,2157000000.0,-3000000.0,0.0,-10000000.0,-3447000000.0,-587000000.0,-31000000.0,-54000000.0,2645000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,FY,2009-01-01,2009-12-31,2011-02-07 19:13:03+00:00,,-12000000.0,5000000.0,152000000.0,616000000.0,358000000.0,20000000.0,538000000.0,330000000.0,-1569000000.0,985000000.0,330000000.0,-1569000000.0,985000000.0,-254000000.0,99000000.0,99000000.0,-76000000.0,381000000.0,2000000.0,-13000000.0,-6106000000.0,-585000000.0,-596000000.0,0.0,5120000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,Q4,2009-10-01,2009-12-31,,,-1000000.0,1000000.0,43000000.0,154000000.0,194000000.0,9000000.0,-1000000.0,-23000000.0,-257000000.0,492000000.0,-23000000.0,-257000000.0,492000000.0,212000000.0,115000000.0,115000000.0,30000000.0,,1000000.0,,-1309000000.0,-114000000.0,-31000000.0,,1165000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,Q3TTM,2008-10-01,2009-09-30,,,-14000000.0,5000000.0,129000000.0,616000000.0,95000000.0,15000000.0,1430000000.0,1418000000.0,-854000000.0,-2052000000.0,1418000000.0,-854000000.0,-2052000000.0,-1488000000.0,-72000000.0,-72000000.0,-2677000000.0,565000000.0,1000000.0,-13000000.0,-6442000000.0,-629000000.0,-579000000.0,,6216000000.0
Southwest Airlines Co,LUV,UDTZ87G0STFETI6HGH41,92380,2009.0,Q3,2009-07-01,2009-09-30,,,-4000000.0,,31000000.0,162000000.0,-81000000.0,3000000.0,207000000.0,181000000.0,-298000000.0,73000000.0,181000000.0,-298000000.0,73000000.0,-44000000.0,-16000000.0,-16000000.0,12000000.0,,,-3000000.0,-1707000000.0,-199000000.0,-26000000.0,,1608000000.0
