company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netrealizedcapitalgains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,policyacquisitioncosts,premiumsearned,propertyliabilityinsuranceclaims,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Everest Re Group Ltd,RE,,1095073,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 13:27:01+00:00,-0.3,-0.3,1.92,-0.3,-64849000.0,79171000.0,930694000.0,-18758000.0,-18758000.0,-18758000.0,,-79171000.0,-150843000.0,-15879000.0,13811000.0,,148538000.0,3694301000.0,2438972000.0,79171000.0,3532015000.0,3527579000.0,-83607000.0,3448408000.0,62500000.0,62500000.0,62500000.0
Everest Re Group Ltd,RE,,1095073,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 15:16:29+00:00,13.26,13.26,1.92,13.22,132332000.0,72081000.0,928333000.0,806989000.0,806989000.0,806989000.0,,-72081000.0,626956000.0,-22476000.0,17607000.0,,167178000.0,3894098000.0,2374058000.0,72081000.0,3487176000.0,4498578000.0,939321000.0,4426497000.0,60900000.0,60900000.0,61000000.0
Everest Re Group Ltd,RE,,1095073,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 11:29:00+00:00,3.76,3.76,0.48,3.75,45073000.0,17376000.0,229257000.0,228618000.0,228618000.0,228618000.0,,-17376000.0,194332000.0,-13204000.0,4433000.0,,44504000.0,975380000.0,587247000.0,17376000.0,865441000.0,1156508000.0,273691000.0,1139132000.0,60800000.0,60800000.0,61000000.0
Everest Re Group Ltd,RE,,1095073,2009.0,Q2,2009-04-01,2009-06-30,2010-09-08 17:09:24+00:00,4.44,4.44,0.48,4.43,40279000.0,17116000.0,229214000.0,272588000.0,272588000.0,272588000.0,,-17116000.0,212022000.0,2389000.0,4367000.0,,40970000.0,956908000.0,566785000.0,17116000.0,841336000.0,1171319000.0,312867000.0,1154203000.0,61400000.0,61400000.0,61500000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q4,2010-10-01,2010-12-31,,5.29,5.29,0.48,5.27,-66306000.0,13034000.0,245227000.0,302533000.0,302533000.0,302533000.0,,-13034000.0,236139000.0,2076000.0,2535000.0,,41230000.0,1020159000.0,720121000.0,13034000.0,1009113000.0,1258374000.0,236227000.0,1245340000.0,56900000.0,56900000.0,57100000.0
Everest Re Group Ltd,RE,,1095073,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 13:40:45+00:00,10.73,10.73,1.92,10.7,-19516000.0,55830000.0,931855000.0,610754000.0,610754000.0,610754000.0,,-55830000.0,754255000.0,16927000.0,14914000.0,,166258000.0,3934625000.0,2945712000.0,55830000.0,4058739000.0,4705807000.0,591238000.0,4649977000.0,56900000.0,56900000.0,57100000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q3YTD,2010-01-01,2010-09-30,,5.44,5.44,1.44,5.43,46790000.0,42796000.0,686628000.0,308221000.0,308221000.0,308221000.0,,-42796000.0,518116000.0,14851000.0,12379000.0,,125028000.0,2914466000.0,2225591000.0,42796000.0,3049626000.0,3447433000.0,355011000.0,3404637000.0,55800000.0,55800000.0,56000000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 17:22:32+00:00,3.12,3.12,0.48,3.11,30238000.0,13138000.0,237473000.0,174200000.0,174200000.0,174200000.0,,-13138000.0,179111000.0,1714000.0,3917000.0,,44337000.0,997265000.0,674787000.0,13138000.0,960514000.0,1178090000.0,204438000.0,1164952000.0,55800000.0,55800000.0,56000000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 15:21:51+00:00,2.7,2.7,0.48,2.7,3667000.0,13016000.0,236493000.0,156673000.0,156673000.0,156673000.0,,-13016000.0,101734000.0,7798000.0,3887000.0,,41747000.0,989899000.0,643948000.0,13016000.0,926075000.0,1099431000.0,160340000.0,1086415000.0,58000000.0,58000000.0,58000000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q2YTD,2010-01-01,2010-06-30,,2.32,2.32,0.96,2.32,16552000.0,29658000.0,449155000.0,134021000.0,134021000.0,134021000.0,,-29658000.0,339005000.0,13137000.0,8462000.0,,80691000.0,1917201000.0,1550804000.0,29658000.0,2089112000.0,2269343000.0,150573000.0,2239685000.0,58000000.0,58000000.0,58000000.0
