company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,longtermdebt,otherassets,otherlongtermliabilities,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
Everest Re Group Ltd,RE,,1095073,2009.0,FY,,2009-12-31,2011-03-01 13:27:01+00:00,9885000.0,158886000.0,272038000.0,247598000.0,,,1845839000.0,362346000.0,64536000.0,818014000.0,2147519000.0,9334434000.0,,4566771000.0,257319000.0,18001312000.0,6101722000.0,6101722000.0,6101722000.0,11899590000.0,18001312000.0,0.0,13998087000.0,-582926000.0,1415402000.0,1086876000.0
Everest Re Group Ltd,RE,,1095073,2010.0,FY,,2010-12-31,2012-02-29 15:16:29+00:00,4793000.0,148990000.0,332258000.0,258408000.0,,0.0,1863691000.0,383769000.0,63002000.0,818060000.0,2293860000.0,9651140000.0,,5069048000.0,108467000.0,18384198000.0,6283517000.0,6283517000.0,6283517000.0,12100681000.0,18384198000.0,0.0,14321332000.0,-981480000.0,1455219000.0,977839000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q3,,2010-09-30,2010-11-09 11:29:00+00:00,12129000.0,145905000.0,559591000.0,201140000.0,,,1859217000.0,393042000.0,63747000.0,818048000.0,2074962000.0,9682074000.0,,4792578000.0,160150000.0,18549911000.0,6281620000.0,6281620000.0,6281620000.0,12268291000.0,18549911000.0,0.0,14696182000.0,-929766000.0,1532143000.0,1038680000.0
Everest Re Group Ltd,RE,,1095073,2010.0,Q2,,2010-06-30,2010-09-08 17:09:24+00:00,4892000.0,154372000.0,366866000.0,191453000.0,,,1853818000.0,370832000.0,63968000.0,818036000.0,1874997000.0,9654683000.0,,4644952000.0,209599000.0,18206876000.0,6035599000.0,6035599000.0,6035599000.0,12171277000.0,18206876000.0,0.0,14528732000.0,-830037000.0,1420099000.0,1086490000.0
Everest Re Group Ltd,RE,,1095073,2011.0,FY,,2011-12-31,2013-03-01 13:40:45+00:00,4781000.0,130193000.0,366978000.0,448651000.0,,0.0,1893653000.0,378026000.0,67187000.0,818109000.0,2110330000.0,10440803000.0,,4884714000.0,78522000.0,18893555000.0,6071375000.0,6071375000.0,6071375000.0,12822180000.0,18893555000.0,0.0,14663398000.0,-1073970000.0,1412778000.0,1162957000.0
Everest Re Group Ltd,RE,,1095073,2011.0,Q3,,2011-09-30,2011-11-09 17:22:32+00:00,12092000.0,129805000.0,402946000.0,443706000.0,,0.0,1885156000.0,362741000.0,61971000.0,818097000.0,2270389000.0,10292910000.0,,4869458000.0,77740000.0,18735588000.0,6091841000.0,6091841000.0,6091841000.0,12643747000.0,18735588000.0,0.0,14435340000.0,-1065719000.0,1380937000.0,1093607000.0
Everest Re Group Ltd,RE,,1095073,2011.0,Q2,,2011-06-30,2011-08-09 15:21:51+00:00,4789000.0,144322000.0,460403000.0,411523000.0,,,1878906000.0,352067000.0,62608000.0,818084000.0,2352952000.0,10523233000.0,,4832340000.0,94313000.0,19003917000.0,6152558000.0,6152558000.0,6152558000.0,12851359000.0,19003917000.0,0.0,14640415000.0,-1019091000.0,1348332000.0,1102638000.0
Everest Re Group Ltd,RE,,1095073,2011.0,Q1,,2011-03-31,2011-05-10 15:56:44+00:00,12103000.0,137754000.0,337337000.0,284147000.0,,,1868815000.0,372870000.0,62785000.0,818073000.0,2482490000.0,10440998000.0,,4727109000.0,90943000.0,18792434000.0,5914170000.0,5914170000.0,5914170000.0,12878264000.0,18792434000.0,0.0,14428065000.0,-1019091000.0,1453362000.0,1087108000.0
Everest Re Group Ltd,RE,,1095073,2012.0,FY,,2012-12-31,2014-03-03 15:35:40+00:00,4781000.0,130209000.0,537049000.0,537050000.0,,0.0,1947110000.0,303268000.0,66107000.0,818161000.0,2319647000.0,10704569000.0,,5613266000.0,128297000.0,19777907000.0,6733467000.0,6733467000.0,6733467000.0,13044440000.0,19777907000.0,0.0,15178767000.0,-1363958000.0,1322525000.0,1308966000.0
Everest Re Group Ltd,RE,,1095073,2012.0,Q3,,2012-09-30,2012-11-09 13:35:10+00:00,12092000.0,128619000.0,593796000.0,478558000.0,,0.0,1936347000.0,296410000.0,65734000.0,818147000.0,2370311000.0,10431012000.0,,5579224000.0,185017000.0,19667473000.0,6785372000.0,6785372000.0,6785372000.0,12882101000.0,19667473000.0,0.0,15081839000.0,-1323995000.0,1370099000.0,1311736000.0
