company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Otis Worldwide Corp,OTIS,,1781335,2019.0,Q1,2019-01-01,2019-03-31,2020-05-08 07:36:22+00:00,0.63,0.63,0.63,125000000.0,300000000.0,300000000.0,273000000.0,27000000.0,2200000000.0,3101000000.0,11000000.0,6000000.0,39000000.0,441000000.0,2200000000.0,901000000.0,1000000.0,486000000.0,415000000.0,10000000.0,425000000.0,3101000000.0,433100000.0,433300000.0,433300000.0
Otis Worldwide Corp,OTIS,,1781335,2020.0,Q1,2020-01-01,2020-03-31,2020-05-08 07:36:22+00:00,0.38,0.38,0.38,125000000.0,202000000.0,202000000.0,165000000.0,37000000.0,2069000000.0,2966000000.0,3000000.0,65000000.0,38000000.0,465000000.0,2069000000.0,897000000.0,5000000.0,568000000.0,329000000.0,-2000000.0,327000000.0,2966000000.0,433100000.0,434200000.0,434200000.0
