company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,redeemablenoncontrollinginterest,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Otis Worldwide Corp,OTIS,,1781335,2019.0,FY,,2019-12-31,2020-05-08 07:36:22+00:00,1331000000.0,2861000000.0,1739000000.0,1082000000.0,-758000000.0,1446000000.0,0.0,2458000000.0,,1647000000.0,1803000000.0,490000000.0,5000000.0,571000000.0,721000000.0,531000000.0,373000000.0,,590000000.0,780000000.0,2270000000.0,798000000.0,1392000000.0,95000000.0,34000000.0,9687000000.0,1700000000.0,5658000000.0,5374000000.0,1700000000.0,2231000000.0,7361000000.0,9687000000.0,3308000000.0,1987000000.0
Otis Worldwide Corp,OTIS,,1781335,2020.0,Q1,,2020-03-31,2020-05-08 07:36:22+00:00,1102000000.0,2888000000.0,1645000000.0,1088000000.0,-862000000.0,1207000000.0,0.0,,2541000000.0,1608000000.0,1776000000.0,462000000.0,6258000000.0,599000000.0,688000000.0,-3422000000.0,428000000.0,839000000.0,579000000.0,820000000.0,,824000000.0,682000000.0,95000000.0,67000000.0,9524000000.0,-862000000.0,5514000000.0,5355000000.0,-862000000.0,-4284000000.0,13713000000.0,9524000000.0,3322000000.0,8358000000.0
