company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2007.0,FY,2007-01-01,2007-12-31,2010-02-16 13:22:01+00:00,-90000000.0,1259000000.0,278000000.0,2000000.0,-139000000.0,1022000000.0,-1946000000.0,-761000000.0,2439000000.0,-1946000000.0,-761000000.0,2439000000.0,-266000000.0,1209000000.0,1209000000.0,110000000.0,168000000.0,78000000.0,-515000000.0,-1220000000.0,-1211000000.0,-1200000000.0,-1421000000.0,1404000000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 17:21:55+00:00,-289000000.0,1238000000.0,112000000.0,-4000000.0,61000000.0,1525000000.0,-1256000000.0,-1183000000.0,2575000000.0,-1256000000.0,-1183000000.0,2575000000.0,132000000.0,1128000000.0,1128000000.0,148000000.0,44000000.0,215000000.0,-587000000.0,,-1221000000.0,-1828000000.0,-410000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,Q4,2008-10-01,2008-12-31,,-59000000.0,297000000.0,20000000.0,-4000000.0,78000000.0,434000000.0,-286000000.0,-407000000.0,673000000.0,-286000000.0,-407000000.0,673000000.0,-24000000.0,226000000.0,226000000.0,72000000.0,1000000.0,66000000.0,-155000000.0,,-434000000.0,-566000000.0,,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,Q3,2008-07-01,2008-09-30,,-103000000.0,326000000.0,54000000.0,-1000000.0,102000000.0,120000000.0,-199000000.0,-277000000.0,771000000.0,-199000000.0,-277000000.0,771000000.0,294000000.0,323000000.0,323000000.0,20000000.0,4000000.0,73000000.0,-141000000.0,,-301000000.0,-173000000.0,-9000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 12:21:59+00:00,-230000000.0,941000000.0,92000000.0,0.0,-17000000.0,1091000000.0,-970000000.0,-776000000.0,1902000000.0,-970000000.0,-776000000.0,1902000000.0,156000000.0,902000000.0,902000000.0,76000000.0,43000000.0,149000000.0,-432000000.0,,-787000000.0,-1262000000.0,-410000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 12:00:27+00:00,-127000000.0,615000000.0,38000000.0,1000000.0,-119000000.0,971000000.0,-771000000.0,-499000000.0,1131000000.0,-771000000.0,-499000000.0,1131000000.0,-138000000.0,579000000.0,579000000.0,56000000.0,39000000.0,76000000.0,-291000000.0,,-486000000.0,-1089000000.0,-401000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q4,2009-10-01,2009-12-31,,-170000000.0,274000000.0,8000000.0,2000000.0,49000000.0,723000000.0,226000000.0,-420000000.0,720000000.0,226000000.0,-420000000.0,720000000.0,528000000.0,331000000.0,331000000.0,66000000.0,12000000.0,98000000.0,-156000000.0,,-356000000.0,-192000000.0,-161000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 16:20:58+00:00,-302000000.0,1166000000.0,28000000.0,5000000.0,-60000000.0,1749000000.0,-457000000.0,-1250000000.0,2362000000.0,-457000000.0,-1250000000.0,2362000000.0,660000000.0,1060000000.0,1060000000.0,196000000.0,24000000.0,203000000.0,-619000000.0,,-1179000000.0,-1385000000.0,-226000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q3TTM,2008-10-01,2009-09-30,,-191000000.0,1189000000.0,40000000.0,-1000000.0,-31000000.0,1460000000.0,-969000000.0,-1237000000.0,2315000000.0,-969000000.0,-1237000000.0,2315000000.0,108000000.0,955000000.0,955000000.0,202000000.0,13000000.0,171000000.0,-618000000.0,,-1257000000.0,-1759000000.0,-65000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q3,2009-07-01,2009-09-30,,-70000000.0,301000000.0,8000000.0,3000000.0,-53000000.0,118000000.0,-227000000.0,-267000000.0,575000000.0,-227000000.0,-267000000.0,575000000.0,84000000.0,292000000.0,292000000.0,35000000.0,4000000.0,35000000.0,-156000000.0,,-240000000.0,-128000000.0,-65000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-28 13:56:28+00:00,-132000000.0,892000000.0,20000000.0,3000000.0,-109000000.0,1026000000.0,-683000000.0,-830000000.0,1642000000.0,-683000000.0,-830000000.0,1642000000.0,132000000.0,729000000.0,729000000.0,130000000.0,12000000.0,105000000.0,-463000000.0,,-823000000.0,-1193000000.0,-65000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q2TTM,2008-07-01,2009-06-30,,-224000000.0,1214000000.0,86000000.0,-5000000.0,124000000.0,1462000000.0,-941000000.0,-1247000000.0,2511000000.0,-941000000.0,-1247000000.0,2511000000.0,318000000.0,986000000.0,986000000.0,187000000.0,13000000.0,209000000.0,-603000000.0,,-1318000000.0,-1804000000.0,-9000000.0,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q2,2009-04-01,2009-06-30,,-40000000.0,302000000.0,7000000.0,1000000.0,-33000000.0,13000000.0,-701000000.0,-267000000.0,548000000.0,-701000000.0,-267000000.0,548000000.0,-419000000.0,267000000.0,267000000.0,12000000.0,4000000.0,24000000.0,-156000000.0,,-258000000.0,-562000000.0,,
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-02 12:05:53+00:00,-62000000.0,591000000.0,12000000.0,0.0,-56000000.0,908000000.0,-456000000.0,-563000000.0,1067000000.0,-456000000.0,-563000000.0,1067000000.0,48000000.0,437000000.0,437000000.0,95000000.0,8000000.0,70000000.0,-307000000.0,,-583000000.0,-1065000000.0,0.0,
