company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2007.0,FY,2007-01-01,2007-12-31,2010-02-16 13:22:01+00:00,2.25,2.25,0.96,1259000000.0,2.23,-47000000.0,540000000.0,1209000000.0,1209000000.0,1163000000.0,46000000.0,8402000000.0,13310000000.0,4000000.0,,10000000.0,1432000000.0,8402000000.0,4908000000.0,521000000.0,12000000.0,2654000000.0,2254000000.0,-505000000.0,1749000000.0,13310000000.0,516900000.0,516900000.0,521500000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 17:21:55+00:00,2.21,2.21,1.08,1238000000.0,2.19,-29000000.0,669000000.0,1128000000.0,1128000000.0,1087000000.0,41000000.0,8466000000.0,13388000000.0,3000000.0,,2000000.0,1477000000.0,8466000000.0,4922000000.0,455000000.0,15000000.0,2688000000.0,2234000000.0,-437000000.0,1797000000.0,13388000000.0,492100000.0,492100000.0,492100000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 12:21:59+00:00,0.63,0.63,0.27,326000000.0,0.63,-23000000.0,201000000.0,323000000.0,323000000.0,310000000.0,13000000.0,2221000000.0,3525000000.0,1000000.0,,0.0,369000000.0,2221000000.0,1304000000.0,114000000.0,5000000.0,672000000.0,632000000.0,-108000000.0,524000000.0,3525000000.0,492100000.0,492100000.0,492100000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 12:00:27+00:00,0.65,0.65,0.27,318000000.0,0.64,0.0,199000000.0,331000000.0,331000000.0,318000000.0,13000000.0,2181000000.0,3489000000.0,-1000000.0,,0.0,358000000.0,2181000000.0,1308000000.0,105000000.0,4000000.0,676000000.0,632000000.0,-102000000.0,530000000.0,3489000000.0,489200000.0,489200000.0,496900000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q4,2009-10-01,2009-12-31,,0.65,0.65,0.29,274000000.0,0.64,33000000.0,16000000.0,331000000.0,331000000.0,315000000.0,16000000.0,1874000000.0,3006000000.0,,,4000000.0,365000000.0,1874000000.0,1132000000.0,110000000.0,1000000.0,676000000.0,456000000.0,-109000000.0,347000000.0,3006000000.0,491200000.0,491200000.0,491200000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 16:20:58+00:00,2.02,2.02,1.16,1166000000.0,2.01,83000000.0,413000000.0,1060000000.0,1060000000.0,994000000.0,66000000.0,7241000000.0,11791000000.0,1000000.0,,50000000.0,1364000000.0,7241000000.0,4550000000.0,426000000.0,11000000.0,2663000000.0,1887000000.0,-414000000.0,1473000000.0,11791000000.0,491200000.0,491200000.0,491200000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.37,1.37,0.87,892000000.0,1.37,50000000.0,397000000.0,729000000.0,729000000.0,679000000.0,50000000.0,5367000000.0,8785000000.0,1000000.0,,46000000.0,999000000.0,5367000000.0,3418000000.0,316000000.0,10000000.0,1987000000.0,1431000000.0,-305000000.0,1126000000.0,8785000000.0,492200000.0,492200000.0,492200000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 13:56:28+00:00,0.56,0.56,0.29,301000000.0,0.56,-1000000.0,133000000.0,292000000.0,292000000.0,277000000.0,15000000.0,1856000000.0,3023000000.0,1000000.0,,3000000.0,339000000.0,1856000000.0,1167000000.0,104000000.0,3000000.0,642000000.0,525000000.0,-100000000.0,425000000.0,3023000000.0,492200000.0,492200000.0,492200000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.81,0.81,0.58,591000000.0,0.81,51000000.0,264000000.0,437000000.0,437000000.0,402000000.0,35000000.0,3511000000.0,5762000000.0,,,43000000.0,660000000.0,3511000000.0,2251000000.0,212000000.0,7000000.0,1345000000.0,906000000.0,-205000000.0,701000000.0,5762000000.0,492400000.0,492400000.0,492400000.0
Waste Management Inc,WM,549300YX8JIID70NFS41,823768,2009.0,Q2,2009-04-01,2009-06-30,2010-08-02 12:05:53+00:00,0.5,0.5,0.29,302000000.0,0.5,2000000.0,163000000.0,267000000.0,267000000.0,247000000.0,20000000.0,1786000000.0,2952000000.0,0.0,,5000000.0,323000000.0,1786000000.0,1166000000.0,107000000.0,3000000.0,632000000.0,534000000.0,-104000000.0,430000000.0,2952000000.0,492400000.0,492400000.0,492400000.0
