company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2009.0,Q4,2009-10-01,2009-12-31,,,-25000000.0,-9000000.0,694000000.0,202000000.0,,609000000.0,232000000.0,1044000000.0,-98000000.0,-714000000.0,997000000.0,-98000000.0,-714000000.0,997000000.0,186000000.0,-419000000.0,-419000000.0,630000000.0,,-710000000.0,1000000.0,-1542000000.0,-4000000.0,168000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 12:18:05+00:00,,-63000000.0,-5000000.0,1071000000.0,791000000.0,,1029000000.0,257000000.0,1470000000.0,80000000.0,-2360000000.0,2466000000.0,80000000.0,-2360000000.0,2466000000.0,186000000.0,879000000.0,879000000.0,-170000000.0,,-2351000000.0,,-612000000.0,-9000000.0,-1035000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2009.0,Q3,2009-07-01,2009-09-30,,,-25000000.0,-3000000.0,107000000.0,200000000.0,,-297000000.0,10000000.0,-324000000.0,265000000.0,-527000000.0,26000000.0,265000000.0,-527000000.0,26000000.0,-237000000.0,962000000.0,962000000.0,-814000000.0,,-525000000.0,-1000000.0,1236000000.0,-2000000.0,-657000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 11:03:56+00:00,,-13000000.0,7000000.0,270000000.0,389000000.0,,717000000.0,15000000.0,750000000.0,-87000000.0,-1119000000.0,1443000000.0,-87000000.0,-1119000000.0,1443000000.0,237000000.0,336000000.0,336000000.0,14000000.0,0.0,-1116000000.0,,-306000000.0,-3000000.0,-546000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,Q4,2010-10-01,2010-12-31,,,13000000.0,-309000000.0,717000000.0,214000000.0,,1818000000.0,361000000.0,-621000000.0,-658000000.0,-609000000.0,1407000000.0,-658000000.0,-609000000.0,1407000000.0,140000000.0,235000000.0,235000000.0,-873000000.0,-502000000.0,-587000000.0,,339000000.0,-22000000.0,-235000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 16:12:45+00:00,-12000000.0,13000000.0,-25000000.0,1111000000.0,840000000.0,,1132000000.0,439000000.0,1095000000.0,-128000000.0,-2175000000.0,2381000000.0,-128000000.0,-2175000000.0,2381000000.0,78000000.0,1003000000.0,1003000000.0,-607000000.0,,-2135000000.0,,-640000000.0,-28000000.0,-1022000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,Q3TTM,2009-10-01,2010-09-30,,-12000000.0,-25000000.0,275000000.0,1088000000.0,828000000.0,,-77000000.0,310000000.0,2760000000.0,432000000.0,-2280000000.0,1971000000.0,432000000.0,-2280000000.0,1971000000.0,124000000.0,349000000.0,349000000.0,896000000.0,502000000.0,-2258000000.0,1000000.0,-2521000000.0,-10000000.0,-619000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,Q3,2010-07-01,2010-09-30,,-12000000.0,,127000000.0,99000000.0,211000000.0,,-618000000.0,53000000.0,863000000.0,400000000.0,-559000000.0,179000000.0,400000000.0,-559000000.0,179000000.0,20000000.0,353000000.0,353000000.0,233000000.0,502000000.0,-545000000.0,,-662000000.0,-2000000.0,-356000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,Q2TTM,2009-07-01,2010-06-30,,,-50000000.0,145000000.0,1096000000.0,817000000.0,,244000000.0,267000000.0,1573000000.0,297000000.0,-2248000000.0,1818000000.0,297000000.0,-2248000000.0,1818000000.0,-133000000.0,958000000.0,958000000.0,-151000000.0,,-2238000000.0,,-623000000.0,-10000000.0,-920000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,Q2,2010-04-01,2010-06-30,,,,157000000.0,192000000.0,211000000.0,,527000000.0,11000000.0,378000000.0,-156000000.0,-547000000.0,794000000.0,-156000000.0,-547000000.0,794000000.0,91000000.0,186000000.0,186000000.0,-130000000.0,,-544000000.0,,-159000000.0,-3000000.0,-386000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2010.0,Q1,2010-01-01,2010-03-31,2011-05-05 16:56:16+00:00,,,0.0,103000000.0,204000000.0,,-595000000.0,14000000.0,475000000.0,286000000.0,-460000000.0,1000000.0,286000000.0,-460000000.0,1000000.0,-173000000.0,229000000.0,229000000.0,163000000.0,0.0,-459000000.0,,-158000000.0,-1000000.0,-45000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,FY,2011-01-01,2011-12-31,2014-02-20 17:55:32+00:00,0.0,49000000.0,-236000000.0,563000000.0,884000000.0,,1638000000.0,31000000.0,0.0,-677000000.0,-2150000000.0,3141000000.0,-677000000.0,-2150000000.0,3137000000.0,310000000.0,1062000000.0,1062000000.0,-492000000.0,,-2050000000.0,,-704000000.0,-100000000.0,-4000000.0,,0.0,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q4,2011-10-01,2011-12-31,,,10000000.0,-368000000.0,192000000.0,225000000.0,,438000000.0,-10000000.0,,-187000000.0,-539000000.0,980000000.0,-187000000.0,-539000000.0,976000000.0,250000000.0,193000000.0,193000000.0,114000000.0,,-527000000.0,,-176000000.0,-12000000.0,-1000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-05 19:19:49+00:00,0.0,39000000.0,132000000.0,371000000.0,659000000.0,,1200000000.0,41000000.0,0.0,-490000000.0,-1611000000.0,2161000000.0,-490000000.0,-1611000000.0,2161000000.0,60000000.0,869000000.0,869000000.0,-606000000.0,,-1523000000.0,,-528000000.0,-88000000.0,-3000000.0,,0.0,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q3TTM,2010-10-01,2011-09-30,,,52000000.0,-177000000.0,1088000000.0,873000000.0,,3018000000.0,402000000.0,-621000000.0,-1148000000.0,-2220000000.0,3568000000.0,-1148000000.0,-2220000000.0,3568000000.0,200000000.0,1104000000.0,1104000000.0,-1479000000.0,-502000000.0,-2110000000.0,,-189000000.0,-110000000.0,-238000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q3,2011-07-01,2011-09-30,,,10000000.0,287000000.0,89000000.0,222000000.0,,-21000000.0,-8000000.0,,-184000000.0,-482000000.0,572000000.0,-184000000.0,-482000000.0,572000000.0,-94000000.0,386000000.0,386000000.0,-25000000.0,,-444000000.0,,-176000000.0,-38000000.0,,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-02 17:02:59+00:00,,29000000.0,-155000000.0,282000000.0,437000000.0,,1221000000.0,49000000.0,0.0,-306000000.0,-1129000000.0,1589000000.0,-306000000.0,-1129000000.0,1589000000.0,154000000.0,483000000.0,483000000.0,-581000000.0,,-1079000000.0,,-352000000.0,-50000000.0,-3000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q2TTM,2010-07-01,2011-06-30,,-12000000.0,42000000.0,-337000000.0,1098000000.0,862000000.0,,2421000000.0,463000000.0,242000000.0,-564000000.0,-2297000000.0,3175000000.0,-564000000.0,-2297000000.0,3175000000.0,314000000.0,1071000000.0,1071000000.0,-1221000000.0,,-2211000000.0,,-675000000.0,-74000000.0,-594000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q2,2011-04-01,2011-06-30,,,10000000.0,-327000000.0,192000000.0,219000000.0,,861000000.0,24000000.0,-464000000.0,-618000000.0,-633000000.0,1227000000.0,-618000000.0,-633000000.0,1227000000.0,-24000000.0,169000000.0,169000000.0,-32000000.0,,-606000000.0,,-176000000.0,-27000000.0,-2000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q1,2011-01-01,2011-03-31,2012-05-03 16:58:44+00:00,,19000000.0,172000000.0,90000000.0,218000000.0,,360000000.0,25000000.0,464000000.0,312000000.0,-496000000.0,362000000.0,312000000.0,-496000000.0,362000000.0,178000000.0,314000000.0,314000000.0,-549000000.0,,-473000000.0,,-176000000.0,-23000000.0,-1000000.0,,,,
Consolidated Edison Inc,ED,54930033SBW53OO8T749,1047862,2011.0,Q1TTM,2010-04-01,2011-03-31,,-12000000.0,32000000.0,147000000.0,1098000000.0,854000000.0,,2087000000.0,450000000.0,1084000000.0,-102000000.0,-2211000000.0,2742000000.0,-102000000.0,-2211000000.0,2742000000.0,429000000.0,1088000000.0,1088000000.0,-1319000000.0,,-2149000000.0,,-658000000.0,-50000000.0,-978000000.0,,,,
