company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:31:11+00:00,,5238000.0,-73910000.0,108743000.0,,,19950000.0,,1103264000.0,242186000.0,300864000.0,-494933000.0,257200000.0,300864000.0,-494933000.0,257200000.0,63131000.0,120097000.0,120097000.0,3172000.0,-1658000.0,-25772000.0,-123451000.0,-563381000.0,-919477000.0,,94220000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,Q4,2009-10-01,2009-12-31,,,3622000.0,-63247000.0,29004000.0,,724000.0,-29215000.0,,218030000.0,,33108000.0,-67272000.0,35788000.0,33108000.0,-67272000.0,35788000.0,2348000.0,29905000.0,29905000.0,2472000.0,-4568000.0,29110000.0,-21106000.0,-104128000.0,-159248000.0,,7746000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 09:16:33+00:00,,9298000.0,-63247000.0,118508000.0,,724000.0,-60531000.0,488163000.0,1050910000.0,,198355000.0,-406566000.0,206954000.0,198355000.0,-406566000.0,206954000.0,-533000.0,141648000.0,141648000.0,-1969000.0,-15000.0,25760000.0,-116402000.0,-455980000.0,-1224301000.0,,23654000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,Q3,2009-07-01,2009-09-30,,,-3007000.0,,28336000.0,,,-2718000.0,233533000.0,208848000.0,,67431000.0,-128589000.0,59125000.0,67431000.0,-128589000.0,59125000.0,-2033000.0,26378000.0,26378000.0,10136000.0,853000.0,-24863000.0,-21802000.0,-105341000.0,-354001000.0,,1615000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 16:30:31+00:00,,5676000.0,,89504000.0,,,-31316000.0,488163000.0,832880000.0,,165247000.0,-339294000.0,171166000.0,165247000.0,-339294000.0,171166000.0,-2881000.0,111743000.0,111743000.0,-4441000.0,4553000.0,-3350000.0,-95296000.0,-351852000.0,-1065053000.0,,15908000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-04 17:00:47+00:00,,8683000.0,,61168000.0,,,-28598000.0,254630000.0,624032000.0,,97816000.0,-210705000.0,112041000.0,97816000.0,-210705000.0,112041000.0,-848000.0,85365000.0,85365000.0,-14577000.0,3700000.0,21513000.0,-73494000.0,-246511000.0,-711052000.0,,14293000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q4,2010-10-01,2010-12-31,,,1667000.0,-57198000.0,34551000.0,,431000.0,14362000.0,,399000000.0,,17623000.0,-102341000.0,64554000.0,17623000.0,-102187000.0,64554000.0,-19579000.0,92000000.0,92000000.0,-78026000.0,-5282000.0,3146000.0,-26774000.0,-372139000.0,-349321000.0,,-9327000.0,275979000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 20:46:52+00:00,,10023000.0,-57198000.0,126640000.0,,431000.0,-20318000.0,342342000.0,854000000.0,,237912000.0,-444899000.0,227006000.0,237912000.0,-444745000.0,227006000.0,20604000.0,139022000.0,139022000.0,-28361000.0,-6240000.0,18024000.0,-97562000.0,-743616000.0,-854628000.0,,4714000.0,275979000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q3TTM,2009-10-01,2010-09-30,,,11978000.0,-63247000.0,121093000.0,,724000.0,-63895000.0,342342000.0,673030000.0,,253397000.0,-409830000.0,198240000.0,253397000.0,-409830000.0,198240000.0,42531000.0,76927000.0,76927000.0,52137000.0,-5526000.0,43988000.0,-91894000.0,-475605000.0,-664555000.0,,21787000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q3,2010-07-01,2010-09-30,,,1960000.0,,32009000.0,,,-31535000.0,342342000.0,183000000.0,,140632000.0,-139563000.0,36488000.0,140632000.0,-139563000.0,36488000.0,37557000.0,30461000.0,30461000.0,3593000.0,3290000.0,2326000.0,-24915000.0,-142757000.0,-363085000.0,,868000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-09 16:15:42+00:00,,8356000.0,,92089000.0,,,-34680000.0,342342000.0,455000000.0,,220289000.0,-342558000.0,162452000.0,220289000.0,-342558000.0,162452000.0,40183000.0,47022000.0,47022000.0,49665000.0,-958000.0,14878000.0,-70788000.0,-371477000.0,-505307000.0,,14041000.0,
