company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:31:11+00:00,2.87,2.87,,107358000.0,2.86,13251000.0,,85366000.0,120097000.0,101031000.0,19066000.0,90746000.0,3799000.0,-85366000.0,113434000.0,,,1327000.0,,443997000.0,34794000.0,11237000.0,,24225000.0,85366000.0,268837000.0,455234000.0,101031000.0,369868000.0,31600000.0,31600000.0,31700000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 09:16:33+00:00,2.72,2.72,,117246000.0,2.72,,,82111000.0,141648000.0,135016000.0,6632000.0,104974000.0,8317000.0,-82111000.0,122138000.0,,,,,469699000.0,36296000.0,11854000.0,-11254000.0,28357000.0,82111000.0,264426000.0,481553000.0,135016000.0,399442000.0,38600000.0,38600000.0,38600000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 16:30:31+00:00,0.47,0.47,,28112000.0,0.47,,,21225000.0,26378000.0,25660000.0,718000.0,18203000.0,886000.0,-21225000.0,31218000.0,,,199000.0,,114649000.0,9611000.0,1177000.0,,7090000.0,21225000.0,68941000.0,115826000.0,25660000.0,94601000.0,38700000.0,38700000.0,38700000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 17:00:47+00:00,0.83,0.83,,29500000.0,0.82,,,21373000.0,44116000.0,43392000.0,724000.0,32298000.0,4362000.0,-21373000.0,29224000.0,,,367000.0,,112129000.0,8804000.0,8910000.0,-11254000.0,7089000.0,21373000.0,56274000.0,121039000.0,43392000.0,99666000.0,38900000.0,38900000.0,39400000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 20:46:52+00:00,2.19,2.19,,121207000.0,2.19,,,69509000.0,139022000.0,67083000.0,12497000.0,105941000.0,4724000.0,-69509000.0,123309000.0,,59442000.0,,,455502000.0,34345000.0,5119000.0,45168000.0,28357000.0,69509000.0,324029000.0,460621000.0,67083000.0,391112000.0,48400000.0,48400000.0,48400000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q4,2010-10-01,2010-12-31,,1.72,1.72,,29438000.0,1.72,,,17091000.0,92000000.0,21073000.0,11485000.0,83557000.0,1573000.0,-17091000.0,28272000.0,,59442000.0,-219000.0,,105247000.0,8558000.0,1557000.0,2372000.0,7089000.0,17091000.0,68640000.0,106804000.0,21073000.0,89713000.0,48400000.0,48400000.0,48400000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q3YTD,2010-01-01,2010-09-30,,0.47,0.47,,91769000.0,0.47,,,52418000.0,47022000.0,46010000.0,1012000.0,22384000.0,3151000.0,-52418000.0,95037000.0,,,219000.0,,350255000.0,25787000.0,3562000.0,42796000.0,21268000.0,52418000.0,255389000.0,353817000.0,46010000.0,301399000.0,49400000.0,49400000.0,49400000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 16:15:42+00:00,0.45,0.45,,31758000.0,0.45,,,16078000.0,30461000.0,29982000.0,479000.0,22235000.0,1137000.0,-16078000.0,33154000.0,,,,,118746000.0,8042000.0,1568000.0,1300000.0,7089000.0,16078000.0,74254000.0,120314000.0,29982000.0,104236000.0,49400000.0,49400000.0,49400000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.02,0.02,,60011000.0,0.02,,,36340000.0,16561000.0,16028000.0,533000.0,149000.0,2014000.0,-36340000.0,61883000.0,,,219000.0,,231509000.0,17745000.0,1994000.0,41496000.0,14179000.0,36340000.0,181135000.0,233503000.0,16028000.0,197163000.0,45300000.0,45300000.0,45300000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q2,2010-04-01,2010-06-30,2011-09-08 16:17:01+00:00,-0.45,-0.45,,30299000.0,-0.45,,,18778000.0,-12224000.0,-12164000.0,-60000.0,-20393000.0,1079000.0,-18778000.0,30335000.0,,,,,116088000.0,8266000.0,922000.0,41496000.0,7090000.0,18778000.0,110396000.0,117010000.0,-12164000.0,98232000.0,45300000.0,45300000.0,45300000.0
