company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,deferredacquisitioncost,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2009.0,FY,,2009-12-31,2011-03-01 16:31:11+00:00,-33730000.0,70628000.0,,1977500000.0,,1520946000.0,5039128000.0,41230000.0,282516000.0,227298000.0,,21686000.0,41441000.0,47291000.0,,1226000000.0,5457227000.0,1943770000.0,2323408000.0,2364638000.0,3051148000.0,5457227000.0,379638000.0,72882000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,FY,,2010-12-31,2012-02-21 09:16:33+00:00,-18335000.0,91232000.0,0.0,2566788000.0,89046000.0,1836162000.0,5444814000.0,41583000.0,304257000.0,252415000.0,,31114000.0,15920000.0,28354000.0,734000.0,748000000.0,5905861000.0,2549187000.0,2928825000.0,2970408000.0,2919533000.0,5905861000.0,379638000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q3,,2010-09-30,2010-11-09 16:30:31+00:00,-33348000.0,110811000.0,,2504914000.0,,1215463000.0,5237709000.0,41626000.0,294833000.0,283869000.0,,25554000.0,15945000.0,35295000.0,,1304000000.0,5748625000.0,2471566000.0,2851204000.0,2892830000.0,2839850000.0,5748625000.0,379638000.0,80941000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2010.0,Q2,,2010-06-30,2010-08-04 17:00:47+00:00,-40377000.0,73254000.0,,2159087000.0,,1238411000.0,5120553000.0,41668000.0,300035000.0,256604000.0,,23683000.0,17014000.0,37660000.0,,1446000000.0,5565159000.0,2118710000.0,2498348000.0,2540016000.0,3008129000.0,5565159000.0,379638000.0,77088000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2011.0,FY,,2011-12-31,2013-02-25 20:46:52+00:00,-34511000.0,78539000.0,0.0,3029174000.0,135550000.0,2409264000.0,6008440000.0,42558000.0,325393000.0,328268000.0,,36579000.0,16034000.0,23332000.0,,370000000.0,6574129000.0,2994663000.0,3374301000.0,3416859000.0,3141236000.0,6574129000.0,379638000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2011.0,Q3,,2011-09-30,2011-11-09 16:15:42+00:00,-32202000.0,73056000.0,,3026058000.0,,1845366000.0,5925292000.0,41434000.0,330044000.0,429279000.0,,35287000.0,15931000.0,27929000.0,,814000000.0,6455556000.0,2993856000.0,3373494000.0,3414928000.0,3024697000.0,6455556000.0,379638000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2011.0,Q2,,2011-06-30,2011-09-08 16:17:01+00:00,-6272000.0,60925000.0,,3025217000.0,,2553329000.0,5855352000.0,41375000.0,300030000.0,403575000.0,,34068000.0,15899000.0,23432000.0,,,6343284000.0,3018945000.0,3398583000.0,3439958000.0,2887427000.0,6343284000.0,379638000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2011.0,Q1,,2011-03-31,2011-05-05 16:03:43+00:00,-7193000.0,78196000.0,,2569527000.0,,2669466000.0,5498465000.0,41445000.0,283013000.0,287475000.0,,31172000.0,15915000.0,30513000.0,360000.0,,5983343000.0,2562694000.0,2942332000.0,2983777000.0,2983651000.0,5983343000.0,379638000.0,88694000.0
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2012.0,FY,,2012-12-31,2014-02-28 17:48:48+00:00,-24833000.0,140971000.0,0.0,3086684000.0,160048000.0,2615949000.0,6424578000.0,46643000.0,423708000.0,384572000.0,,41401000.0,14564000.0,39947000.0,,566000000.0,7150116000.0,3061851000.0,3441851000.0,3488494000.0,3647058000.0,7150116000.0,380000000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2012.0,Q3,,2012-09-30,2012-11-09 16:06:54+00:00,-19729000.0,94904000.0,0.0,3095619000.0,152021000.0,2619144000.0,6300027000.0,45120000.0,376785000.0,373202000.0,,39468000.0,15610000.0,44863000.0,,413000000.0,6965017000.0,3075890000.0,3455890000.0,3501010000.0,3448397000.0,6965017000.0,380000000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2012.0,Q2,,2012-06-30,2012-08-08 17:22:50+00:00,-37370000.0,80937000.0,0.0,3053891000.0,151355000.0,2619760000.0,6208354000.0,44247000.0,348037000.0,359196000.0,,38357000.0,15817000.0,41897000.0,,379000000.0,6841739000.0,3016521000.0,3396521000.0,3440768000.0,3385154000.0,6841739000.0,380000000.0,
Alexandria Real Estate Equities Inc,ARE,MGCJBT4MKTQBVLNUIS88,1035443,2012.0,Q1,,2012-03-31,2012-05-04 16:06:10+00:00,-23088000.0,77361000.0,0.0,3022858000.0,143754000.0,2622487000.0,6113252000.0,43413000.0,323002000.0,343921000.0,129638000.0,36962000.0,15819000.0,39803000.0,,167000000.0,6718091000.0,2999770000.0,3379770000.0,3423183000.0,3279089000.0,6718091000.0,380000000.0,
