company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2008.0,Q4,2008-10-01,2008-12-31,,49674000.0,-2218000.0,-1355630000.0,,-109910000.0,-4000.0,1716331000.0,,2723506000.0,306794000.0,-3082827000.0,-74558000.0,301234000.0,2723506000.0,232236000.0,-2781593000.0,174149000.0,,-219422000.0,-219422000.0,,-3055584000.0,3982392000.0,2582901000.0,-27153000.0,252415000.0,-10198330000.0,-2948060000.0,,,7922223000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:23:54+00:00,49674000.0,-699364000.0,-6157096000.0,,-331313000.0,5979000.0,24142387000.0,145345000.0,12847002000.0,-10592729000.0,-5992978000.0,-74558000.0,301234000.0,12847002000.0,-10667287000.0,-5691744000.0,-3512029000.0,,-212626000.0,-212626000.0,,-6218363000.0,5994016000.0,10008633000.0,-110556000.0,719650000.0,-126215494000.0,-17330169000.0,,,105614132000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2008.0,Q3,2008-07-01,2008-09-30,,,-132877000.0,-1244285000.0,,294993000.0,1580000.0,7093402000.0,,3831502000.0,-1767395000.0,-3291455000.0,,,3831502000.0,-1767395000.0,-3291455000.0,-1227348000.0,,-157997000.0,-157997000.0,,-3615360000.0,1334339000.0,1837731000.0,-27310000.0,186909000.0,-27576579000.0,-4570509000.0,,,23971453000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 18:23:52+00:00,,-697146000.0,-4801466000.0,,-221403000.0,5983000.0,22426056000.0,145345000.0,10123496000.0,-10899523000.0,-2910151000.0,,,10123496000.0,-10899523000.0,-2910151000.0,-3686178000.0,,6796000.0,6796000.0,,-3162779000.0,2011624000.0,7425732000.0,-83403000.0,467235000.0,-116017164000.0,-14382109000.0,,,97691909000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 16:56:49+00:00,,-564269000.0,-3557181000.0,,-516396000.0,4403000.0,15332654000.0,145345000.0,6291994000.0,-9132128000.0,381304000.0,,,6291994000.0,-9132128000.0,381304000.0,-2458830000.0,,164793000.0,164793000.0,,452581000.0,677285000.0,5588001000.0,-56093000.0,280326000.0,-88440585000.0,-9811600000.0,,,73720456000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:24:21+00:00,76000000.0,298000000.0,3657000000.0,,722000000.0,,17629000000.0,,17603000000.0,181000000.0,-16429000000.0,130000000.0,515000000.0,17603000000.0,311000000.0,-15914000000.0,2000000000.0,204000000.0,324000000.0,324000000.0,,-18670000000.0,16523000000.0,6133000000.0,-116000000.0,1119000000.0,-134871000000.0,-16629000000.0,-8000000.0,,128919000000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-08 16:51:39+00:00,29176000.0,292115000.0,3070349000.0,,-154577000.0,6000.0,16204059000.0,,15558919000.0,-525071000.0,-14165676000.0,,233130000.0,15558919000.0,-525071000.0,-13916852000.0,1116996000.0,,15694000.0,15694000.0,,-14889793000.0,13169500000.0,6674044000.0,-83915000.0,849518000.0,-112554916000.0,-13730731000.0,,,105355801000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2009.0,Q3TTM,2008-10-01,2009-09-30,,,1688625000.0,14028911000.0,,,2000.0,17920390000.0,,18282425000.0,-292835000.0,-17039809000.0,,,18282425000.0,-292835000.0,-16698445000.0,1291145000.0,,0.0,,,341364000.0,17151892000.0,9256945000.0,-111068000.0,,-122827804000.0,-16678791000.0,,,113278024000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2009.0,Q3,2009-07-01,2009-09-30,,29176000.0,114637000.0,767204000.0,,43850000.0,1000.0,2531611000.0,,3826672000.0,258297000.0,-5286752000.0,,233130000.0,3826672000.0,258297000.0,-5037928000.0,-952959000.0,,159308000.0,159308000.0,,-5824519000.0,6199778000.0,2192620000.0,-32042000.0,321127000.0,-40809385000.0,-4872676000.0,,,38875062000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 17:08:41+00:00,,12965000.0,1403858000.0,,305054000.0,,2587195000.0,,3825146000.0,636811000.0,-5527352000.0,,80299000.0,3825146000.0,636811000.0,-5468158000.0,-1006201000.0,,-21105000.0,-21105000.0,,-6082685000.0,5933631000.0,2361883000.0,-26235000.0,250279000.0,-23147834000.0,-4669445000.0,,,21422762000.0,
SLM Corp,SLM,4K8SLPBF5DXXGPW03H93,1032033,2010.0,Q4,2010-10-01,2010-12-31,,,23099000.0,609211000.0,,,-194000.0,-983000.0,,-5687458000.0,2055389000.0,2043917000.0,139000000.0,,-5687458000.0,2194389000.0,1960572000.0,-1532497000.0,1166000000.0,0.0,,,-83345000.0,-1549654000.0,-513135000.0,-16118000.0,,-4314897000.0,-5286509000.0,,,6883421000.0,
