company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:13:11+00:00,38046000.0,45279000.0,63987000.0,12767000.0,,-2535000.0,61677000.0,238814000.0,831628000.0,-238340000.0,-93613000.0,507965000.0,-238340000.0,-93613000.0,507965000.0,173477000.0,131899000.0,131899000.0,263576000.0,-106074000.0,-252289000.0,-109215000.0,-9554000.0,-860716000.0,-65490000.0,-24213000.0,25156000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,Q4,2009-10-01,2009-12-31,,10291000.0,17800000.0,58000000.0,3051000.0,,464000.0,-16345000.0,7340000.0,142482000.0,-5183000.0,-36133000.0,75133000.0,-5183000.0,-36133000.0,75133000.0,34281000.0,65551000.0,65551000.0,12585000.0,4894000.0,-17913000.0,-35983000.0,-947000.0,-141986000.0,,,797000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:19:12+00:00,40200000.0,17800000.0,58000000.0,12700000.0,,3600000.0,-72200000.0,37100000.0,145200000.0,-202200000.0,-181500000.0,243200000.0,-202200000.0,-181500000.0,243200000.0,-136900000.0,212900000.0,212900000.0,49600000.0,111000000.0,-120000000.0,-187000000.0,-2600000.0,-375500000.0,,,8100000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,Q3,2009-07-01,2009-09-30,,10135000.0,,,3167000.0,,2100000.0,-6664000.0,18138000.0,2718000.0,5333000.0,-136714000.0,80162000.0,5333000.0,-136714000.0,80162000.0,-49119000.0,67860000.0,67860000.0,5664000.0,-5040000.0,-14962000.0,-137859000.0,-438000.0,4479000.0,,,1583000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 15:40:54+00:00,29909000.0,,,9649000.0,,3136000.0,-55855000.0,29760000.0,2718000.0,-197017000.0,-145367000.0,168067000.0,-197017000.0,-145367000.0,168067000.0,-171181000.0,147349000.0,147349000.0,37015000.0,106106000.0,-102087000.0,-151017000.0,-1653000.0,-233514000.0,,,7303000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 17:12:26+00:00,19774000.0,,,6482000.0,,1036000.0,-49191000.0,11622000.0,,-202350000.0,-8653000.0,87905000.0,-202350000.0,-8653000.0,87905000.0,-122062000.0,79489000.0,79489000.0,31351000.0,111146000.0,-87125000.0,-13158000.0,-1215000.0,-237993000.0,,,5720000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q4,2010-10-01,2010-12-31,,22800000.0,49200000.0,61600000.0,4000000.0,,-100000.0,-2800000.0,10300000.0,169000000.0,61800000.0,-133000000.0,129200000.0,61800000.0,-133000000.0,129200000.0,57900000.0,107300000.0,107300000.0,-2100000.0,-16800000.0,-23700000.0,-132900000.0,-3400000.0,-77000000.0,,,3300000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 17:22:23+00:00,67600000.0,49200000.0,61600000.0,14100000.0,,1900000.0,16100000.0,46400000.0,1191500000.0,545000000.0,-973800000.0,480700000.0,545000000.0,-973800000.0,480700000.0,53800000.0,287300000.0,287300000.0,95600000.0,168100000.0,-100700000.0,-980100000.0,-8800000.0,-760300000.0,,,15100000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q3TTM,2009-10-01,2010-09-30,,55091000.0,17800000.0,58000000.0,13151000.0,,2464000.0,2555000.0,43440000.0,1164982000.0,478017000.0,-876933000.0,426633000.0,478017000.0,-876933000.0,426633000.0,30181000.0,245551000.0,245551000.0,110285000.0,189794000.0,-94913000.0,-883183000.0,-6347000.0,-825286000.0,,,12597000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q3,2010-07-01,2010-09-30,,22600000.0,,,3700000.0,,3100000.0,46200000.0,10700000.0,5000000.0,-110600000.0,-26000000.0,168400000.0,-110600000.0,-26000000.0,168400000.0,34900000.0,69000000.0,69000000.0,26900000.0,189900000.0,-16800000.0,-23800000.0,-2200000.0,-299400000.0,,,
