company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:13:11+00:00,33854000.0,-0.03,-0.03,,12767000.0,-0.03,19744000.0,,,131899000.0,131899000.0,-1325000.0,133224000.0,,,-97142000.0,-117935000.0,,,227981000.0,1158217000.0,,516895000.0,,,791497000.0,1061075000.0,151643000.0,1061075000.0,44200000.0,38211326.0,38211326.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:19:12+00:00,32900000.0,1.44,1.44,,12700000.0,1.38,32800000.0,,,212900000.0,212900000.0,59500000.0,153400000.0,,,31600000.0,-25800000.0,,,153700000.0,841800000.0,,402600000.0,,,601900000.0,873400000.0,245700000.0,873400000.0,41300000.0,41400000.0,43300000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 15:40:54+00:00,8293000.0,0.42,0.42,,3167000.0,0.4,5366000.0,,,67860000.0,67860000.0,17769000.0,50091000.0,,,8203000.0,1988000.0,,,37729000.0,217461000.0,,105237000.0,,,154426000.0,225664000.0,73226000.0,225664000.0,42300000.0,41854249.0,44267107.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 17:12:26+00:00,8044000.0,0.26,0.26,,3243000.0,0.26,4944000.0,,,56249000.0,56249000.0,10979000.0,45270000.0,,,7351000.0,2945000.0,,,35689000.0,201246000.0,,103373000.0,,,150349000.0,208597000.0,61193000.0,208597000.0,42200000.0,41450659.0,43159140.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 17:22:23+00:00,60000000.0,2.92,2.92,,14100000.0,2.81,91500000.0,,,287300000.0,287300000.0,138600000.0,148700000.0,,,77500000.0,-72700000.0,,,315600000.0,1358200000.0,,594500000.0,,,984200000.0,1435700000.0,378800000.0,1435700000.0,47500000.0,47400000.0,49400000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q4,2010-10-01,2010-12-31,,21000000.0,1.29,1.29,,4000000.0,1.25,38700000.0,,,107300000.0,107300000.0,61900000.0,45400000.0,,,49000000.0,-17100000.0,,,100500000.0,420700000.0,,181100000.0,,,306600000.0,469700000.0,146000000.0,469700000.0,47500000.0,47400000.0,49400000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q3YTD,2010-01-01,2010-09-30,,39000000.0,1.63,1.63,,10100000.0,1.56,52800000.0,,,180000000.0,180000000.0,76700000.0,103300000.0,,,28500000.0,-55600000.0,,,215100000.0,937500000.0,,413400000.0,,,677600000.0,966000000.0,232800000.0,966000000.0,51500000.0,51200000.0,51900000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 14:00:21+00:00,20500000.0,0.66,0.66,,3700000.0,0.65,24000000.0,,,69000000.0,69000000.0,34000000.0,35000000.0,,,9500000.0,-12100000.0,,,83100000.0,354400000.0,,151500000.0,,,258800000.0,363900000.0,93000000.0,363900000.0,51500000.0,51200000.0,51900000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q2YTD,2010-01-01,2010-06-30,,18500000.0,0.97,0.97,,6400000.0,0.91,28800000.0,,,111000000.0,111000000.0,42700000.0,68300000.0,,,19000000.0,-43500000.0,,,132000000.0,583100000.0,,261900000.0,,,418800000.0,602100000.0,139800000.0,602100000.0,45000000.0,44600000.0,47600000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q2,2010-04-01,2010-06-30,2011-08-09 16:51:56+00:00,9600000.0,0.56,0.56,,3400000.0,0.53,16900000.0,,,58200000.0,58200000.0,25200000.0,33000000.0,,,9900000.0,-30600000.0,,,80600000.0,332100000.0,,142700000.0,,,236300000.0,342000000.0,75100000.0,342000000.0,45000000.0,44600000.0,47600000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2010.0,Q1,2010-01-01,2010-03-31,2011-05-10 16:51:27+00:00,8900000.0,0.41,0.41,,3000000.0,0.38,11900000.0,,,52800000.0,52800000.0,17500000.0,35300000.0,,,9100000.0,-12900000.0,,,51400000.0,251000000.0,,119200000.0,,,182500000.0,260100000.0,64700000.0,260100000.0,42700000.0,42400000.0,45400000.0
Affiliated Managers Group Inc,AMG,2JE75BUE3T1BLCYYGK54,1004434,2011.0,Q4,2011-10-01,2011-12-31,,31400000.0,0.78,0.78,,3400000.0,0.76,20000000.0,,,89100000.0,89100000.0,40200000.0,48900000.0,24900000.0,,32600000.0,-43600000.0,-24900000.0,,98500000.0,402400000.0,,173900000.0,-24900000.0,,307200000.0,435000000.0,109100000.0,459900000.0,51900000.0,51800000.0,53000000.0
