company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2008.0,Q4,2008-10-01,2008-12-31,,-40558000.0,-359304000.0,52915000.0,-89423000.0,6144000.0,285473000.0,62816000.0,-139026000.0,88296000.0,62816000.0,-139026000.0,88296000.0,12086000.0,,-52639000.0,-52639000.0,177443000.0,-29732000.0,32927000.0,-128964000.0,-255810000.0,,-70105000.0,,,37313000.0,46544000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:35:01+00:00,-29652000.0,-217629000.0,206518000.0,-53813000.0,451002000.0,888354000.0,262429000.0,-781350000.0,567599000.0,262429000.0,-781350000.0,567599000.0,48678000.0,,276404000.0,276404000.0,138490000.0,-68145000.0,118742000.0,-469024000.0,-1310916000.0,,-539758000.0,,,257695000.0,153129000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-05 11:22:53+00:00,10906000.0,141675000.0,153603000.0,35610000.0,444858000.0,602881000.0,199613000.0,-642324000.0,479303000.0,199613000.0,-642324000.0,479303000.0,36592000.0,,329043000.0,329043000.0,-38953000.0,-38413000.0,85815000.0,-340060000.0,-1055106000.0,,-469653000.0,,,220382000.0,106585000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2008.0,Q3,2008-07-01,2008-09-30,,16785000.0,249805000.0,53020000.0,58292000.0,421550000.0,37429000.0,-72522000.0,-134572000.0,208002000.0,-72522000.0,-134572000.0,208002000.0,908000.0,,120590000.0,120590000.0,-23900000.0,-30057000.0,15384000.0,-113423000.0,-237017000.0,,-388021000.0,,,45177000.0,41884000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-06 16:10:13+00:00,-5879000.0,-108130000.0,100583000.0,-22682000.0,23308000.0,565452000.0,272135000.0,-507752000.0,271301000.0,272135000.0,-507752000.0,271301000.0,35684000.0,,208453000.0,208453000.0,-15053000.0,-8356000.0,70431000.0,-226637000.0,-818089000.0,,-81632000.0,,,175205000.0,64701000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,Q4,2009-10-01,2009-12-31,,-9347000.0,-335906000.0,59723000.0,-79110000.0,345907000.0,169428000.0,187941000.0,-288274000.0,81634000.0,187941000.0,-288274000.0,81634000.0,-18699000.0,,52491000.0,52491000.0,48530000.0,-17246000.0,-79985000.0,-34425000.0,-349961000.0,,-275723000.0,,,133667000.0,8005000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:59:45+00:00,-5082000.0,-204672000.0,227776000.0,-95559000.0,1064444000.0,1305101000.0,-74465000.0,-343236000.0,403582000.0,-74465000.0,-343236000.0,403582000.0,-14119000.0,,6061000.0,6061000.0,265304000.0,-45513000.0,,-331024000.0,-652076000.0,,-2067473000.0,,,274015000.0,34825000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-08 17:28:33+00:00,4265000.0,131234000.0,168053000.0,-16449000.0,718537000.0,1135673000.0,-262406000.0,-54962000.0,321948000.0,-262406000.0,-54962000.0,321948000.0,4580000.0,,-46430000.0,-46430000.0,216774000.0,-28267000.0,79985000.0,-296599000.0,-302115000.0,,-1791750000.0,,,140348000.0,26820000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,Q3TTM,2008-10-01,2009-09-30,,-36293000.0,-228070000.0,220968000.0,-105872000.0,724681000.0,1421146000.0,-199590000.0,-193988000.0,410244000.0,-199590000.0,-193988000.0,410244000.0,16666000.0,,-99069000.0,-99069000.0,394217000.0,-57999000.0,112912000.0,-425563000.0,-557925000.0,,-1861855000.0,,,177661000.0,73364000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,Q3,2009-07-01,2009-09-30,,484000.0,33487000.0,56639000.0,5354000.0,717000.0,319169000.0,-240414000.0,68250000.0,123996000.0,-240414000.0,68250000.0,123996000.0,-48168000.0,,43645000.0,43645000.0,18358000.0,-3786000.0,62288000.0,-34403000.0,-95995000.0,,-522111000.0,,,88827000.0,13130000.0
