company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2008.0,FY,,2008-12-31,2010-08-17 14:01:20+00:00,-179541000.0,136177000.0,,4220517000.0,4556646000.0,,6659252000.0,221035000.0,2343544000.0,-58162000.0,388818000.0,131097000.0,115853000.0,9397147000.0,3982814000.0,3983698000.0,4204733000.0,5076561000.0,9397147000.0,,258174000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,FY,,2009-12-31,2011-02-28 15:35:01+00:00,-96432000.0,122058000.0,,5287259000.0,4434383000.0,,7539193000.0,265005000.0,2312235000.0,-338738000.0,311037000.0,219377000.0,100304000.0,10183079000.0,4852089000.0,4852973000.0,5117978000.0,4964797000.0,10183079000.0,,209593000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2009.0,Q3,,2009-09-30,2009-11-05 11:22:53+00:00,-98711000.0,140757000.0,,4950124000.0,3972146000.0,,6585290000.0,225981000.0,2343367000.0,-314208000.0,416072000.0,34425000.0,101328000.0,9288041000.0,4537205000.0,4538089000.0,4764070000.0,4422643000.0,9288041000.0,0.0,218627000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2010.0,FY,,2010-12-31,2012-02-27 16:59:45+00:00,-23853000.0,125154000.0,,5473905000.0,4058987000.0,108493000.0,7043380000.0,225444000.0,950108000.0,-515164000.0,275023000.0,243519000.0,95060000.0,9833875000.0,4934888000.0,4935842000.0,5161286000.0,4577529000.0,9833875000.0,,1606740000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2010.0,Q3,,2010-09-30,2010-11-08 17:28:33+00:00,-59403000.0,158116000.0,,5465033000.0,4037477000.0,,7023458000.0,223290000.0,2396004000.0,-464256000.0,438572000.0,77812000.0,95029000.0,9814508000.0,4941374000.0,4942328000.0,5165618000.0,4553861000.0,9814508000.0,0.0,236930000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2010.0,Q1,,2010-03-31,2010-05-07 14:45:24+00:00,-89394000.0,137437000.0,,5284690000.0,4524466000.0,,7590381000.0,278224000.0,2319860000.0,-364633000.0,452219000.0,76731000.0,99276000.0,10262463000.0,4830663000.0,4831547000.0,5109771000.0,5053416000.0,10262463000.0,0.0,214785000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2011.0,FY,,2011-12-31,2013-02-27 14:21:58+00:00,-107660000.0,112882000.0,,5496091000.0,4114385000.0,102972000.0,7078167000.0,193757000.0,896987000.0,-702999000.0,321457000.0,217703000.0,95074000.0,9628762000.0,4685432000.0,4686386000.0,4880143000.0,4653545000.0,9628762000.0,954000.0,1437754000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2011.0,Q3,,2011-09-30,2011-11-04 16:46:01+00:00,-86080000.0,180198000.0,,5492824000.0,3985263000.0,93449000.0,7009752000.0,196376000.0,890713000.0,-657237000.0,465302000.0,88090000.0,95059000.0,9580551000.0,4749507000.0,4750461000.0,4946837000.0,4538655000.0,9580551000.0,954000.0,1406439000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2011.0,Q2,,2011-06-30,2011-08-05 16:39:38+00:00,27989000.0,144067000.0,,5488472000.0,3980369000.0,108605000.0,7051582000.0,218359000.0,919167000.0,-624129000.0,429514000.0,88093000.0,95059000.0,9704680000.0,4892332000.0,4893286000.0,5111645000.0,4497976000.0,9704680000.0,0.0,1481259000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2012.0,FY,,2012-12-31,2014-02-26 16:23:59+00:00,-66182000.0,141875000.0,0.0,5655248000.0,4195317000.0,70704000.0,7201825000.0,167320000.0,872134000.0,-824008000.0,333962000.0,208399000.0,81076000.0,9751234000.0,4765058000.0,4765160000.0,4932480000.0,4737678000.0,9751234000.0,102000.0,1464696000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2012.0,Q3,,2012-09-30,2012-11-05 18:06:46+00:00,-56785000.0,429529000.0,,5942320000.0,4218191000.0,98188000.0,7210319000.0,170462000.0,908679000.0,-813097000.0,464691000.0,94856000.0,95059000.0,10115976000.0,5072438000.0,5072717000.0,5243179000.0,4777738000.0,10115976000.0,0.0,1469261000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2012.0,Q2,,2012-06-30,2012-08-03 12:42:17+00:00,-99889000.0,383729000.0,,5884809000.0,4191616000.0,96150000.0,7217673000.0,190481000.0,862042000.0,-771282000.0,439424000.0,98883000.0,95059000.0,10030071000.0,5013638000.0,5014608000.0,5205089000.0,4729923000.0,10030071000.0,0.0,1470477000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2012.0,Q1,,2012-03-31,2012-05-10 15:58:50+00:00,-55397000.0,242300000.0,,5883837000.0,3913558000.0,104276000.0,7151977000.0,196412000.0,877095000.0,-742248000.0,441472000.0,92887000.0,95074000.0,9826565000.0,5086192000.0,5087162000.0,5283574000.0,4447917000.0,9826565000.0,0.0,1450917000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2013.0,FY,,2013-12-31,2015-02-27 17:04:31+00:00,-64982000.0,148768000.0,0.0,5693355000.0,4221401000.0,30243000.0,7244663000.0,137109000.0,920180000.0,-996058000.0,357764000.0,228786000.0,86153000.0,9663630000.0,4632315000.0,4632417000.0,4769526000.0,4807951000.0,9663630000.0,102000.0,1319776000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2013.0,Q3,,2013-09-30,2013-11-01 17:21:23+00:00,-44128000.0,401730000.0,,5692518000.0,4380652000.0,45708000.0,7183567000.0,142565000.0,925234000.0,-950905000.0,548038000.0,98334000.0,85903000.0,9953079000.0,4697485000.0,4697587000.0,4840152000.0,5027024000.0,9953079000.0,102000.0,1396840000.0
Kimco Realty Corp,KIM,549300EA7I6T15IBYS12,879101,2013.0,Q2,,2013-06-30,2013-08-02 17:20:13+00:00,-61798000.0,156450000.0,,5690039000.0,4464774000.0,74088000.0,7381101000.0,144008000.0,913405000.0,-906070000.0,473604000.0,98326000.0,85486000.0,9988471000.0,4722171000.0,4722273000.0,4866281000.0,5036704000.0,9988471000.0,102000.0,1463427000.0
