company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredrevenue,goodwill,intangibleassets,longtermdebt,netppe,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Gartner Inc,IT,,749251,2009.0,FY,,2009-12-31,2011-02-15 17:16:56+00:00,255966000.0,317598000.0,11322000.0,,116574000.0,590942000.0,437207000.0,513612000.0,24113000.0,124000000.0,52466000.0,70253000.0,,,,67263000.0,80571000.0,53400000.0,509392000.0,205000000.0,1215279000.0,112535000.0,557825000.0,898173000.0,112535000.0,112535000.0,1102744000.0,1215279000.0,604988000.0,204571000.0,0.0,-999121000.0
Gartner Inc,IT,,749251,2010.0,FY,,2010-12-31,2012-02-23 16:24:35+00:00,247733000.0,364818000.0,14638000.0,,120181000.0,611860000.0,523263000.0,510265000.0,13584000.0,180000000.0,47614000.0,71955000.0,,,,93093000.0,107450000.0,64148000.0,605677000.0,40156000.0,1285658000.0,187056000.0,621102000.0,811152000.0,187056000.0,187056000.0,1098602000.0,1285658000.0,616942000.0,287450000.0,0.0,-1045119000.0
Gartner Inc,IT,,749251,2010.0,Q3,,2010-09-30,2010-11-03 16:24:50+00:00,182529000.0,299987000.0,14496000.0,,148412000.0,600049000.0,496348000.0,509652000.0,16116000.0,51500000.0,44272000.0,53823000.0,,,,94485000.0,103273000.0,69626000.0,568983000.0,248500000.0,1236373000.0,154223000.0,571848000.0,927377000.0,154223000.0,154223000.0,1082150000.0,1236373000.0,620253000.0,154773000.0,0.0,-1029305000.0
Gartner Inc,IT,,749251,2010.0,Q2,,2010-06-30,2010-08-09 16:30:25+00:00,162594000.0,284098000.0,6463000.0,,122364000.0,591808000.0,450152000.0,503816000.0,18643000.0,77250000.0,45205000.0,54479000.0,,,,88640000.0,97544000.0,57026000.0,548908000.0,279750000.0,1174271000.0,106981000.0,517967000.0,892496000.0,106981000.0,106981000.0,1067290000.0,1174271000.0,611099000.0,174794000.0,0.0,-1040198000.0
Gartner Inc,IT,,749251,2011.0,FY,,2011-12-31,2013-02-22 06:04:18+00:00,259490000.0,421033000.0,5793000.0,,142739000.0,646893000.0,611647000.0,508550000.0,7060000.0,150000000.0,68132000.0,78492000.0,,,,90345000.0,126951000.0,63521000.0,742579000.0,50000000.0,1379872000.0,181784000.0,705785000.0,921137000.0,181784000.0,181784000.0,1198088000.0,1379872000.0,605955000.0,276951000.0,,-1213481000.0
Gartner Inc,IT,,749251,2011.0,Q3,,2011-09-30,2011-11-01 07:17:50+00:00,183599000.0,349287000.0,5810000.0,,156903000.0,636875000.0,598393000.0,510227000.0,7798000.0,157500000.0,57109000.0,60627000.0,,,,95611000.0,118372000.0,66869000.0,697555000.0,52500000.0,1304431000.0,194067000.0,633686000.0,834492000.0,194067000.0,194067000.0,1110364000.0,1304431000.0,613636000.0,275872000.0,0.0,-1146173000.0
Gartner Inc,IT,,749251,2011.0,Q2,,2011-06-30,2011-08-02 07:12:31+00:00,172314000.0,360564000.0,14363000.0,,125341000.0,628623000.0,572053000.0,516027000.0,8537000.0,165000000.0,52922000.0,65866000.0,,,,92877000.0,115786000.0,73838000.0,667091000.0,55000000.0,1295972000.0,215819000.0,625609000.0,799367000.0,215819000.0,215819000.0,1080153000.0,1295972000.0,617441000.0,280786000.0,0.0,-1094258000.0
Gartner Inc,IT,,749251,2011.0,Q1,,2011-03-31,2011-05-05 07:15:56+00:00,143517000.0,345035000.0,16288000.0,,109003000.0,619849000.0,558034000.0,514676000.0,11059000.0,172500000.0,45443000.0,69981000.0,,,,87956000.0,108626000.0,92221000.0,634868000.0,82667000.0,1275374000.0,210030000.0,616240000.0,784218000.0,210030000.0,210030000.0,1065344000.0,1275374000.0,613691000.0,281126000.0,0.0,-1060975000.0
Gartner Inc,IT,,749251,2012.0,FY,,2012-12-31,2014-02-26 16:15:58+00:00,287763000.0,463968000.0,5968000.0,,299852000.0,679949000.0,692237000.0,519506000.0,11821000.0,115000000.0,89089000.0,87933000.0,,,,73395000.0,129604000.0,75713000.0,908482000.0,90000000.0,1621277000.0,306673000.0,927466000.0,1070000000.0,306673000.0,306673000.0,1314604000.0,1621277000.0,604722000.0,244604000.0,0.0,-1287726000.0
Gartner Inc,IT,,749251,2012.0,Q3,,2012-09-30,2012-11-06 07:00:56+00:00,206290000.0,370951000.0,8673000.0,,255391000.0,671333000.0,682603000.0,519200000.0,13142000.0,120000000.0,80344000.0,65870000.0,,,,84484000.0,128790000.0,89766000.0,849659000.0,80000000.0,1479148000.0,261465000.0,781978000.0,968893000.0,261465000.0,261465000.0,1217683000.0,1479148000.0,616826000.0,248790000.0,0.0,-1268200000.0
Gartner Inc,IT,,749251,2012.0,Q2,,2012-06-30,2012-08-03 07:13:33+00:00,178528000.0,389414000.0,3623000.0,,150531000.0,661128000.0,659741000.0,515002000.0,14052000.0,130000000.0,77795000.0,68310000.0,,,,86916000.0,126767000.0,78095000.0,818284000.0,70088000.0,1380115000.0,214991000.0,686350000.0,908357000.0,214991000.0,214991000.0,1165124000.0,1380115000.0,615970000.0,256767000.0,0.0,-1268044000.0
Gartner Inc,IT,,749251,2012.0,Q1,,2012-03-31,2012-05-03 07:09:59+00:00,160093000.0,384125000.0,8447000.0,,138985000.0,651450000.0,650666000.0,510933000.0,6321000.0,140000000.0,69663000.0,75466000.0,,,,86111000.0,127015000.0,78244000.0,776801000.0,100293000.0,1349848000.0,171781000.0,676820000.0,911052000.0,171781000.0,171781000.0,1178067000.0,1349848000.0,603365000.0,267015000.0,0.0,-1264917000.0
