company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
BMC SOFTWARE INC,BMC,,835729,2008.0,FY,2007-04-01,2008-03-31,2010-05-07 14:40:46+00:00,14800000.0,1.59,1.59,1.56,120800000.0,527400000.0,313600000.0,313600000.0,313600000.0,225500000.0,1731600000.0,168900000.0,213400000.0,14700000.0,209400000.0,225500000.0,1506100000.0,1100000.0,78000000.0,1148600000.0,357500000.0,76900000.0,434400000.0,1731600000.0,197200000.0,194800000.0,199600000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,Q4,2009-01-01,2009-03-31,,8400000.0,0.44,0.44,0.44,30800000.0,133700000.0,83300000.0,83300000.0,83300000.0,64100000.0,479300000.0,42000000.0,54500000.0,9600000.0,46700000.0,64100000.0,415200000.0,3300000.0,-2900000.0,294900000.0,120300000.0,-6200000.0,114100000.0,479300000.0,187500000.0,187100000.0,190200000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,FY,2008-04-01,2009-03-31,2011-05-05 20:41:21+00:00,34100000.0,1.27,1.27,1.25,125800000.0,541500000.0,238100000.0,238100000.0,238100000.0,258700000.0,1871900000.0,166300000.0,272300000.0,33500000.0,197700000.0,258700000.0,1613200000.0,17000000.0,13100000.0,1245400000.0,367800000.0,-3900000.0,363900000.0,1871900000.0,187500000.0,187100000.0,190200000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,Q3YTD,2008-04-01,2008-12-31,,25700000.0,0.83,0.83,0.81,95000000.0,407800000.0,154800000.0,154800000.0,154800000.0,194600000.0,1392600000.0,124300000.0,217800000.0,23900000.0,151000000.0,194600000.0,1198000000.0,13700000.0,16000000.0,950500000.0,247500000.0,2300000.0,249800000.0,1392600000.0,186200000.0,186000000.0,188300000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,Q3,2008-10-01,2008-12-31,2010-01-28 14:24:47+00:00,8500000.0,0.45,0.45,0.44,35900000.0,130700000.0,83800000.0,83800000.0,83800000.0,66000000.0,488400000.0,37200000.0,52000000.0,16000000.0,49300000.0,66000000.0,422400000.0,5800000.0,-3200000.0,293700000.0,128700000.0,-9000000.0,119700000.0,488400000.0,186200000.0,186000000.0,188300000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,Q2YTD,2008-04-01,2008-09-30,,17200000.0,0.38,0.38,0.37,59100000.0,277100000.0,71000000.0,71000000.0,71000000.0,128600000.0,904200000.0,87100000.0,165800000.0,7900000.0,101700000.0,128600000.0,775600000.0,7900000.0,19200000.0,656800000.0,118800000.0,11300000.0,130100000.0,904200000.0,188600000.0,188800000.0,192200000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,Q2,2008-07-01,2008-09-30,2009-10-30 13:20:42+00:00,8700000.0,0.37,0.37,0.36,38900000.0,136700000.0,69800000.0,69800000.0,69800000.0,65800000.0,466700000.0,46600000.0,53700000.0,1500000.0,48200000.0,65800000.0,400900000.0,5800000.0,9000000.0,295400000.0,105500000.0,3200000.0,108700000.0,466700000.0,188600000.0,188800000.0,192200000.0
BMC SOFTWARE INC,BMC,,835729,2009.0,Q1,2008-04-01,2008-06-30,2009-08-05 14:02:07+00:00,8500000.0,0.01,0.01,0.01,20200000.0,140400000.0,1200000.0,1200000.0,1200000.0,62800000.0,437500000.0,40500000.0,112100000.0,6400000.0,53500000.0,62800000.0,374700000.0,2100000.0,10200000.0,361400000.0,13300000.0,8100000.0,21400000.0,437500000.0,120000000.0,188800000.0,192900000.0
BMC SOFTWARE INC,BMC,,835729,2010.0,Q4,2010-01-01,2010-03-31,,8400000.0,0.65,0.65,0.64,-1400000.0,153900000.0,118800000.0,118800000.0,118800000.0,70000000.0,491300000.0,43500000.0,52700000.0,-2500000.0,49800000.0,70000000.0,421300000.0,5400000.0,7300000.0,305800000.0,115500000.0,1900000.0,117400000.0,491300000.0,183800000.0,183100000.0,186800000.0
BMC SOFTWARE INC,BMC,,835729,2010.0,FY,2009-04-01,2010-03-31,2012-05-10 14:06:40+00:00,32700000.0,2.21,2.21,2.17,98100000.0,558000000.0,406100000.0,406100000.0,406100000.0,253200000.0,1911200000.0,158300000.0,195900000.0,,207000000.0,253200000.0,1658000000.0,21300000.0,19400000.0,1151900000.0,506100000.0,-1900000.0,504200000.0,1911200000.0,183800000.0,183100000.0,186800000.0
