company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commonequity,goodwill,intangibleassets,interestbearingdeposits,loansandleases,loansheldforsale,longtermdebt,netloansandleases,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,retainedearnings,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2013.0,FY,,2013-12-31,2015-02-23 17:02:50+00:00,2892000000.0,-13000000.0,2319000000.0,0.0,949000000.0,300000000.0,25360000000.0,57254000000.0,0.0,24321000000.0,54362000000.0,359000000.0,919000000.0,5973000000.0,3085000000.0,0.0,59085000000.0,5960000000.0,5960000000.0,5960000000.0,53125000000.0,59085000000.0,,236000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,FY,,2014-12-31,2015-10-30 09:13:39+00:00,3236000000.0,-10000000.0,11828000000.0,9409000000.0,949000000.0,519000000.0,34847000000.0,61286000000.0,332000000.0,8900000000.0,58050000000.0,108000000.0,2431000000.0,,2814000000.0,1079000000.0,75707000000.0,10478000000.0,10478000000.0,10478000000.0,65229000000.0,75707000000.0,,1598000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,Q3,,2014-09-30,2014-10-31 09:19:40+00:00,3102000000.0,-9000000.0,14808000000.0,9402000000.0,949000000.0,449000000.0,32480000000.0,56767000000.0,1493000000.0,27584000000.0,53665000000.0,209000000.0,1780000000.0,0.0,3255000000.0,548000000.0,73469000000.0,9941000000.0,9941000000.0,9941000000.0,63528000000.0,73469000000.0,,325000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,Q2,,2014-06-30,2014-09-05 07:27:27+00:00,3006000000.0,-7000000.0,6782000000.0,6400000000.0,949000000.0,463000000.0,30258000000.0,54873000000.0,1458000000.0,22973000000.0,51867000000.0,204000000.0,1358000000.0,0.0,3347000000.0,0.0,63175000000.0,6393000000.0,6393000000.0,6393000000.0,56782000000.0,63175000000.0,,298000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2015.0,FY,,2015-12-31,2017-02-23 16:54:20+00:00,3497000000.0,-41000000.0,12325000000.0,9352000000.0,949000000.0,701000000.0,43215000000.0,68290000000.0,,24279000000.0,64793000000.0,152000000.0,2080000000.0,,3740000000.0,3293000000.0,83990000000.0,12604000000.0,12604000000.0,12604000000.0,71386000000.0,83990000000.0,,3142000000.0,0.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2015.0,Q3,,2015-09-30,2015-10-30 09:13:39+00:00,3371000000.0,-20000000.0,12271000000.0,9432000000.0,949000000.0,646000000.0,40408000000.0,63520000000.0,0.0,23881000000.0,60149000000.0,140000000.0,1831000000.0,,2855000000.0,2746000000.0,79442000000.0,12158000000.0,12158000000.0,12158000000.0,67284000000.0,79442000000.0,,3596000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2015.0,Q2,,2015-06-30,2015-07-31 09:00:17+00:00,3302000000.0,-17000000.0,10621000000.0,9423000000.0,949000000.0,575000000.0,37629000000.0,61431000000.0,0.0,23692000000.0,58129000000.0,143000000.0,1794000000.0,,2708000000.0,2172000000.0,75750000000.0,11578000000.0,11578000000.0,11578000000.0,64172000000.0,75750000000.0,,3682000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2015.0,Q1,,2015-03-31,2015-05-01 07:59:59+00:00,3255000000.0,-14000000.0,11218000000.0,9419000000.0,949000000.0,557000000.0,34788000000.0,58248000000.0,359000000.0,24060000000.0,54993000000.0,162000000.0,1524000000.0,,2675000000.0,1631000000.0,72721000000.0,11036000000.0,11036000000.0,11036000000.0,61685000000.0,72721000000.0,,3121000000.0,
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2016.0,FY,,2016-12-31,2018-02-22 16:56:29+00:00,4344000000.0,-53000000.0,9321000000.0,9394000000.0,949000000.0,712000000.0,51896000000.0,76337000000.0,,20147000000.0,71993000000.0,159000000.0,2122000000.0,,3809000000.0,5330000000.0,90207000000.0,14196000000.0,14196000000.0,14196000000.0,76011000000.0,90207000000.0,,5110000000.0,-475000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2016.0,Q3,,2016-09-30,2016-10-27 16:56:07+00:00,4115000000.0,-24000000.0,13588000000.0,9382000000.0,949000000.0,733000000.0,49611000000.0,70644000000.0,,20167000000.0,66529000000.0,204000000.0,2004000000.0,,3196000000.0,4861000000.0,87159000000.0,13981000000.0,13981000000.0,13981000000.0,73178000000.0,87159000000.0,,3356000000.0,-238000000.0
