company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2012.0,FY,2012-01-01,2012-12-31,2015-02-23 17:02:50+00:00,0.0,-228000000.0,736000000.0,83000000.0,,888000000.0,0.0,7799000000.0,,962000000.0,-6452000000.0,5637000000.0,962000000.0,-6452000000.0,5637000000.0,147000000.0,972000000.0,2119000000.0,2119000000.0,-18000000.0,-1935000000.0,-17000000.0,,2565000000.0,-6854000000.0,-5874000000.0,,419000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2013.0,FY,2013-01-01,2013-12-31,2016-02-25 17:26:46+00:00,,1183000000.0,729000000.0,104000000.0,6393000000.0,761000000.0,0.0,866000000.0,,-3628000000.0,-1066000000.0,5679000000.0,-3628000000.0,-1066000000.0,5679000000.0,985000000.0,481000000.0,1979000000.0,1979000000.0,-237000000.0,-618000000.0,-20000000.0,,3072000000.0,-7768000000.0,-4357000000.0,,329000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2013.0,Q4,2013-10-01,2013-12-31,,,1183000000.0,729000000.0,27000000.0,,-103000000.0,,,,3129000000.0,-4625000000.0,1145000000.0,3129000000.0,-4625000000.0,1145000000.0,-351000000.0,3557000000.0,443000000.0,443000000.0,-40000000.0,-83000000.0,-18000000.0,,818000000.0,-4901000000.0,-345000000.0,,294000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2013.0,Q3,2013-07-01,2013-09-30,,,,,25000000.0,,539000000.0,,,,-106000000.0,-2098000000.0,1764000000.0,-106000000.0,-2098000000.0,1764000000.0,-440000000.0,1137000000.0,641000000.0,641000000.0,18000000.0,-579000000.0,-10000000.0,,541000000.0,-2100000000.0,-664000000.0,,12000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-10-31 09:19:40+00:00,,,,77000000.0,6393000000.0,864000000.0,0.0,866000000.0,,-6757000000.0,3559000000.0,4534000000.0,-6757000000.0,3559000000.0,4534000000.0,1336000000.0,-3076000000.0,1536000000.0,1536000000.0,-197000000.0,-535000000.0,-2000000.0,,2254000000.0,-2867000000.0,-4012000000.0,,35000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2013.0,Q2YTD,2013-01-01,2013-06-30,2014-09-05 07:27:27+00:00,,,,52000000.0,6393000000.0,325000000.0,,866000000.0,,-6651000000.0,5657000000.0,2770000000.0,-6651000000.0,5657000000.0,2770000000.0,1776000000.0,-4213000000.0,895000000.0,895000000.0,-215000000.0,44000000.0,8000000.0,,1713000000.0,-767000000.0,-3348000000.0,,23000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,FY,2014-01-01,2014-12-31,2017-02-23 16:54:20+00:00,,1787000000.0,839000000.0,131000000.0,,386000000.0,2842000000.0,19061000000.0,,14237000000.0,-10068000000.0,5340000000.0,14237000000.0,-10068000000.0,5340000000.0,9509000000.0,9044000000.0,2109000000.0,2109000000.0,-203000000.0,-621000000.0,-1028000000.0,0.0,2917000000.0,-10577000000.0,-16089000000.0,0.0,1537000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,Q4,2014-10-01,2014-12-31,,,1787000000.0,839000000.0,35000000.0,,-327000000.0,,2053000000.0,,2131000000.0,-6157000000.0,1046000000.0,2131000000.0,-6157000000.0,1046000000.0,-2980000000.0,2222000000.0,531000000.0,531000000.0,10000000.0,106000000.0,-665000000.0,,797000000.0,-7010000000.0,-2250000000.0,,1518000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,Q3TTM,2013-10-01,2014-09-30,,,1183000000.0,729000000.0,123000000.0,,610000000.0,2842000000.0,17008000000.0,,15235000000.0,-8536000000.0,5439000000.0,15235000000.0,-8536000000.0,5439000000.0,12138000000.0,10379000000.0,2021000000.0,2021000000.0,-253000000.0,-810000000.0,-381000000.0,,2938000000.0,-8468000000.0,-14184000000.0,,313000000.0
Synchrony Financial,SYF,549300RS7EWPM9MA6C78,1601712,2014.0,Q3,2014-07-01,2014-09-30,,,,,33000000.0,,194000000.0,2842000000.0,13608000000.0,,9627000000.0,-2896000000.0,1295000000.0,9627000000.0,-2896000000.0,1295000000.0,8026000000.0,2227000000.0,548000000.0,548000000.0,-155000000.0,-53000000.0,-252000000.0,,675000000.0,-2653000000.0,-8997000000.0,,9000000.0
