company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Martin Marietta Materials Inc,MLM,,916076,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:55:10+00:00,-218544000.0,54827000.0,75622000.0,171129000.0,26028000.0,4500000.0,3271000.0,425837000.0,122884000.0,-450762000.0,345634000.0,122884000.0,-450762000.0,345634000.0,17756000.0,179750000.0,179750000.0,-9745000.0,-9443000.0,7286000.0,-66446000.0,-7286000.0,-258246000.0,-206318000.0,-24017000.0,
Martin Marietta Materials Inc,MLM,,916076,2009.0,Q4,2009-10-01,2009-12-31,,-19000.0,8986000.0,32524000.0,46115000.0,417000.0,34478000.0,60945000.0,50000000.0,24325000.0,-38339000.0,83770000.0,24325000.0,-38339000.0,83770000.0,69756000.0,-2915000.0,-2915000.0,6092000.0,174000.0,8743000.0,-18234000.0,-8743000.0,-38737000.0,-68560000.0,,
Martin Marietta Materials Inc,MLM,,916076,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 12:40:16+00:00,-49593000.0,17087000.0,72027000.0,179391000.0,7792000.0,29713000.0,294177000.0,330000000.0,92460000.0,-185031000.0,318368000.0,92460000.0,-185031000.0,318368000.0,225797000.0,88164000.0,88164000.0,21100000.0,-19445000.0,4743000.0,-73740000.0,-8743000.0,-139230000.0,-438532000.0,,
Martin Marietta Materials Inc,MLM,,916076,2009.0,Q3,2009-07-01,2009-09-30,,-25000.0,12496000.0,2448000.0,45901000.0,1572000.0,15877000.0,152000.0,50000000.0,-33289000.0,-24196000.0,117940000.0,-33289000.0,-24196000.0,117940000.0,60455000.0,56867000.0,56867000.0,-705000.0,-851000.0,,-18241000.0,,-25743000.0,-64349000.0,,
Martin Marietta Materials Inc,MLM,,916076,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-02 15:26:54+00:00,-49574000.0,8101000.0,39503000.0,133276000.0,7375000.0,-4765000.0,233232000.0,280000000.0,68135000.0,-146692000.0,234598000.0,68135000.0,-146692000.0,234598000.0,156041000.0,91079000.0,91079000.0,15008000.0,-19619000.0,-4000000.0,-55506000.0,,-100493000.0,-369972000.0,,
Martin Marietta Materials Inc,MLM,,916076,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-03 15:18:37+00:00,-49549000.0,-4395000.0,37055000.0,87375000.0,5803000.0,-20642000.0,233080000.0,230000000.0,101424000.0,-122496000.0,116658000.0,101424000.0,-122496000.0,116658000.0,95586000.0,34212000.0,34212000.0,15713000.0,-18768000.0,-4000000.0,-37265000.0,,-74750000.0,-305623000.0,,
Martin Marietta Materials Inc,MLM,,916076,2010.0,Q4,2010-10-01,2010-12-31,,-15192000.0,15929000.0,32062000.0,45591000.0,509000.0,-672000.0,275000.0,50000000.0,-16798000.0,-40575000.0,67197000.0,-16798000.0,-40575000.0,67197000.0,9824000.0,15209000.0,15209000.0,7069000.0,1771000.0,-8997000.0,-18393000.0,8997000.0,-25892000.0,-50451000.0,,
Martin Marietta Materials Inc,MLM,,916076,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 10:39:51+00:00,-43299000.0,19661000.0,68135000.0,181537000.0,5033000.0,-23914000.0,3047000.0,200000000.0,-288894000.0,-174182000.0,269808000.0,-288894000.0,-174182000.0,269808000.0,-193268000.0,98664000.0,98664000.0,13521000.0,1677000.0,,-73550000.0,,-135916000.0,-420068000.0,,
Martin Marietta Materials Inc,MLM,,916076,2010.0,Q3TTM,2009-10-01,2010-09-30,,-28126000.0,12718000.0,68597000.0,182061000.0,4941000.0,11236000.0,63717000.0,200000000.0,-247771000.0,-171946000.0,286381000.0,-247771000.0,-171946000.0,286381000.0,-133336000.0,80540000.0,80540000.0,12544000.0,80000.0,17740000.0,-73391000.0,-17740000.0,-148761000.0,-438177000.0,,
Martin Marietta Materials Inc,MLM,,916076,2010.0,Q3,2010-07-01,2010-09-30,,-40000.0,-4289000.0,1490000.0,45446000.0,697000.0,15166000.0,149000.0,25000000.0,-47119000.0,-40813000.0,116336000.0,-47119000.0,-40813000.0,116336000.0,28404000.0,53255000.0,53255000.0,2469000.0,-3251000.0,8997000.0,-18398000.0,-8997000.0,-41470000.0,-50619000.0,,
