company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2009.0,FY,2008-06-29,2009-06-27,2011-08-05 20:58:22+00:00,-61010000.0,21650000.0,0.0,205423000.0,,194136000.0,,0.0,-557849000.0,-191717000.0,445795000.0,,,-557849000.0,-191717000.0,445795000.0,-303771000.0,10455000.0,10455000.0,35781000.0,-49762000.0,873000.0,-248501000.0,-5524000.0,-135429000.0,-3867000.0,-255719000.0,8426000.0,947000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,Q4,2010-03-28,2010-06-26,,-312784000.0,57656000.0,,50385000.0,,28738000.0,,298578000.0,169640000.0,-258564000.0,157000000.0,,,169640000.0,-258564000.0,157000000.0,68076000.0,58455000.0,58455000.0,19422000.0,1542000.0,-3735000.0,-60412000.0,,-43667000.0,-10000.0,-70058000.0,100000000.0,1622000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,FY,2009-06-28,2010-06-26,2012-08-17 16:08:20+00:00,-316784000.0,217140000.0,0.0,167523000.0,0.0,118808000.0,,298578000.0,-132141000.0,-241648000.0,490953000.0,0.0,0.0,-132141000.0,-241648000.0,490953000.0,117164000.0,125139000.0,125139000.0,79483000.0,9465000.0,-3998000.0,-243755000.0,0.0,-123901000.0,-40000.0,-196389000.0,200233000.0,2802000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,Q3YTD,2009-06-28,2010-03-27,2011-04-28 17:30:23+00:00,-4000000.0,159484000.0,0.0,117138000.0,,90070000.0,0.0,0.0,-301781000.0,16916000.0,333953000.0,,,-301781000.0,16916000.0,333953000.0,49088000.0,66684000.0,66684000.0,60061000.0,7923000.0,-263000.0,-183343000.0,0.0,-80234000.0,-30000.0,-126331000.0,100233000.0,1180000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,Q3,2009-12-27,2010-03-27,,,58149000.0,,40810000.0,,146398000.0,,,-116596000.0,-26967000.0,164477000.0,,,-116596000.0,-26967000.0,164477000.0,20914000.0,-33903000.0,-33903000.0,11172000.0,1565000.0,-2000000.0,-60949000.0,,-25482000.0,-10000.0,-57202000.0,,515000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,Q2YTD,2009-06-28,2009-12-26,2011-01-21 18:52:56+00:00,-4000000.0,101335000.0,0.0,76328000.0,,-56328000.0,0.0,0.0,-185185000.0,43883000.0,169476000.0,,,-185185000.0,43883000.0,169476000.0,28174000.0,100587000.0,100587000.0,48889000.0,6358000.0,1737000.0,-122394000.0,0.0,-54752000.0,-20000.0,-69129000.0,100233000.0,665000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,Q2,2009-09-27,2009-12-26,,,101054000.0,,39832000.0,,-87121000.0,,,-102288000.0,-27180000.0,30961000.0,,,-102288000.0,-27180000.0,30961000.0,-98507000.0,58635000.0,58635000.0,19615000.0,1915000.0,784000.0,-61017000.0,,-28289000.0,-10000.0,-43176000.0,,325000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2010.0,Q1,2009-06-28,2009-09-26,2010-11-01 21:37:55+00:00,-4000000.0,281000.0,,36496000.0,,30793000.0,0.0,0.0,-82897000.0,71063000.0,138515000.0,,,-82897000.0,71063000.0,138515000.0,126681000.0,41952000.0,41952000.0,29274000.0,4443000.0,953000.0,-61377000.0,0.0,-26463000.0,-10000.0,-25953000.0,100233000.0,340000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q4,2011-03-27,2011-06-25,,-7811000.0,4318000.0,5175000.0,50016000.0,,83581000.0,21210000.0,,-99077000.0,-53579000.0,246274000.0,,,-99077000.0,-53579000.0,246274000.0,93618000.0,125593000.0,125593000.0,-12916000.0,29637000.0,,-62077000.0,,-48063000.0,,-87847000.0,,2295000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,FY,2010-06-27,2011-06-25,2013-08-12 21:43:00+00:00,-80918000.0,-15529000.0,10264000.0,205062000.0,0.0,73009000.0,28850000.0,0.0,-447091000.0,-278334000.0,861454000.0,0.0,0.0,-447091000.0,-278334000.0,861454000.0,136029000.0,489009000.0,489009000.0,94374000.0,37714000.0,,-249145000.0,-49787000.0,-175253000.0,-4659000.0,-259851000.0,0.0,27624000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q3YTD,2010-06-27,2011-03-26,2011-04-28 17:30:23+00:00,-73107000.0,-19847000.0,5089000.0,155046000.0,,-10572000.0,7640000.0,0.0,-348014000.0,-224755000.0,615180000.0,,,-348014000.0,-224755000.0,615180000.0,42411000.0,363416000.0,363416000.0,107290000.0,8077000.0,0.0,-187068000.0,-49787000.0,-127190000.0,-4659000.0,-172004000.0,0.0,25329000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q3TTM,2010-03-28,2011-03-26,,-385891000.0,37809000.0,5089000.0,205431000.0,,18166000.0,7640000.0,298578000.0,-178374000.0,-483319000.0,772180000.0,,,-178374000.0,-483319000.0,772180000.0,110487000.0,421871000.0,421871000.0,126712000.0,9619000.0,-3735000.0,-247480000.0,-49787000.0,-170857000.0,-4669000.0,-242062000.0,100000000.0,26951000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q3,2010-12-26,2011-03-26,,,15086000.0,,50684000.0,,19378000.0,-2052000.0,,-106818000.0,-79300000.0,256697000.0,,,-106818000.0,-79300000.0,256697000.0,70579000.0,136276000.0,136276000.0,50359000.0,4229000.0,,-62323000.0,-49787000.0,-29593000.0,,-46672000.0,,80000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q2YTD,2010-06-27,2010-12-25,2011-01-21 18:52:56+00:00,-73107000.0,-34933000.0,5089000.0,104362000.0,,-29950000.0,9692000.0,0.0,-241196000.0,-145455000.0,358483000.0,,,-241196000.0,-145455000.0,358483000.0,-28168000.0,227140000.0,227140000.0,56931000.0,3848000.0,0.0,-124745000.0,0.0,-97597000.0,-4659000.0,-125332000.0,0.0,25249000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q2TTM,2009-12-27,2010-12-25,,-385891000.0,80872000.0,5089000.0,195557000.0,,145186000.0,9692000.0,298578000.0,-188152000.0,-430986000.0,679960000.0,,,-188152000.0,-430986000.0,679960000.0,60822000.0,251692000.0,251692000.0,87525000.0,6955000.0,-5735000.0,-246106000.0,,-166746000.0,-4679000.0,-252592000.0,100000000.0,27386000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q2,2010-09-26,2010-12-25,,,38952000.0,5089000.0,52228000.0,,3622000.0,9692000.0,,-85566000.0,-34354000.0,199984000.0,,,-85566000.0,-34354000.0,199984000.0,80064000.0,109590000.0,109590000.0,34544000.0,2810000.0,,-62278000.0,,-59068000.0,,-35790000.0,,24714000.0
Maxim Integrated Products Inc,MXIM,SO0H5YEO14Y4PVKQH532,743316,2011.0,Q1,2010-06-27,2010-09-25,2010-11-01 21:37:55+00:00,-73107000.0,-73885000.0,,52134000.0,,-33572000.0,0.0,0.0,-155630000.0,-111101000.0,158499000.0,,,-155630000.0,-111101000.0,158499000.0,-108232000.0,117550000.0,117550000.0,22387000.0,1038000.0,0.0,-62467000.0,0.0,-38529000.0,-4659000.0,-89542000.0,0.0,535000.0
