company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2009.0,FY,2008-03-01,2009-02-28,2011-04-29 11:05:31+00:00,0.41,0.41,0.39,42811000.0,238552000.0,78721000.0,78721000.0,78721000.0,106126000.0,652572000.0,2538000.0,0.0,130177000.0,,95196000.0,106126000.0,546446000.0,,36473000.0,463925000.0,82521000.0,39011000.0,121532000.0,652572000.0,192000000.0,190772000.0,211344000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2010.0,FY,2009-03-01,2010-02-28,2012-04-25 16:18:40+00:00,0.46,0.46,0.45,34249000.0,272705000.0,87253000.0,87253000.0,87253000.0,113845000.0,748236000.0,10772000.0,8750000.0,148360000.0,,104227000.0,113845000.0,634391000.0,,10381000.0,534042000.0,100349000.0,21153000.0,121502000.0,748236000.0,189700000.0,187845000.0,193546000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2010.0,Q3,2009-09-01,2009-11-30,2011-01-10 10:40:00+00:00,0.09,0.09,0.08,8838000.0,71498000.0,16414000.0,16414000.0,16414000.0,29598000.0,194346000.0,3253000.0,8750000.0,38605000.0,,26102000.0,29598000.0,164748000.0,,2206000.0,144955000.0,19793000.0,5459000.0,25252000.0,194346000.0,182400000.0,187450000.0,193733000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2010.0,Q2,2009-06-01,2009-08-31,2010-10-08 13:54:05+00:00,0.15,0.15,0.15,4321000.0,66768000.0,28937000.0,28937000.0,28937000.0,28440000.0,183633000.0,3192000.0,,36360000.0,,24523000.0,28440000.0,155193000.0,,2524000.0,127651000.0,27542000.0,5716000.0,33258000.0,183633000.0,192900000.0,187099000.0,192659000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2011.0,Q4,2010-12-01,2011-02-28,,0.16,0.16,0.18,6708000.0,88272000.0,33534000.0,33534000.0,33534000.0,41603000.0,244796000.0,-865000.0,,45151000.0,,30360000.0,41603000.0,203193000.0,,1697000.0,163783000.0,39410000.0,832000.0,40242000.0,244796000.0,191600000.0,190294000.0,196353000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2011.0,FY,2010-03-01,2011-02-28,2013-04-25 16:12:21+00:00,0.56,0.56,0.55,46416000.0,327408000.0,107278000.0,107278000.0,107278000.0,150287000.0,909277000.0,1275000.0,,171253000.0,,114653000.0,150287000.0,758990000.0,,6743000.0,613314000.0,145676000.0,8018000.0,153694000.0,909277000.0,191600000.0,190294000.0,196353000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2011.0,Q3YTD,2010-03-01,2010-11-30,,0.4,0.4,0.37,39708000.0,239136000.0,73744000.0,73744000.0,73744000.0,108684000.0,664481000.0,2140000.0,,126102000.0,,84293000.0,108684000.0,555797000.0,,5046000.0,449531000.0,106266000.0,7186000.0,113452000.0,664481000.0,185800000.0,191296000.0,196908000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2011.0,Q3,2010-09-01,2010-11-30,2012-01-09 16:11:57+00:00,0.14,0.14,0.13,14009000.0,85138000.0,26017000.0,26017000.0,26017000.0,39744000.0,235576000.0,462000.0,,43083000.0,,29655000.0,39744000.0,195832000.0,,1608000.0,157876000.0,37956000.0,2070000.0,40026000.0,235576000.0,185800000.0,191296000.0,196908000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2011.0,Q2YTD,2010-03-01,2010-08-31,,0.26,0.26,0.24,25699000.0,153998000.0,47727000.0,47727000.0,47727000.0,68940000.0,428905000.0,1678000.0,,83019000.0,,54638000.0,68940000.0,359965000.0,,3438000.0,291655000.0,68310000.0,5116000.0,73426000.0,428905000.0,182000000.0,189027000.0,193560000.0
Red Hat Inc,RHT,08C2IQ0VM1B2PBTVHC56,1087423,2011.0,Q2,2010-06-01,2010-08-31,2011-10-06 11:24:11+00:00,0.13,0.13,0.12,12738000.0,79434000.0,23656000.0,23656000.0,23656000.0,35702000.0,219761000.0,548000.0,,42361000.0,,28193000.0,35702000.0,184059000.0,,1775000.0,149988000.0,34071000.0,2323000.0,36394000.0,219761000.0,182000000.0,189027000.0,193560000.0
