company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 14:53:37+00:00,-1522000000.0,2379000000.0,,-975000000.0,17000000.0,127000000.0,-3098000000.0,-3064000000.0,6660000000.0,,-11000000.0,138000000.0,-3098000000.0,-3075000000.0,6798000000.0,625000000.0,5475000000.0,5153000000.0,322000000.0,103000000.0,71000000.0,-88000000.0,,-818000000.0,-10000000.0,-3360000000.0,-1291000000.0,-1129000000.0,-75000000.0,1407000000.0,509000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2008.0,Q4,2008-10-01,2008-12-31,,-1297000000.0,439000000.0,,874000000.0,10000000.0,967000000.0,684000000.0,-2332000000.0,2432000000.0,-5000000.0,-538000000.0,86000000.0,679000000.0,-2870000000.0,2518000000.0,327000000.0,455000000.0,804000000.0,-349000000.0,315000000.0,6000000.0,16000000.0,,-280000000.0,,-1056000000.0,5000000.0,-24000000.0,,,5000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 13:52:43+00:00,-4701000000.0,2396000000.0,,204000000.0,32000000.0,1018000000.0,-1505000000.0,-8791000000.0,10535000000.0,-5000000.0,-538000000.0,119000000.0,-1510000000.0,-9329000000.0,10654000000.0,-185000000.0,6973000000.0,7299000000.0,-326000000.0,636000000.0,90000000.0,-42000000.0,,-1068000000.0,,-4126000000.0,-66000000.0,-1511000000.0,,51000000.0,27000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-02 13:35:37+00:00,-3404000000.0,1957000000.0,,-670000000.0,22000000.0,51000000.0,-2189000000.0,-6459000000.0,8103000000.0,,,33000000.0,-2189000000.0,-6459000000.0,8136000000.0,-512000000.0,6518000000.0,6495000000.0,23000000.0,321000000.0,84000000.0,-58000000.0,,-788000000.0,,-3070000000.0,-71000000.0,-1487000000.0,,51000000.0,22000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2008.0,Q3,2008-07-01,2008-09-30,,-1044000000.0,683000000.0,,79000000.0,17000000.0,,-910000000.0,-2249000000.0,3121000000.0,,,-16000000.0,-910000000.0,-2249000000.0,3105000000.0,-54000000.0,2309000000.0,2310000000.0,-1000000.0,49000000.0,17000000.0,-20000000.0,,-313000000.0,,-1199000000.0,-4000000.0,-627000000.0,,,14000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-06 13:31:38+00:00,-2360000000.0,1274000000.0,,-749000000.0,5000000.0,51000000.0,-1279000000.0,-4210000000.0,4982000000.0,,,49000000.0,-1279000000.0,-4210000000.0,5031000000.0,-458000000.0,4209000000.0,4185000000.0,24000000.0,272000000.0,67000000.0,-38000000.0,,-475000000.0,,-1871000000.0,-67000000.0,-860000000.0,,51000000.0,8000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2009.0,Q4,2009-10-01,2009-12-31,,-1200000000.0,,,,2000000.0,27000000.0,-262000000.0,-5130000000.0,1982000000.0,-7000000.0,-336000000.0,121000000.0,-269000000.0,-5466000000.0,2103000000.0,-384000000.0,0.0,,0.0,,-17000000.0,-3338000000.0,3248000000.0,-270000000.0,,-596000000.0,7000000.0,-11000000.0,,,4000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 13:40:17+00:00,-1782000000.0,2687000000.0,,-471000000.0,18000000.0,767000000.0,-1026000000.0,-5130000000.0,5856000000.0,-7000000.0,-336000000.0,90000000.0,-1033000000.0,-5466000000.0,5946000000.0,-553000000.0,2966000000.0,3202000000.0,-236000000.0,438000000.0,,-154000000.0,,-1079000000.0,,-3245000000.0,-692000000.0,-40000000.0,,,51000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2009.0,Q3TTM,2008-10-01,2009-09-30,,-1879000000.0,2736000000.0,,130000000.0,26000000.0,1707000000.0,-80000000.0,-2332000000.0,6306000000.0,-5000000.0,-538000000.0,55000000.0,-85000000.0,-2870000000.0,6361000000.0,158000000.0,2467000000.0,2809000000.0,-342000000.0,617000000.0,23000000.0,3200000000.0,-3248000000.0,-1089000000.0,,-3705000000.0,-694000000.0,-53000000.0,,,52000000.0
Occidental Petroleum Corp,OXY,IM7X0T3ECJW4C1T7ON55,797468,2009.0,Q3,2009-07-01,2009-09-30,,-48000000.0,,,,3000000.0,,-983000000.0,,1651000000.0,,,-9000000.0,-983000000.0,,1642000000.0,-147000000.0,0.0,,0.0,,12000000.0,793000000.0,-806000000.0,-287000000.0,,-747000000.0,-691000000.0,-20000000.0,,,2000000.0
