company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 08:02:44+00:00,-763000000.0,14377000000.0,,-2426000000.0,1274000000.0,3402000000.0,-12797000000.0,-16865000000.0,27409000000.0,0.0,757000000.0,-570000000.0,-12797000000.0,-16108000000.0,26839000000.0,-2066000000.0,10574000000.0,10574000000.0,4884000000.0,,1267000000.0,-4773000000.0,,-17538000000.0,-9857000000.0,-2843000000.0,169000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 14:32:38+00:00,-15904000000.0,14610000000.0,,-8494000000.0,16000000.0,23987000000.0,12651000000.0,-31474000000.0,27452000000.0,,,,12651000000.0,-31474000000.0,27452000000.0,8629000000.0,3962000000.0,3962000000.0,17374000000.0,,-114000000.0,-4994000000.0,,-17133000000.0,-4990000000.0,-1368000000.0,1677000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2008.0,Q4,2008-10-01,2008-12-31,,74000000.0,3792000000.0,,-5699000000.0,,7303000000.0,5160000000.0,-3592000000.0,7518000000.0,,,,5160000000.0,-3592000000.0,7518000000.0,9086000000.0,-5690000000.0,-5690000000.0,15115000000.0,,453000000.0,-1307000000.0,,-4558000000.0,-837000000.0,1000000.0,439000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2008.0,Q3,2008-07-01,2008-09-30,,-1485000000.0,3652000000.0,,-2000000.0,1000000.0,1611000000.0,-1571000000.0,-5614000000.0,7299000000.0,,,,-1571000000.0,-5614000000.0,7299000000.0,114000000.0,3199000000.0,3199000000.0,450000000.0,,-453000000.0,-1223000000.0,,-4178000000.0,-1708000000.0,-252000000.0,502000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 16:44:39+00:00,-15978000000.0,10818000000.0,,-2795000000.0,16000000.0,16684000000.0,7491000000.0,-27882000000.0,19934000000.0,,,,7491000000.0,-27882000000.0,19934000000.0,-457000000.0,9652000000.0,9652000000.0,2259000000.0,,-567000000.0,-3687000000.0,,-12575000000.0,-4153000000.0,-1369000000.0,1238000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 16:50:57+00:00,-14493000000.0,7166000000.0,,-2793000000.0,15000000.0,15073000000.0,9062000000.0,-22268000000.0,12635000000.0,,,,9062000000.0,-22268000000.0,12635000000.0,-571000000.0,6453000000.0,6453000000.0,1809000000.0,,-114000000.0,-2464000000.0,,-8397000000.0,-2445000000.0,-1117000000.0,736000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,FY,2009-01-01,2009-12-31,2011-02-28 14:32:38+00:00,-5958000000.0,16534000000.0,,-1404000000.0,,12040000000.0,-16007000000.0,-23156000000.0,31390000000.0,,,,-16007000000.0,-23156000000.0,31390000000.0,-7773000000.0,11601000000.0,11601000000.0,4659000000.0,,-410000000.0,-5271000000.0,,-16872000000.0,-22776000000.0,,84000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q4,2009-10-01,2009-12-31,,-331000000.0,4243000000.0,,497000000.0,,,-2271000000.0,-5208000000.0,8272000000.0,,,,-2271000000.0,-5208000000.0,8272000000.0,793000000.0,2344000000.0,2344000000.0,1188000000.0,,-461000000.0,-1351000000.0,,-4422000000.0,-920000000.0,,6000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-29 16:44:39+00:00,-5627000000.0,12291000000.0,,-1901000000.0,0.0,12040000000.0,-13736000000.0,-17948000000.0,23118000000.0,,,,-13736000000.0,-17948000000.0,23118000000.0,-8566000000.0,9257000000.0,9257000000.0,3471000000.0,,51000000.0,-3920000000.0,,-12450000000.0,-21856000000.0,0.0,78000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q3TTM,2008-10-01,2009-09-30,,-5553000000.0,16083000000.0,,-7600000000.0,,19343000000.0,-8576000000.0,-21540000000.0,30636000000.0,,,,-8576000000.0,-21540000000.0,30636000000.0,520000000.0,3567000000.0,3567000000.0,18586000000.0,,504000000.0,-5227000000.0,,-17008000000.0,-22693000000.0,1000000.0,517000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q3,2009-07-01,2009-09-30,,-260000000.0,4172000000.0,,687000000.0,,,-3915000000.0,-4670000000.0,8981000000.0,,,,-3915000000.0,-4670000000.0,8981000000.0,396000000.0,2887000000.0,2887000000.0,1235000000.0,,-13000000.0,-1306000000.0,,-4356000000.0,-2609000000.0,,-41000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q2YTD,2009-01-01,2009-06-30,2009-07-30 16:50:57+00:00,-5367000000.0,8119000000.0,,-2588000000.0,0.0,12040000000.0,-9821000000.0,-13278000000.0,14137000000.0,,,,-9821000000.0,-13278000000.0,14137000000.0,-8962000000.0,6370000000.0,6370000000.0,2236000000.0,,64000000.0,-2614000000.0,,-8094000000.0,-19247000000.0,0.0,119000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q2TTM,2008-07-01,2009-06-30,,-6778000000.0,15563000000.0,,-8289000000.0,1000000.0,20954000000.0,-6232000000.0,-22484000000.0,28954000000.0,,,,-6232000000.0,-22484000000.0,28954000000.0,238000000.0,3879000000.0,3879000000.0,17801000000.0,,64000000.0,-5144000000.0,,-16830000000.0,-21792000000.0,-251000000.0,1060000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q2,2009-04-01,2009-06-30,,-249000000.0,4091000000.0,,-1229000000.0,,-2920000000.0,-6155000000.0,-4519000000.0,7515000000.0,,,,-6155000000.0,-4519000000.0,7515000000.0,-3159000000.0,3160000000.0,3160000000.0,1493000000.0,,78000000.0,-1307000000.0,,-4387000000.0,-1928000000.0,,39000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2009.0,Q1,2009-01-01,2009-03-31,2010-04-28 13:27:26+00:00,-5118000000.0,4028000000.0,,-1359000000.0,,14960000000.0,-3666000000.0,-8759000000.0,6622000000.0,,,,-3666000000.0,-8759000000.0,6622000000.0,-5803000000.0,3210000000.0,3210000000.0,743000000.0,,-14000000.0,-1307000000.0,,-3707000000.0,-17319000000.0,,80000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2010.0,Q4,2010-10-01,2010-12-31,,241000000.0,4086000000.0,2594000000.0,275000000.0,,,-1981000000.0,-4895000000.0,8150000000.0,,,,-1981000000.0,-4895000000.0,8150000000.0,1274000000.0,3466000000.0,3466000000.0,323000000.0,,-2494000000.0,-1378000000.0,31000000.0,-5267000000.0,-603000000.0,,
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 10:36:58+00:00,-786000000.0,16405000000.0,2594000000.0,1505000000.0,,,-13650000000.0,-15054000000.0,33363000000.0,,,,-13650000000.0,-15054000000.0,33363000000.0,4659000000.0,10217000000.0,10217000000.0,5236000000.0,3083000000.0,251000000.0,-5412000000.0,-3000000.0,-17110000000.0,-11321000000.0,,
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2010.0,Q3YTD,2010-01-01,2010-09-30,2010-10-28 15:59:47+00:00,-1027000000.0,12319000000.0,,1230000000.0,,,-11669000000.0,-10159000000.0,25213000000.0,,,,-11669000000.0,-10159000000.0,25213000000.0,3385000000.0,6751000000.0,6751000000.0,4913000000.0,3083000000.0,2745000000.0,-4034000000.0,-34000000.0,-11843000000.0,-10718000000.0,,
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2010.0,Q3TTM,2009-10-01,2010-09-30,,-1358000000.0,16562000000.0,,1727000000.0,,,-13940000000.0,-15367000000.0,33485000000.0,,,,-13940000000.0,-15367000000.0,33485000000.0,4178000000.0,9095000000.0,9095000000.0,6101000000.0,3083000000.0,2284000000.0,-5385000000.0,-34000000.0,-16265000000.0,-11638000000.0,,6000000.0
Verizon Communications Inc,VZ,2S72QS2UO2OESLG6Y829,732712,2010.0,Q3,2010-07-01,2010-09-30,,-489000000.0,4022000000.0,-2594000000.0,-544000000.0,,,-3157000000.0,-4550000000.0,8340000000.0,,,,-3157000000.0,-4550000000.0,8340000000.0,633000000.0,2920000000.0,2920000000.0,1942000000.0,3083000000.0,2708000000.0,-1344000000.0,-17000000.0,-4158000000.0,-4896000000.0,,
