company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 12:49:18+00:00,3.19,3.19,0.25,2.57,,,84100000.0,285600000.0,285400000.0,200000.0,264800000.0,15600000.0,1813200000.0,2275200000.0,,-11200000.0,1700000.0,-12200000.0,-21600000.0,5200000.0,,114200000.0,1813200000.0,462000000.0,22600000.0,20000000.0,80400000.0,381600000.0,-900000.0,380700000.0,2275200000.0,83000000.0,82988000.0,105026000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 13:50:59+00:00,5.07,5.07,0.35,4.76,,,144200000.0,537000000.0,537000000.0,,514700000.0,21200000.0,2449400000.0,3609100000.0,,-35100000.0,-183900000.0,65500000.0,-33300000.0,1100000.0,,188600000.0,2449400000.0,1159700000.0,39800000.0,1100000.0,220800000.0,938900000.0,-222600000.0,716300000.0,3609100000.0,101500000.0,101471000.0,108288000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 12:08:47+00:00,1.67,1.67,0.0875,1.61,,,52000000.0,178500000.0,178500000.0,,174900000.0,3600000.0,824700000.0,1189700000.0,,-13100000.0,-91000000.0,-15600000.0,-600000.0,0.0,,41800000.0,824700000.0,365000000.0,10700000.0,5900000.0,25600000.0,339400000.0,-95800000.0,243600000.0,1189700000.0,104700000.0,104753000.0,108719000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 14:50:09+00:00,2.75,2.75,0.0875,2.57,,,107400000.0,292600000.0,292600000.0,,269800000.0,22400000.0,582300000.0,1008600000.0,,-6200000.0,300000.0,-5700000.0,-29500000.0,400000.0,,52100000.0,582300000.0,426300000.0,9800000.0,6300000.0,16900000.0,409400000.0,-3200000.0,406200000.0,1008600000.0,98100000.0,98127000.0,105227000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 14:36:33+00:00,1.64,1.64,0.26,1.63,,,22500000.0,205100000.0,208500000.0,-3400000.0,205100000.0,,2030300000.0,2342000000.0,,-65500000.0,88600000.0,-42000000.0,,,,117600000.0,2030300000.0,311700000.0,39000000.0,10800000.0,75600000.0,236100000.0,60400000.0,296500000.0,2342000000.0,125100000.0,124998000.0,125751000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 12:06:43+00:00,0.45,0.45,0.04,0.45,,,1900000.0,58600000.0,58600000.0,,58800000.0,-200000.0,563200000.0,666200000.0,,-20900000.0,9000000.0,-4900000.0,-1000000.0,,,28400000.0,563200000.0,103200000.0,10000000.0,1900000.0,22500000.0,80500000.0,900000.0,81400000.0,666200000.0,130700000.0,130840000.0,131736000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 14:40:42+00:00,0.36,0.36,0.04,0.36,,,-17600000.0,45200000.0,45200000.0,,45500000.0,-300000.0,402000000.0,390300000.0,,-25500000.0,78000000.0,-18300000.0,500000.0,,,23400000.0,402000000.0,-11700000.0,10000000.0,2400000.0,5600000.0,-17300000.0,70400000.0,53100000.0,390300000.0,126400000.0,125055000.0,125779000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2010.0,Q4,2010-10-01,2010-12-31,,2.84,2.84,0.14,2.82,14100000.0,,700000.0,384500000.0,361300000.0,23200000.0,384400000.0,100000.0,809000000.0,1225800000.0,,5100000.0,20600000.0,12000000.0,,,,27500000.0,809000000.0,416800000.0,18500000.0,-8400000.0,53600000.0,363200000.0,-6300000.0,356900000.0,1225800000.0,135300000.0,135301000.0,136138000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2010.0,FY,2010-01-01,2010-12-31,2013-02-12 16:16:26+00:00,7.54,7.54,0.51,7.49,33700000.0,0.0,282500000.0,1019900000.0,997400000.0,22500000.0,1019900000.0,0.0,3025100000.0,4483800000.0,,13500000.0,52300000.0,20500000.0,,,0.0,171700000.0,3025100000.0,1458700000.0,59400000.0,40700000.0,225900000.0,1232800000.0,33600000.0,1266400000.0,4483800000.0,135300000.0,135301000.0,136138000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2010.0,Q3YTD,2010-01-01,2010-09-30,,4.7,4.7,0.37,4.7,19600000.0,,281800000.0,635400000.0,636100000.0,-700000.0,635500000.0,-100000.0,2216100000.0,3258000000.0,,8400000.0,31700000.0,8500000.0,,,,144200000.0,2216100000.0,1041900000.0,40900000.0,49100000.0,172300000.0,869600000.0,39900000.0,909500000.0,3258000000.0,135200000.0,135345000.0,136213000.0
