company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 12:49:18+00:00,-524400000.0,,107200000.0,,11800000.0,-76300000.0,0.0,1196100000.0,,250100000.0,-745400000.0,289300000.0,250100000.0,-745400000.0,288900000.0,-194600000.0,285600000.0,285800000.0,-200000.0,-27400000.0,-159600000.0,0.0,,-24500000.0,-85300000.0,-199500000.0,-761900000.0,,,40600000.0,23200000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 13:50:59+00:00,-62700000.0,,201100000.0,,-68100000.0,37300000.0,,867400000.0,,32400000.0,-795600000.0,853200000.0,32400000.0,-795600000.0,853200000.0,21900000.0,537000000.0,537000000.0,,77800000.0,,10500000.0,,-46600000.0,-619900000.0,-182500000.0,-788400000.0,,,17800000.0,41200000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,Q4,2008-10-01,2008-12-31,,-42400000.0,,71900000.0,,-37100000.0,68200000.0,,172400000.0,,-20800000.0,-422400000.0,271000000.0,-20800000.0,-422400000.0,271000000.0,-209300000.0,46000000.0,46000000.0,,84900000.0,,117400000.0,,-18300000.0,-482100000.0,-34800000.0,-174900000.0,,,17800000.0,1700000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,Q3,2008-07-01,2008-09-30,,-18100000.0,,51100000.0,,-43500000.0,269800000.0,,110000000.0,,-171900000.0,-216000000.0,499300000.0,-171900000.0,-216000000.0,499300000.0,67900000.0,178300000.0,178300000.0,,100000.0,-3300000.0,-116900000.0,,-11900000.0,27000000.0,-88600000.0,-266700000.0,,,-20300000.0,900000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-30 12:08:47+00:00,-20300000.0,,129200000.0,,-31000000.0,-30900000.0,0.0,695000000.0,,53200000.0,-373200000.0,582200000.0,53200000.0,-373200000.0,582200000.0,231200000.0,491000000.0,491000000.0,,-7100000.0,,-106900000.0,,-28300000.0,-137800000.0,-147700000.0,-613500000.0,,,,39500000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-30 14:50:09+00:00,-2200000.0,,78100000.0,,12500000.0,-300700000.0,0.0,585000000.0,,225100000.0,-157200000.0,82900000.0,225100000.0,-157200000.0,82900000.0,163300000.0,312700000.0,312700000.0,,-7200000.0,3300000.0,10000000.0,,-16400000.0,-164800000.0,-59100000.0,-346800000.0,,,20300000.0,38600000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 14:36:33+00:00,-81800000.0,,236600000.0,,13000000.0,-334600000.0,347300000.0,279700000.0,,304300000.0,-179300000.0,185700000.0,304300000.0,-179300000.0,185700000.0,323700000.0,205100000.0,205100000.0,,78600000.0,,,,-31900000.0,-14900000.0,-116300000.0,-290800000.0,,,5400000.0,28300000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,Q4,2009-10-01,2009-12-31,,-2700000.0,,63900000.0,,1400000.0,-15000000.0,,1300000.0,,-20000000.0,-29700000.0,191100000.0,-20000000.0,-29700000.0,191100000.0,142800000.0,108900000.0,108900000.0,,33300000.0,,,,-11500000.0,-11000000.0,-20500000.0,-9800000.0,,,,4500000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,Q3TTM,2008-10-01,2009-09-30,,-121500000.0,,244600000.0,,-25500000.0,-251400000.0,347300000.0,450800000.0,,303500000.0,-572000000.0,265600000.0,303500000.0,-572000000.0,265600000.0,-28400000.0,142200000.0,142200000.0,,130200000.0,,117400000.0,,-38700000.0,-486000000.0,-130600000.0,-455900000.0,,,23200000.0,25500000.0
Cleveland-Cliffs Inc,CLF,549300TM2WLI2BJMDD86,764065,2009.0,Q3,2009-07-01,2009-09-30,,-34300000.0,,58000000.0,,2800000.0,25400000.0,-200000.0,4200000.0,,-2800000.0,-69600000.0,154900000.0,-2800000.0,-69600000.0,154900000.0,85300000.0,58600000.0,58600000.0,,12900000.0,,,,-5200000.0,,-35300000.0,-1600000.0,,,,
