company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 16:39:56+00:00,,,211049000.0,17871000.0,0.0,273375000.0,-168314000.0,-184797000.0,356990000.0,-168314000.0,-184797000.0,356990000.0,3879000.0,126859000.0,126859000.0,1211000.0,0.0,,0.0,,-184797000.0,-441689000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,Q4,2012-10-01,2012-12-31,,,-6000000.0,55356000.0,-39003000.0,,215628000.0,28720000.0,-73985000.0,22071000.0,28720000.0,-73985000.0,22071000.0,-23194000.0,1053000.0,1053000.0,10665000.0,,,,,-73985000.0,-186908000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 17:21:08+00:00,,,216137000.0,383000.0,,800618000.0,-108180000.0,-303840000.0,398594000.0,-108180000.0,-303840000.0,398594000.0,-13426000.0,168556000.0,168556000.0,13518000.0,,,,,-303840000.0,-908798000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-10-31 06:23:07+00:00,,6000000.0,160781000.0,39386000.0,0.0,584990000.0,-136900000.0,-229855000.0,376523000.0,-136900000.0,-229855000.0,376523000.0,9768000.0,167503000.0,167503000.0,2853000.0,0.0,,0.0,,-229855000.0,-721890000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,Q3,2012-07-01,2012-09-30,,,,55039000.0,-62657000.0,,64785000.0,-62860000.0,-54882000.0,120735000.0,-62860000.0,-54882000.0,120735000.0,2993000.0,128188000.0,128188000.0,165000.0,,,,,-54882000.0,-127645000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-07-30 17:08:15+00:00,,6000000.0,105742000.0,102043000.0,0.0,520205000.0,-74040000.0,-174973000.0,255788000.0,-74040000.0,-174973000.0,255788000.0,6775000.0,39315000.0,39315000.0,2688000.0,,,0.0,,-174973000.0,-594245000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,Q2,2012-04-01,2012-06-30,,,,53272000.0,5528000.0,,369200000.0,55014000.0,-150640000.0,97354000.0,55014000.0,-150640000.0,97354000.0,1728000.0,36031000.0,36031000.0,2523000.0,,,,,-150640000.0,-314186000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2012.0,Q1,2012-01-01,2012-03-31,2013-05-08 17:17:08+00:00,,6000000.0,52470000.0,96515000.0,0.0,151005000.0,-129054000.0,-24333000.0,158434000.0,-129054000.0,-24333000.0,158434000.0,5047000.0,3284000.0,3284000.0,165000.0,,,0.0,,-24333000.0,-280059000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2013.0,Q4,2013-10-01,2013-12-31,,,,64968000.0,-26229000.0,897000.0,163001000.0,-18345000.0,-59086000.0,76938000.0,-18345000.0,-59086000.0,76938000.0,-493000.0,36407000.0,36407000.0,1792000.0,752000.0,,-116694000.0,,-59086000.0,-66301000.0,,
Norwegian Cruise Line Holdings Ltd,NCLH,UNZWILHE4KMRP9K2L524,1513761,2013.0,FY,2013-01-01,2013-12-31,2015-02-27 17:21:08+00:00,,,245111000.0,67852000.0,473914000.0,2522311000.0,430537000.0,-894851000.0,475281000.0,430537000.0,-894851000.0,475281000.0,10967000.0,102886000.0,102886000.0,59432000.0,2020000.0,,-116694000.0,,-894851000.0,-2451014000.0,,
