company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Cablevision Systems Corp ,CVC,,1053112,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:58:30+00:00,-16771000.0,229547000.0,1118888000.0,212904000.0,-370891000.0,73000000.0,-923292000.0,-551242000.0,939740000.0,,-923292000.0,-551242000.0,939740000.0,-534794000.0,23040000.0,23040000.0,,-60844000.0,30794000.0,5812000.0,,-80868000.0,,-781306000.0,-877193000.0,-69025000.0,24783000.0,3336000.0
Cablevision Systems Corp ,CVC,,1053112,2008.0,Q4,2008-10-01,2008-12-31,,-795749000.0,233295000.0,1441532000.0,900000.0,-284714000.0,1700474000.0,357904000.0,-1650971000.0,1323097000.0,,357904000.0,-1650971000.0,1323097000.0,30030000.0,-242338000.0,-242338000.0,,175322000.0,-27653000.0,-4697000.0,,-66123000.0,,-853909000.0,-1244552000.0,-4242000.0,32000.0,2452000.0
Cablevision Systems Corp ,CVC,,1053112,2008.0,FY,2008-01-01,2008-12-31,2011-03-18 09:46:56+00:00,-795749000.0,233295000.0,1441532000.0,900000.0,-284714000.0,1700474000.0,357904000.0,-1650971000.0,1323097000.0,,357904000.0,-1650971000.0,1323097000.0,30030000.0,-242338000.0,-242338000.0,,175322000.0,-27653000.0,-4697000.0,,-66123000.0,,-853909000.0,-1244552000.0,-4242000.0,32000.0,2452000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:57:01+00:00,-4141000.0,43514000.0,916408000.0,98000.0,-23997000.0,2454642000.0,-670478000.0,-667273000.0,1247139000.0,,-670478000.0,-667273000.0,1247139000.0,-11345000.0,123832000.0,123832000.0,,187382000.0,-33420000.0,70979000.0,79267000.0,-124072000.0,,-737524000.0,-2951453000.0,-16175000.0,1131000.0,2184000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,Q4,2009-10-01,2009-12-31,,418000.0,-142038000.0,143446000.0,-1852000.0,105687000.0,201567000.0,-61402000.0,-127249000.0,106043000.0,,-61402000.0,-127249000.0,106043000.0,-3341000.0,-72966000.0,-72966000.0,,71914000.0,3557000.0,66252000.0,79267000.0,-32632000.0,,-191604000.0,-230097000.0,-3797000.0,2000.0,-465000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,Q3TTM,2008-10-01,2009-09-30,,-800308000.0,418847000.0,2214494000.0,2850000.0,-414398000.0,3953549000.0,-251172000.0,-2190995000.0,2464193000.0,,-251172000.0,-2190995000.0,2464193000.0,22026000.0,-45540000.0,-45540000.0,,290790000.0,-64630000.0,30000.0,,-157563000.0,,-1399829000.0,-3965908000.0,-16620000.0,1161000.0,5101000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,Q3,2009-07-01,2009-09-30,,-4206000.0,63024000.0,251498000.0,525000.0,-32008000.0,926757000.0,-286867000.0,-194456000.0,397162000.0,,-286867000.0,-194456000.0,397162000.0,-84161000.0,92256000.0,92256000.0,,22392000.0,-10351000.0,,,-31402000.0,,-190884000.0,-1171294000.0,-577000.0,9000.0,100000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 16:45:44+00:00,-4559000.0,185552000.0,772962000.0,1950000.0,-129684000.0,2253075000.0,-609076000.0,-540024000.0,1141096000.0,,-609076000.0,-540024000.0,1141096000.0,-8004000.0,196798000.0,196798000.0,,115468000.0,-36977000.0,4727000.0,,-91440000.0,,-545920000.0,-2721356000.0,-12378000.0,1129000.0,2649000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,Q2TTM,2008-07-01,2009-06-30,,-796102000.0,355823000.0,1962996000.0,2325000.0,-382390000.0,3026792000.0,35695000.0,-1996539000.0,2067031000.0,,35695000.0,-1996539000.0,2067031000.0,106187000.0,-137796000.0,-137796000.0,,268398000.0,-54279000.0,30000.0,,-126161000.0,,-1208945000.0,-2794614000.0,-16043000.0,1152000.0,5001000.0
Cablevision Systems Corp ,CVC,,1053112,2009.0,Q2,2009-04-01,2009-06-30,,-8000.0,61507000.0,258201000.0,525000.0,-45670000.0,39451000.0,-177507000.0,-178785000.0,392869000.0,,-177507000.0,-178785000.0,392869000.0,36577000.0,87651000.0,87651000.0,,31180000.0,433000.0,4727000.0,,-30956000.0,,-186074000.0,-174634000.0,-11801000.0,20000.0,2025000.0
