company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Plum Creek Timber Company Inc ,PCL,,849213,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:47:45+00:00,,300000000.0,,,,,,,,,,,,,,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2008.0,Q4,2008-10-01,2008-12-31,,,293000000.0,,,,,,,,,,,,,,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:57:04+00:00,,293000000.0,,,,,,,,,,,,,,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q4,2009-10-01,2009-12-31,,,244000000.0,,,,,,,236000000.0,,,236000000.0,236000000.0,236000000.0,236000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:25:34+00:00,,244000000.0,,,,,,,236000000.0,,,236000000.0,236000000.0,236000000.0,236000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q3TTM,2008-10-01,2009-09-30,,,293000000.0,,,,,,,,,,,,,,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q2TTM,2008-07-01,2009-06-30,,,293000000.0,,,,,,,,,,,,,,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q4,2010-10-01,2010-12-31,,,218000000.0,,,,,,,59000000.0,,,59000000.0,59000000.0,59000000.0,59000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 16:24:23+00:00,,218000000.0,,,,,,,213000000.0,,,213000000.0,213000000.0,213000000.0,213000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q3TTM,2009-10-01,2010-09-30,,,244000000.0,,,,,,,390000000.0,,,390000000.0,390000000.0,390000000.0,390000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q3,2010-07-01,2010-09-30,,,,,,,,,,32000000.0,,,32000000.0,32000000.0,32000000.0,32000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-01 16:35:20+00:00,,,,,,,,,154000000.0,,,154000000.0,154000000.0,154000000.0,154000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q2TTM,2009-07-01,2010-06-30,,,244000000.0,,,,,,,358000000.0,,,358000000.0,358000000.0,358000000.0,358000000.0,,,,,,,,,,
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q2,2010-04-01,2010-06-30,,13000000.0,,-24000000.0,-9000000.0,,-568000000.0,122000000.0,2000000.0,-7000000.0,122000000.0,2000000.0,-7000000.0,117000000.0,35000000.0,35000000.0,-9000000.0,,,68000000.0,,,621000000.0,1000000.0,,-11000000.0
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 13:08:32+00:00,,,,,,,,,122000000.0,,,122000000.0,122000000.0,122000000.0,122000000.0,,,,,,,,,,
