company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherrevenue,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Plum Creek Timber Company Inc ,PCL,,849213,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:47:45+00:00,1.61,1.61,1.68,1.61,-6000000.0,1128000000.0,560000000.0,1128000000.0,3588000000.0,2368000000.0,568000000.0,0.0,,-2282000000.0,40000000.0,0.0,254000000.0,3588000000.0,-1180000000.0,294000000.0,0.0,-2028000000.0,848000000.0,-294000000.0,554000000.0,2408000000.0,700600000.0,174500000.0,175000000.0
Plum Creek Timber Company Inc ,PCL,,849213,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:57:04+00:00,1.37,1.37,1.68,1.37,-54000000.0,932000000.0,480000000.0,918000000.0,2314000000.0,2368000000.0,452000000.0,-426000000.0,-148000000.0,-1464000000.0,50000000.0,14000000.0,256000000.0,2314000000.0,104000000.0,372000000.0,60000000.0,-1208000000.0,1312000000.0,-460000000.0,852000000.0,2418000000.0,670100000.0,170300000.0,170700000.0
Plum Creek Timber Company Inc ,PCL,,849213,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 16:43:09+00:00,0.4,0.4,0.42,0.4,-10000000.0,138000000.0,138000000.0,138000000.0,922000000.0,604000000.0,0.0,,,-562000000.0,16000000.0,0.0,62000000.0,922000000.0,-302000000.0,70000000.0,0.0,-500000000.0,198000000.0,-70000000.0,128000000.0,620000000.0,345000000.0,171200000.0,171800000.0
Plum Creek Timber Company Inc ,PCL,,849213,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 16:35:30+00:00,0.18,0.18,0.42,0.18,-16000000.0,62000000.0,62000000.0,62000000.0,888000000.0,498000000.0,,,,-558000000.0,12000000.0,0.0,66000000.0,888000000.0,-378000000.0,68000000.0,0.0,-492000000.0,114000000.0,-68000000.0,46000000.0,510000000.0,344400000.0,171100000.0,171600000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q4,2009-10-01,2009-12-31,,1.14,1.64,0.42,1.62,-10000000.0,764000000.0,251000000.0,749000000.0,-314000000.0,896000000.0,513000000.0,180000000.0,-1605000000.0,-628000000.0,8000000.0,15000000.0,126000000.0,-314000000.0,1218000000.0,134000000.0,80000000.0,-502000000.0,1720000000.0,-1659000000.0,61000000.0,904000000.0,773800000.0,326600000.0,326800000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:25:34+00:00,1.45,2.9,1.68,2.88,-62000000.0,1180000000.0,766000000.0,1122000000.0,1778000000.0,2562000000.0,414000000.0,236000000.0,-1475000000.0,-1612000000.0,36000000.0,58000000.0,212000000.0,1778000000.0,820000000.0,387000000.0,110000000.0,-1400000000.0,2220000000.0,-1752000000.0,468000000.0,2598000000.0,773800000.0,326600000.0,326800000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.31,1.26,1.26,1.26,-52000000.0,416000000.0,515000000.0,373000000.0,2092000000.0,1666000000.0,-99000000.0,56000000.0,130000000.0,-984000000.0,28000000.0,43000000.0,86000000.0,2092000000.0,-398000000.0,253000000.0,30000000.0,-898000000.0,500000000.0,-93000000.0,407000000.0,1694000000.0,200000000.0,162800000.0,162900000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 17:25:17+00:00,0.12,0.12,0.42,0.12,-6000000.0,38000000.0,80000000.0,24000000.0,472000000.0,450000000.0,-42000000.0,28000000.0,64000000.0,-130000000.0,8000000.0,14000000.0,40000000.0,472000000.0,-14000000.0,94000000.0,,-90000000.0,76000000.0,-30000000.0,46000000.0,458000000.0,200000000.0,162800000.0,162900000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.19,1.14,0.84,1.14,-46000000.0,378000000.0,435000000.0,349000000.0,1620000000.0,1216000000.0,-57000000.0,28000000.0,66000000.0,-854000000.0,20000000.0,29000000.0,46000000.0,1620000000.0,-384000000.0,159000000.0,30000000.0,-808000000.0,424000000.0,-63000000.0,361000000.0,1236000000.0,257900000.0,162800000.0,162900000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 16:16:15+00:00,0.19,0.19,0.42,0.19,-6000000.0,64000000.0,107000000.0,49000000.0,656000000.0,402000000.0,-43000000.0,28000000.0,66000000.0,-396000000.0,10000000.0,15000000.0,46000000.0,656000000.0,-244000000.0,99000000.0,,-350000000.0,106000000.0,-33000000.0,73000000.0,412000000.0,257900000.0,162800000.0,162900000.0
Plum Creek Timber Company Inc ,PCL,,849213,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 16:11:07+00:00,,0.95,0.42,0.95,-40000000.0,314000000.0,328000000.0,300000000.0,964000000.0,814000000.0,-14000000.0,,,-458000000.0,10000000.0,14000000.0,0.0,964000000.0,-140000000.0,60000000.0,30000000.0,-458000000.0,318000000.0,-30000000.0,288000000.0,824000000.0,,164700000.0,164800000.0
Plum Creek Timber Company Inc ,PCL,,849213,2010.0,FY,2010-01-01,2010-12-31,2012-02-24 16:25:34+00:00,1.31,2.62,1.68,2.62,2000000.0,1278000000.0,664000000.0,1220000000.0,1614000000.0,1988000000.0,614000000.0,202000000.0,-1328000000.0,-1732000000.0,40000000.0,58000000.0,190000000.0,1614000000.0,414000000.0,164000000.0,,-1542000000.0,1956000000.0,-1492000000.0,464000000.0,2028000000.0,931300000.0,324200000.0,324600000.0
