company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:24:28+00:00,,8229000.0,336681000.0,761130000.0,89219000.0,,3302710000.0,1526196000.0,25002000.0,,-5370059000.0,254693000.0,4180431000.0,-5370059000.0,254693000.0,4180431000.0,-934935000.0,-2321483000.0,-177971000.0,-177971000.0,-151259000.0,-7399000.0,-135034000.0,1109503000.0,-938962000.0,-23666000.0,-4456926000.0,-303000.0,-112000.0,1217321000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,Q4,2009-10-01,2009-12-31,,,1427000.0,2356000.0,45805000.0,17544000.0,803000.0,-89666000.0,,,,75764000.0,-229569000.0,121517000.0,75764000.0,-229569000.0,121517000.0,-32288000.0,632239000.0,-52844000.0,-52844000.0,50699000.0,-5701000.0,-13769000.0,194357000.0,-549122000.0,-2753000.0,-537001000.0,-4000.0,,321503000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:17:50+00:00,,6017000.0,109242000.0,246832000.0,75390000.0,803000.0,-173113000.0,,,,-3633974000.0,2443517000.0,784272000.0,-3633974000.0,2443517000.0,784272000.0,-406185000.0,625432000.0,-258435000.0,-258435000.0,106641000.0,-5698000.0,-56188000.0,1027772000.0,-618972000.0,-21180000.0,-4197128000.0,-392000.0,,3082866000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,Q3,2009-07-01,2009-09-30,,,1445000.0,152000.0,50149000.0,17396000.0,,81926000.0,,,,-1871355000.0,1543246000.0,327658000.0,-1871355000.0,1543246000.0,327658000.0,-451000.0,-742470000.0,-35014000.0,-35014000.0,29856000.0,,-15141000.0,232049000.0,455776000.0,-4652000.0,-1113721000.0,-23000.0,,1092122000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-01 12:49:09+00:00,,4590000.0,106886000.0,201027000.0,57846000.0,,-83447000.0,,,,-3709738000.0,2673086000.0,662755000.0,-3709738000.0,2673086000.0,662755000.0,-373897000.0,-6807000.0,-205591000.0,-205591000.0,55942000.0,3000.0,-42419000.0,833415000.0,-69850000.0,-18427000.0,-3660127000.0,-388000.0,,2761363000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,Q2,2009-04-01,2009-06-30,,,1509000.0,212980000.0,234901000.0,20528000.0,,174399000.0,,-60587000.0,,-1882310000.0,1509051000.0,370554000.0,-1882310000.0,1509051000.0,370554000.0,-2705000.0,67414000.0,-105482000.0,-105482000.0,-9499000.0,3000.0,-12117000.0,289099000.0,481072000.0,-7345000.0,-1876767000.0,-256000.0,,1035324000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 14:18:32+00:00,,3145000.0,106734000.0,150878000.0,40450000.0,,-165373000.0,,,,-1838383000.0,1129840000.0,335097000.0,-1838383000.0,1129840000.0,335097000.0,-373446000.0,735663000.0,-170577000.0,-170577000.0,26086000.0,3000.0,-27278000.0,601366000.0,-525626000.0,-13775000.0,-2546406000.0,-365000.0,,1669241000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2009.0,Q1,2009-01-01,2009-03-31,2010-06-04 15:45:35+00:00,,1636000.0,-106246000.0,-84023000.0,19922000.0,,-339772000.0,,60587000.0,,43927000.0,-379211000.0,-35457000.0,43927000.0,-379211000.0,-35457000.0,-370741000.0,668249000.0,-65095000.0,-65095000.0,35585000.0,,-15161000.0,312267000.0,-1006698000.0,-6430000.0,-669639000.0,-109000.0,,633917000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2010.0,Q4,2010-10-01,2010-12-31,,,1382000.0,76998000.0,39723000.0,20871000.0,,404766000.0,263103000.0,504882000.0,,-277178000.0,-521599000.0,633435000.0,-277178000.0,-521599000.0,633401000.0,-165376000.0,232311000.0,17307000.0,17307000.0,99886000.0,-5560000.0,-18191000.0,89223000.0,-1209066000.0,-19362000.0,-387178000.0,-866545000.0,,706829000.0,
First Horizon National Corp,FHN,TF3RXI1ZB1TQ30H9JV10,36966,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 17:33:07+00:00,,5526000.0,77736000.0,155943000.0,76974000.0,0.0,-142523000.0,263103000.0,504882000.0,,-1540122000.0,622227000.0,768074000.0,-1540122000.0,622227000.0,768074000.0,-149821000.0,341016000.0,61603000.0,61603000.0,306664000.0,-5484000.0,-59186000.0,459830000.0,-1954858000.0,-42631000.0,-1716568000.0,-867885000.0,,2619716000.0,0.0
