company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,intangibleassets,loansandleases,longtermdebt,netloansandleases,noncontrollinginterests,otherassets,otherlongtermliabilities,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2013.0,FY,,2013-12-31,2015-02-27 16:58:42+00:00,13000000.0,5190000000.0,0.0,4508000000.0,424000000.0,,136648000000.0,,5000000.0,150170000000.0,3458000000.0,3650000000.0,2584000000.0,13795000000.0,159543000000.0,5072000000.0,5637000000.0,5642000000.0,153901000000.0,159543000000.0,565000000.0,109000000.0,-2033000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2014.0,FY,,2014-12-31,2016-02-25 16:32:18+00:00,9000000.0,1443000000.0,0.0,2897000000.0,369000000.0,,136866000000.0,,,140608000000.0,2625000000.0,3926000000.0,1724000000.0,2663000000.0,146352000000.0,4198000000.0,4198000000.0,4198000000.0,142154000000.0,146352000000.0,,6000000.0,-432000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2014.0,Q3,,2014-09-30,2014-10-30 16:27:02+00:00,8000000.0,1942000000.0,0.0,2884000000.0,371000000.0,,127669000000.0,,,134342000000.0,2526000000.0,3683000000.0,1521000000.0,5994000000.0,140345000000.0,4156000000.0,4156000000.0,4156000000.0,136189000000.0,140345000000.0,,7000000.0,-257000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2014.0,Q2,,2014-06-30,2014-08-01 16:21:39+00:00,7000000.0,1636000000.0,0.0,2872000000.0,373000000.0,,131919000000.0,,,137347000000.0,2720000000.0,3613000000.0,1224000000.0,4316000000.0,142976000000.0,4021000000.0,4021000000.0,4021000000.0,138955000000.0,142976000000.0,,7000000.0,-82000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2014.0,Q1,,2014-03-31,2014-05-09 17:19:16+00:00,7000000.0,3742000000.0,0.0,4571000000.0,421000000.0,102635000000.0,136177000000.0,102635000000.0,5000000.0,45745000000.0,3071000000.0,3794000000.0,2733000000.0,11626000000.0,156472000000.0,5028000000.0,5593000000.0,5598000000.0,150874000000.0,156472000000.0,565000000.0,135000000.0,-2283000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2015.0,FY,,2015-12-31,2017-02-24 16:28:54+00:00,-51000000.0,1594000000.0,0.0,2971000000.0,705000000.0,,124833000000.0,,24000000.0,128004000000.0,2710000000.0,3738000000.0,2414000000.0,2570000000.0,134046000000.0,3909000000.0,3909000000.0,3933000000.0,130113000000.0,134046000000.0,,5000000.0,-1425000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2015.0,Q3,,2015-09-30,2015-10-30 16:19:19+00:00,-82000000.0,1305000000.0,0.0,2968000000.0,544000000.0,,128293000000.0,,4000000.0,131515000000.0,2670000000.0,4296000000.0,2251000000.0,2816000000.0,137666000000.0,3883000000.0,3883000000.0,3887000000.0,133779000000.0,137666000000.0,,6000000.0,-1254000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2015.0,Q2,,2015-06-30,2015-08-03 16:25:39+00:00,-26000000.0,1614000000.0,0.0,2958000000.0,546000000.0,,130387000000.0,,4000000.0,134104000000.0,2949000000.0,3950000000.0,2072000000.0,2951000000.0,140220000000.0,3929000000.0,3929000000.0,3933000000.0,136287000000.0,140220000000.0,,6000000.0,-1075000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2016.0,FY,,2016-12-31,2018-02-26 17:28:09+00:00,6000000.0,1253000000.0,0.0,3026000000.0,670000000.0,,112368000000.0,,24000000.0,115610000000.0,2711000000.0,3600000000.0,2890000000.0,2334000000.0,121136000000.0,3699000000.0,3699000000.0,3723000000.0,117413000000.0,121136000000.0,,3000000.0,-2223000000.0
Navient Corp,NAVI,54930067J0ZNOEBRW338,1593538,2016.0,Q3,,2016-09-30,2016-11-07 16:42:17+00:00,-126000000.0,1823000000.0,0.0,3010000000.0,683000000.0,,116540000000.0,,24000000.0,119185000000.0,2401000000.0,3617000000.0,2858000000.0,2637000000.0,125312000000.0,3710000000.0,3710000000.0,3734000000.0,121578000000.0,125312000000.0,,4000000.0,-2032000000.0
