company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2009.0,FY,2008-10-01,2009-09-30,2011-11-22 17:26:01+00:00,10364000.0,,,217302000.0,,481890000.0,27687000.0,445623000.0,-337546000.0,-517201000.0,919233000.0,,-337546000.0,-517201000.0,919233000.0,64486000.0,190978000.0,190978000.0,18699000.0,1938000.0,-7707000.0,-121460000.0,,-509494000.0,-691334000.0,0.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,FY,2009-10-01,2010-09-30,2012-11-13 12:21:41+00:00,11908000.0,,,217133000.0,,280186000.0,8766000.0,54268000.0,-163025000.0,-542702000.0,726476000.0,,-163025000.0,-542702000.0,726476000.0,20749000.0,205839000.0,205839000.0,11410000.0,0.0,-66000.0,-124287000.0,,-542636000.0,-131000.0,-101641000.0,,0.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q4,2010-07-01,2010-09-30,,11908000.0,,,56810000.0,,72101000.0,192000.0,54268000.0,-428000.0,-179915000.0,131912000.0,,-428000.0,-179915000.0,131912000.0,-48431000.0,1537000.0,1537000.0,-10444000.0,,372000.0,-30374000.0,,-180287000.0,75954000.0,-100468000.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q3YTD,2009-10-01,2010-06-30,2011-08-04 13:01:24+00:00,,,,160323000.0,,208085000.0,8574000.0,0.0,-162597000.0,-362787000.0,594564000.0,,-162597000.0,-362787000.0,594564000.0,69180000.0,204302000.0,204302000.0,21854000.0,0.0,-438000.0,-93913000.0,,-362349000.0,-76085000.0,-1173000.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q4,2011-07-01,2011-09-30,,9438000.0,-8329000.0,157976000.0,61508000.0,,-4323000.0,248000.0,83154000.0,184438000.0,-233730000.0,63282000.0,,184438000.0,-233730000.0,63282000.0,13990000.0,1961000.0,1961000.0,-5302000.0,,-1048000.0,-30972000.0,,-232682000.0,132007000.0,1000.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,FY,2010-10-01,2011-09-30,2013-11-13 09:26:25+00:00,9438000.0,-8329000.0,157976000.0,233383000.0,,91527000.0,7796000.0,505575000.0,44009000.0,-627386000.0,582844000.0,,44009000.0,-627386000.0,582844000.0,-533000.0,207601000.0,207601000.0,40895000.0,20079000.0,-4421000.0,-124011000.0,,-622965000.0,-360131000.0,-5299000.0,,0.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q3YTD,2010-10-01,2011-06-30,2012-08-09 12:47:16+00:00,,,,171875000.0,,95850000.0,7548000.0,422421000.0,-140429000.0,-393656000.0,519562000.0,,-140429000.0,-393656000.0,519562000.0,-14523000.0,205640000.0,205640000.0,46197000.0,20079000.0,-3373000.0,-93039000.0,,-390283000.0,-492138000.0,-5300000.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q3TTM,2010-07-01,2011-06-30,,11908000.0,,,228685000.0,,167951000.0,7740000.0,476689000.0,-140857000.0,-573571000.0,651474000.0,,-140857000.0,-573571000.0,651474000.0,-62954000.0,207177000.0,207177000.0,35753000.0,20079000.0,-3001000.0,-123413000.0,,-570570000.0,-416184000.0,-105768000.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q3,2011-04-01,2011-06-30,,,,,58480000.0,,-10961000.0,-20000.0,394618000.0,28550000.0,-145458000.0,81091000.0,,28550000.0,-145458000.0,81091000.0,-35817000.0,-566000.0,-566000.0,34138000.0,20079000.0,-1838000.0,-30972000.0,,-143620000.0,-353188000.0,-1967000.0,,
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q2YTD,2010-10-01,2011-03-31,2012-05-03 12:15:30+00:00,,,,113395000.0,,106811000.0,7568000.0,27803000.0,-168979000.0,-248198000.0,438471000.0,,-168979000.0,-248198000.0,438471000.0,21294000.0,206206000.0,206206000.0,12059000.0,,-1535000.0,-62067000.0,,-246663000.0,-138950000.0,-3333000.0,,
