company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,grossppe,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,FY,,2010-09-30,2011-11-22 17:26:01+00:00,266208000.0,273207000.0,1749243000.0,-23372000.0,350521000.0,131952000.0,,1714815000.0,740148000.0,6542318000.0,1809551000.0,319038000.0,4793075000.0,829128000.0,,150995000.0,413640000.0,,,355376000.0,430164000.0,,,486905000.0,486231000.0,6763791000.0,2178348000.0,875192000.0,1166079000.0,2178348000.0,2178348000.0,4585443000.0,6763791000.0,1095524000.0,3419364000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,FY,,2011-09-30,2012-11-13 12:21:41+00:00,291205000.0,273303000.0,1668876000.0,-48460000.0,428947000.0,131419000.0,,1733386000.0,740207000.0,6816794000.0,2206117000.0,289760000.0,5147918000.0,960093000.0,,316471000.0,367563000.0,,,383793000.0,564695000.0,,,570495000.0,208830000.0,7282871000.0,2255421000.0,1010953000.0,867598000.0,2255421000.0,2255421000.0,5027450000.0,7282871000.0,1124000000.0,4159852000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q3,,2011-06-30,2011-08-04 13:01:24+00:00,312205000.0,342092000.0,1683899000.0,5746000.0,396201000.0,117429000.0,,1730572000.0,739677000.0,6599950000.0,2206106000.0,256768000.0,4916051000.0,967607000.0,,273459000.0,333643000.0,,,347994000.0,439450000.0,,,599506000.0,2434000.0,6993470000.0,2335824000.0,989748000.0,648282000.0,2335824000.0,2335824000.0,4657646000.0,6993470000.0,1087671000.0,4009364000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q2,,2011-03-31,2011-05-05 11:39:56+00:00,423726000.0,458813000.0,1779321000.0,14009000.0,364709000.0,153246000.0,,1728926000.0,739834000.0,6693971000.0,1807323000.0,228051000.0,4914650000.0,944605000.0,,143978000.0,301824000.0,,,357252000.0,427224000.0,,,631044000.0,352434000.0,6995824000.0,2373979000.0,984088000.0,1077984000.0,2373979000.0,2373979000.0,4621845000.0,6995824000.0,1097086000.0,3543861000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q1,,2010-12-31,2011-02-09 14:59:50+00:00,510085.0,564934.0,1779374.0,19601.0,354871.0,129892.0,,1725352.0,739991.0,6638718.0,1807319.0,339105.0,4859344.0,892090.0,,229324.0,349914.0,,,359033.0,432064.0,,,529900.0,600427.0,7221623.0,2274853.0,1263255.0,1460426.0,2274853.0,2274853.0,4946770.0,7221623.0,1099024.0,3486344.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2012.0,FY,,2012-09-30,2013-11-13 09:26:25+00:00,215229000.0,234526000.0,1658866000.0,-47607000.0,381164000.0,64239000.0,,1745918000.0,740847000.0,7134470000.0,1956305000.0,256415000.0,5475604000.0,1015083000.0,457196000.0,272782000.0,489665000.0,,,451262000.0,50730000.0,,,660932000.0,571060000.0,7495675000.0,2359243000.0,827962000.0,1275954000.0,2359243000.0,2359243000.0,5136432000.0,7495675000.0,1192109000.0,3860478000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2012.0,Q3,,2012-06-30,2012-08-09 12:47:16+00:00,178198000.0,216753000.0,1686598000.0,-67480000.0,381797000.0,27706000.0,,1737498000.0,740174000.0,7128484000.0,1956289000.0,239329000.0,5441886000.0,1085654000.0,,291870000.0,468409000.0,,,392117000.0,460941000.0,,,684907000.0,463622000.0,7349835000.0,2354925000.0,775658000.0,1110229000.0,2354925000.0,2354925000.0,4994910000.0,7349835000.0,1132291000.0,3884681000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2012.0,Q2,,2012-03-31,2012-05-03 12:15:30+00:00,309864000.0,350261000.0,1658887000.0,-53094000.0,414001000.0,47040000.0,,1728600000.0,740185000.0,6992899000.0,1956213000.0,221112000.0,5334012000.0,1062488000.0,,275428000.0,374123000.0,,,400689000.0,467199000.0,,,685206000.0,424127000.0,7368727000.0,2360712000.0,893841000.0,1108114000.0,2360712000.0,2360712000.0,5008015000.0,7368727000.0,1140874000.0,3899901000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2012.0,Q1,,2011-12-31,2012-02-08 15:13:50+00:00,432332000.0,489797000.0,1650308000.0,-65221000.0,437660000.0,85160000.0,,1725498000.0,740196000.0,6896521000.0,2206193000.0,325669000.0,5246213000.0,981559000.0,,360615000.0,357353000.0,,,387982000.0,562657000.0,,,607485000.0,390116000.0,7635632000.0,2267762000.0,1261241000.0,1179801000.0,2267762000.0,2267762000.0,5367870000.0,7635632000.0,1128178000.0,4188069000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2013.0,FY,,2013-09-30,2014-11-06 15:28:29+00:00,241611000.0,301992000.0,1691364000.0,38878000.0,359299000.0,66199000.0,,1766264000.0,741363000.0,7722019000.0,2455671000.0,244741000.0,6030655000.0,1164053000.0,358787000.0,64201000.0,368891000.0,,,485117000.0,37563000.0,,,775267000.0,367984000.0,7934268000.0,2580409000.0,677133000.0,978486000.0,2580409000.0,2580409000.0,5353859000.0,7934268000.0,1226480000.0,4375373000.0
