company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,FY,2009-10-01,2010-09-30,2012-11-13 12:21:41+00:00,2.22,2.22,,208539000.0,2.2,0.0,119203000.0,205839000.0,189851000.0,,205839000.0,3346924000.0,4661060000.0,15988000.0,-591000.0,187143000.0,454621000.0,3346924000.0,1314136000.0,154188000.0,850303000.0,463833000.0,-154779000.0,309054000.0,4661060000.0,92700000.0,91852000.0,92422000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q4,2010-07-01,2010-09-30,,0.03,0.03,-1.01,103465161.0,0.01,,49840711.0,94773670.0,79860670.0,-1075000.0,94773670.0,1346457997.0,1958196148.0,15988000.0,158269.0,75579448.0,225850138.0,1346457997.0,611738151.0,77300292.0,404894747.0,206843404.0,-77142023.0,129701381.0,1958196148.0,92700000.0,91852000.0,92422000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q3,2010-04-01,2010-06-30,2011-08-04 13:01:24+00:00,-0.03,-0.03,0.335,51940000.0,-0.03,0.0,-1577000.0,-3154000.0,-4229000.0,1075000.0,-3154000.0,513639000.0,761305000.0,,-798000.0,51908000.0,111559000.0,513639000.0,247666000.0,37267000.0,215407000.0,32259000.0,-38065000.0,-5806000.0,761305000.0,105100000.0,92648000.0,92648000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q3YTD,2009-10-01,2010-06-30,,2.19,2.19,1.01,105073839.0,2.19,,69362289.0,111065330.0,109990330.0,1075000.0,111065330.0,2000466003.0,2702863852.0,,-749269.0,111563552.0,228770862.0,2000466003.0,702397849.0,76887708.0,445408253.0,256989596.0,-77636977.0,179352619.0,2702863852.0,105100000.0,92648000.0,92648000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q2,2010-01-01,2010-03-31,2011-05-05 11:39:56+00:00,1.22,1.22,0.335,53080000.0,1.22,0.0,70881000.0,114126000.0,114126000.0,,114126000.0,1485945000.0,1940266000.0,,49000.0,59613000.0,117088000.0,1485945000.0,454321000.0,39582000.0,229781000.0,224540000.0,-39533000.0,185007000.0,1940266000.0,93500000.0,92518000.0,92853000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q2YTD,2009-10-01,2010-03-31,,2.22,2.22,0.67,53133839.0,2.22,,70939289.0,114219330.0,114219330.0,,114219330.0,1486827003.0,1941558852.0,,48731.0,59655552.0,117211862.0,1486827003.0,454731849.0,39620708.0,230001253.0,224730596.0,-39571977.0,185158619.0,1941558852.0,93500000.0,92518000.0,92853000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2010.0,Q1,2009-10-01,2009-12-31,2011-02-09 14:59:50+00:00,1.0,1.0,0.335,53839.0,1.0,0.0,58289.0,93330.0,93330.0,,93330.0,882003.0,1292852.0,,-269.0,42552.0,123862.0,882003.0,410849.0,38708.0,220253.0,190596.0,-38977.0,151619.0,1292852.0,100000.0,92152.0,92509.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q4,2011-07-01,2011-09-30,,0.03,0.03,-1.02,56656000.0,0.02,,-7392000.0,-16052000.0,-8198000.0,-7854000.0,-16052000.0,512438000.0,728061000.0,,-2862000.0,31899000.0,101648000.0,512438000.0,215623000.0,38148000.0,190203000.0,25420000.0,-41010000.0,-15590000.0,728061000.0,83200000.0,90201000.0,90652000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,FY,2010-10-01,2011-09-30,2013-11-13 09:26:25+00:00,2.28,2.28,,223832000.0,2.27,30270000.0,106819000.0,189588000.0,189588000.0,,189588000.0,2985615000.0,4286435000.0,,21184000.0,177767000.0,442965000.0,2985615000.0,1300820000.0,150763000.0,874834000.0,425986000.0,-129579000.0,296407000.0,4286435000.0,83200000.0,90201000.0,90652000.0
Atmos Energy Corp,ATO,QVLWEGTD2S8GJMO8D383,731802,2011.0,Q3,2011-04-01,2011-06-30,2012-08-09 12:47:16+00:00,-0.01,-0.01,0.34,56932000.0,-0.01,10988000.0,-1723000.0,-566000.0,-1474000.0,908000.0,-566000.0,576810000.0,843615000.0,,-1430000.0,52142000.0,112665000.0,576810000.0,266805000.0,35845000.0,232727000.0,34078000.0,-37275000.0,-3197000.0,843615000.0,56600000.0,90127000.0,90127000.0
