company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherrevenue,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:23:37+00:00,,1.38,1.38,0.91,805731000.0,1.35,294484000.0,,577348000.0,575899000.0,1449000.0,573107000.0,5708986000.0,9959724000.0,,9048000.0,379495000.0,74446000.0,4241000.0,1788885000.0,5708986000.0,4325184000.0,528845000.0,39107000.0,2974111000.0,1351073000.0,-480690000.0,870383000.0,10034170000.0,415300000.0,416139000.0,433131000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2008.0,FY,2008-01-01,2008-12-31,2010-02-26 16:23:37+00:00,,1.47,1.47,0.94,828379000.0,1.46,338686000.0,,645554000.0,645720000.0,-166000.0,641313000.0,6801760000.0,11125981000.0,,40406000.0,404293000.0,77175000.0,4241000.0,1777933000.0,6801760000.0,4401396000.0,513881000.0,67090000.0,3010605000.0,1390791000.0,-406385000.0,984406000.0,11203156000.0,436300000.0,437054000.0,441813000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 16:27:16+00:00,27483000.0,0.51,0.51,0.24,209131000.0,0.51,121551000.0,,222789000.0,222695000.0,94000.0,221729000.0,1674267000.0,2835428000.0,349000.0,9736000.0,70245000.0,16252000.0,1060000.0,422560000.0,1674267000.0,1177413000.0,130152000.0,16319000.0,729419000.0,447994000.0,-104097000.0,343897000.0,2851680000.0,434800000.0,434131000.0,439397000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 15:45:37+00:00,29226000.0,0.24,0.24,0.24,207774000.0,0.24,54819000.0,68562000.0,105572000.0,105473000.0,99000.0,104512000.0,1593336000.0,2597996000.0,483000.0,9161000.0,,17519000.0,1060000.0,456781000.0,1593336000.0,1022179000.0,124127000.0,14939000.0,762343000.0,259836000.0,-100027000.0,159809000.0,2615515000.0,435500000.0,430811000.0,435868000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2009.0,Q4,2009-10-01,2009-12-31,,,0.37,0.37,0.23,208767000.0,0.37,90733000.0,-73073000.0,168885000.0,170849000.0,-1964000.0,167824000.0,3341123000.0,2597058000.0,-7618000.0,5377000.0,198800000.0,21058000.0,1061000.0,-1410760000.0,3341123000.0,-723007000.0,131079000.0,41643000.0,-1076266000.0,353259000.0,-84059000.0,269200000.0,2618116000.0,457200000.0,456433000.0,457139000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:42:36+00:00,,1.48,1.48,0.97,818052000.0,1.48,371314000.0,,680887000.0,685524000.0,-4637000.0,676646000.0,6869134000.0,9570426000.0,,9771000.0,488545000.0,73877000.0,4241000.0,,6869134000.0,2775169000.0,521855000.0,100350000.0,1306597000.0,1468572000.0,-411734000.0,1056838000.0,9644303000.0,457200000.0,456433000.0,457139000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2009.0,Q3,2009-07-01,2009-09-30,2009-10-30 16:27:16+00:00,,0.48,0.48,0.25,198222000.0,0.48,135610000.0,,220828000.0,221793000.0,-965000.0,219768000.0,1058656000.0,2298556000.0,4363000.0,-977000.0,126071000.0,16006000.0,1060000.0,466465000.0,1058656000.0,1255906000.0,129749000.0,18618000.0,790758000.0,465148000.0,-112108000.0,353040000.0,2314562000.0,457900000.0,456769000.0,457453000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2009.0,Q3YTD,2009-01-01,2009-09-30,,,1.11,1.11,0.74,609285000.0,1.11,280581000.0,73073000.0,512002000.0,514675000.0,-2673000.0,508822000.0,3528011000.0,6973368000.0,7618000.0,4394000.0,289745000.0,52819000.0,3180000.0,1410760000.0,3528011000.0,3498176000.0,390776000.0,58707000.0,2382863000.0,1115313000.0,-327675000.0,787638000.0,7026187000.0,457900000.0,456769000.0,457453000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2009.0,Q2,2009-04-01,2009-06-30,2009-07-31 15:45:37+00:00,,0.25,0.25,0.25,202348000.0,0.25,57846000.0,73073000.0,117107000.0,117064000.0,43000.0,116047000.0,947476000.0,1999579000.0,3255000.0,3019000.0,41417000.0,16504000.0,1060000.0,472401000.0,947476000.0,1068607000.0,129452000.0,18720000.0,789239000.0,279368000.0,-107713000.0,171655000.0,2016083000.0,464200000.0,456307000.0,456766000.0
Xcel Energy Inc,XEL,LGJNMI9GH8XIDG5RCM61,72903,2009.0,Q2YTD,2009-01-01,2009-06-30,,,0.63,0.63,0.49,411063000.0,0.63,144971000.0,73073000.0,291174000.0,292882000.0,-1708000.0,289054000.0,2469355000.0,4674812000.0,3255000.0,5371000.0,163674000.0,36813000.0,2120000.0,944295000.0,2469355000.0,2242270000.0,261027000.0,40089000.0,1592105000.0,650165000.0,-215567000.0,434598000.0,4711625000.0,464200000.0,456307000.0,456766000.0
