company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othercostofrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 13:51:10+00:00,3.52,3.52,682000000.0,3.44,0.0,122000000.0,450000000.0,172000000.0,278000000.0,450000000.0,314000000.0,1783000000.0,,,-182000000.0,101000000.0,155000000.0,314000000.0,1469000000.0,55000000.0,938000000.0,531000000.0,-237000000.0,294000000.0,1783000000.0,127800000.0,128000000.0,131000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,FY,2008-01-01,2008-12-31,2011-03-10 18:50:07+00:00,-2.88,-2.88,697000000.0,-2.88,1863000000.0,-162000000.0,-373000000.0,-373000000.0,,-373000000.0,265000000.0,2225000000.0,,,419000000.0,157000000.0,145000000.0,265000000.0,1960000000.0,52000000.0,2862000000.0,-902000000.0,367000000.0,-535000000.0,2225000000.0,129500000.0,129000000.0,129000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,Q3,2008-07-01,2008-09-30,2009-10-23 12:35:03+00:00,5.59,5.59,181000000.0,5.48,,335000000.0,724000000.0,724000000.0,,724000000.0,67000000.0,680000000.0,,,734000000.0,51000000.0,36000000.0,67000000.0,613000000.0,20000000.0,268000000.0,345000000.0,714000000.0,1059000000.0,680000000.0,129500000.0,129000000.0,132000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 16:57:23+00:00,-1.89,-1.89,166000000.0,-1.89,,-45000000.0,-244000000.0,-244000000.0,,-244000000.0,58000000.0,691000000.0,,,-639000000.0,52000000.0,37000000.0,58000000.0,633000000.0,28000000.0,255000000.0,378000000.0,-667000000.0,-289000000.0,691000000.0,129100000.0,129000000.0,129000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q3,2009-07-01,2009-09-30,2010-10-22 13:34:33+00:00,0.59,0.59,144000000.0,0.58,0.0,7000000.0,78000000.0,78000000.0,,78000000.0,64000000.0,375000000.0,,,-9000000.0,14000000.0,41000000.0,64000000.0,311000000.0,18000000.0,199000000.0,112000000.0,-27000000.0,85000000.0,375000000.0,132200000.0,130000000.0,132000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q2,2009-04-01,2009-06-30,2010-07-23 13:56:55+00:00,-0.3,-0.3,137000000.0,-0.3,0.0,-21000000.0,-39000000.0,-39000000.0,,-39000000.0,57000000.0,287000000.0,,,-79000000.0,15000000.0,39000000.0,57000000.0,230000000.0,20000000.0,191000000.0,39000000.0,-99000000.0,-60000000.0,287000000.0,130000000.0,130000000.0,130000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q4,2010-10-01,2010-12-31,,0.15,0.15,181000000.0,0.15,,13000000.0,22000000.0,22000000.0,,22000000.0,89000000.0,528000000.0,,,-113000000.0,49000000.0,36000000.0,89000000.0,439000000.0,25000000.0,266000000.0,173000000.0,-138000000.0,35000000.0,528000000.0,131700000.0,132000000.0,134000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 17:25:48+00:00,3.97,3.97,644000000.0,3.91,0.0,306000000.0,523000000.0,523000000.0,,523000000.0,326000000.0,1883000000.0,,,303000000.0,126000000.0,163000000.0,326000000.0,1557000000.0,98000000.0,933000000.0,624000000.0,205000000.0,829000000.0,1883000000.0,131700000.0,132000000.0,134000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q3,2010-07-01,2010-09-30,2011-10-21 12:23:29+00:00,1.22,1.22,156000000.0,1.2,,93000000.0,161000000.0,161000000.0,,161000000.0,86000000.0,449000000.0,,,132000000.0,21000000.0,40000000.0,86000000.0,363000000.0,24000000.0,217000000.0,146000000.0,108000000.0,254000000.0,449000000.0,132000000.0,132000000.0,134000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q3YTD,2010-01-01,2010-09-30,,3.82,3.82,463000000.0,3.76,,293000000.0,501000000.0,501000000.0,,501000000.0,237000000.0,1355000000.0,,,416000000.0,77000000.0,127000000.0,237000000.0,1118000000.0,73000000.0,667000000.0,451000000.0,343000000.0,794000000.0,1355000000.0,132000000.0,132000000.0,134000000.0
