company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 13:51:10+00:00,-658000000.0,682000000.0,1835000000.0,1000000.0,-106000000.0,32000000.0,2909000000.0,-117000000.0,-865000000.0,1166000000.0,38000000.0,-41000000.0,-12000000.0,-79000000.0,-906000000.0,1154000000.0,170000000.0,450000000.0,172000000.0,278000000.0,418000000.0,-24000000.0,,,-271000000.0,-1943000000.0,-3034000000.0,0.0,,172000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,Q4,2008-10-01,2008-12-31,,8000000.0,0.0,7000000.0,,0.0,2000000.0,761000000.0,-895000000.0,1732000000.0,232000000.0,,,,-895000000.0,1732000000.0,232000000.0,-11000000.0,-789000000.0,-789000000.0,,1021000000.0,-1173000000.0,2253000000.0,-1080000000.0,,-536000000.0,-485000000.0,,,
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,Q3,2008-07-01,2008-09-30,,10000000.0,827000000.0,2000000.0,,389000000.0,,600000000.0,17000000.0,-460000000.0,450000000.0,,,,17000000.0,-460000000.0,450000000.0,7000000.0,724000000.0,724000000.0,,-1490000000.0,,,,,-472000000.0,-583000000.0,,,
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-23 12:35:03+00:00,-231000000.0,504000000.0,2000000.0,,231000000.0,18000000.0,2418000000.0,895000000.0,-1732000000.0,622000000.0,,,,895000000.0,-1732000000.0,622000000.0,-215000000.0,416000000.0,416000000.0,,-529000000.0,,,,-22000000.0,-1551000000.0,-1541000000.0,0.0,,70000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 16:57:23+00:00,-241000000.0,-323000000.0,,,-158000000.0,18000000.0,1818000000.0,878000000.0,-1272000000.0,172000000.0,,,,878000000.0,-1272000000.0,172000000.0,-222000000.0,-308000000.0,-308000000.0,,961000000.0,0.0,,,-22000000.0,-1079000000.0,-958000000.0,0.0,,70000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q4,2009-10-01,2009-12-31,,9000000.0,-440000000.0,,,428000000.0,-6000000.0,-813000000.0,102000000.0,1043000000.0,-1217000000.0,,,,102000000.0,1043000000.0,-1217000000.0,-72000000.0,655000000.0,655000000.0,,-1860000000.0,,,,,1052000000.0,920000000.0,1000000.0,,-18000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q3TTM,2008-10-01,2009-09-30,,-1000000.0,0.0,7000000.0,,0.0,8000000.0,1574000000.0,-997000000.0,689000000.0,1449000000.0,,,,-997000000.0,689000000.0,1449000000.0,61000000.0,-1444000000.0,-1444000000.0,,2893000000.0,-1173000000.0,2253000000.0,-1080000000.0,,-1588000000.0,-1405000000.0,-1000000.0,,18000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q3,2009-07-01,2009-09-30,,,144000000.0,,,-855000000.0,5000000.0,81000000.0,-180000000.0,-267000000.0,505000000.0,,,,-180000000.0,-267000000.0,505000000.0,58000000.0,-1388000000.0,-1388000000.0,,2604000000.0,,,,,-271000000.0,-266000000.0,,,4000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-22 13:34:33+00:00,-9000000.0,440000000.0,0.0,,-428000000.0,6000000.0,813000000.0,-102000000.0,-1043000000.0,1217000000.0,,,,-102000000.0,-1043000000.0,1217000000.0,72000000.0,-655000000.0,-655000000.0,,1860000000.0,,,,,-1052000000.0,-920000000.0,-1000000.0,,18000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-23 13:56:55+00:00,-9000000.0,296000000.0,0.0,,427000000.0,1000000.0,732000000.0,78000000.0,-776000000.0,712000000.0,,,,78000000.0,-776000000.0,712000000.0,14000000.0,733000000.0,733000000.0,,-744000000.0,,,,,-781000000.0,-654000000.0,-1000000.0,,14000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q4,2010-10-01,2010-12-31,,-104000000.0,181000000.0,-2000000.0,,-106000000.0,12000000.0,925000000.0,147000000.0,-559000000.0,323000000.0,,,,147000000.0,-559000000.0,323000000.0,-89000000.0,22000000.0,22000000.0,,226000000.0,,,,,-456000000.0,-790000000.0,,,3000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 17:25:48+00:00,-313000000.0,644000000.0,12000000.0,,287000000.0,34000000.0,2177000000.0,282000000.0,-1951000000.0,1630000000.0,,,,282000000.0,-1951000000.0,1630000000.0,-39000000.0,523000000.0,523000000.0,,176000000.0,,,,,-1658000000.0,-1915000000.0,-14000000.0,,8000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-21 12:23:29+00:00,-209000000.0,463000000.0,14000000.0,,393000000.0,22000000.0,1252000000.0,135000000.0,-1392000000.0,1307000000.0,,,,135000000.0,-1392000000.0,1307000000.0,50000000.0,501000000.0,501000000.0,,-50000000.0,,,,,-1202000000.0,-1125000000.0,-14000000.0,,5000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q3TTM,2009-10-01,2010-09-30,,-200000000.0,23000000.0,14000000.0,,821000000.0,16000000.0,439000000.0,237000000.0,-349000000.0,90000000.0,,,,237000000.0,-349000000.0,90000000.0,-22000000.0,1156000000.0,1156000000.0,,-1910000000.0,,,,,-150000000.0,-205000000.0,-13000000.0,,-13000000.0
