company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,customerdeposits,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,restrictedcash,retainedearnings,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2008.0,FY,,2008-12-31,2010-02-26 13:51:10+00:00,103000000.0,375000000.0,672000000.0,4591000000.0,-11000000.0,70000000.0,24000000.0,,1336000000.0,,226000000.0,,10349000000.0,2213000000.0,72000000.0,96000000.0,5758000000.0,,0.0,658000000.0,711000000.0,84000000.0,269000000.0,22000000.0,,,1964000000.0,,7305000000.0,3257000000.0,1206000000.0,1085000000.0,3257000000.0,3257000000.0,4048000000.0,7305000000.0,341000000.0,2963000000.0,0.0,-32000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,FY,,2009-12-31,2011-03-10 18:50:07+00:00,83000000.0,339000000.0,640000000.0,5159000000.0,-11000000.0,82000000.0,78000000.0,0.0,1390000000.0,,87000000.0,,10406000000.0,2037000000.0,55000000.0,84000000.0,5247000000.0,,26000000.0,434000000.0,392000000.0,63000000.0,33000000.0,60000000.0,,,1422000000.0,,6254000000.0,2768000000.0,893000000.0,873000000.0,2768000000.0,2768000000.0,3486000000.0,6254000000.0,114000000.0,2613000000.0,0.0,-33000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2009.0,Q3,,2009-09-30,2009-10-23 12:35:03+00:00,34000000.0,293000000.0,566000000.0,5020000000.0,-14000000.0,77000000.0,96000000.0,0.0,1376000000.0,,125000000.0,,9960000000.0,2106000000.0,56000000.0,110000000.0,4940000000.0,,36000000.0,345000000.0,443000000.0,80000000.0,63000000.0,66000000.0,,,1309000000.0,,6037000000.0,2638000000.0,942000000.0,805000000.0,2638000000.0,2638000000.0,3399000000.0,6037000000.0,155000000.0,2594000000.0,0.0,-33000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q3,,2010-09-30,2010-10-22 13:34:33+00:00,81000000.0,276000000.0,625000000.0,5619000000.0,-13000000.0,85000000.0,128000000.0,,1431000000.0,,103000000.0,,11803000000.0,2169000000.0,46000000.0,86000000.0,6184000000.0,,29000000.0,680000000.0,370000000.0,67000000.0,107000000.0,116000000.0,,,1923000000.0,,7226000000.0,3300000000.0,860000000.0,876000000.0,3300000000.0,3300000000.0,3926000000.0,7226000000.0,182000000.0,3050000000.0,0.0,-41000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2010.0,Q2,,2010-06-30,2010-07-23 13:56:55+00:00,102000000.0,328000000.0,644000000.0,5464000000.0,-13000000.0,85000000.0,122000000.0,,1419000000.0,,91000000.0,,11413000000.0,2169000000.0,47000000.0,82000000.0,5949000000.0,,27000000.0,602000000.0,372000000.0,84000000.0,81000000.0,103000000.0,,,1762000000.0,,7008000000.0,3128000000.0,904000000.0,921000000.0,3128000000.0,3128000000.0,3880000000.0,7008000000.0,155000000.0,2959000000.0,0.0,-40000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2011.0,FY,,2011-12-31,2013-02-26 17:25:48+00:00,112000000.0,407000000.0,687000000.0,6506000000.0,-10000000.0,135000000.0,76000000.0,0.0,1496000000.0,,28000000.0,,14526000000.0,3006000000.0,52000000.0,90000000.0,8020000000.0,,28000000.0,951000000.0,202000000.0,105000000.0,116000000.0,47000000.0,,,2484000000.0,,8991000000.0,3920000000.0,775000000.0,932000000.0,3920000000.0,3920000000.0,5071000000.0,8991000000.0,196000000.0,4139000000.0,0.0,-50000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2011.0,Q3,,2011-09-30,2011-10-21 12:23:29+00:00,97000000.0,322000000.0,747000000.0,6363000000.0,-10000000.0,110000000.0,31000000.0,0.0,1483000000.0,,57000000.0,,14357000000.0,2985000000.0,50000000.0,107000000.0,7994000000.0,,29000000.0,945000000.0,248000000.0,72000000.0,122000000.0,52000000.0,,,2416000000.0,,8903000000.0,3838000000.0,708000000.0,973000000.0,3838000000.0,3838000000.0,5065000000.0,8903000000.0,201000000.0,4092000000.0,0.0,-51000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2011.0,Q2,,2011-06-30,2011-07-22 15:25:19+00:00,113000000.0,360000000.0,696000000.0,6166000000.0,-8000000.0,108000000.0,74000000.0,0.0,1473000000.0,,22000000.0,,13730000000.0,2889000000.0,53000000.0,106000000.0,7564000000.0,,33000000.0,837000000.0,208000000.0,130000000.0,83000000.0,124000000.0,,,2147000000.0,,8481000000.0,3562000000.0,748000000.0,961000000.0,3562000000.0,3562000000.0,4919000000.0,8481000000.0,169000000.0,3958000000.0,0.0,-50000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2011.0,Q1,,2011-03-31,2011-04-25 13:41:28+00:00,70000000.0,333000000.0,659000000.0,5977000000.0,-9000000.0,102000000.0,56000000.0,,1460000000.0,,2000000.0,,12835000000.0,2428000000.0,52000000.0,93000000.0,6858000000.0,,31000000.0,739000000.0,225000000.0,200000000.0,68000000.0,188000000.0,,,1928000000.0,,7716000000.0,3328000000.0,707000000.0,931000000.0,3328000000.0,3328000000.0,4388000000.0,7716000000.0,151000000.0,3457000000.0,0.0,-51000000.0
Newfield Exploration Co,NFX,T8W3X1PFLPW2YE0UIP44,912750,2012.0,FY,,2012-12-31,2014-02-27 21:52:55+00:00,69000000.0,452000000.0,801000000.0,7444000000.0,-7000000.0,132000000.0,88000000.0,0.0,1523000000.0,0.0,42000000.0,0.0,14346000000.0,3045000000.0,58000000.0,132000000.0,6902000000.0,,24000000.0,934000000.0,194000000.0,47000000.0,62000000.0,62000000.0,,0.0,1300000000.0,,7912000000.0,2780000000.0,866000000.0,959000000.0,2780000000.0,2780000000.0,5132000000.0,7912000000.0,144000000.0,4173000000.0,0.0,-36000000.0
