company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commonequity,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2010.0,FY,,2010-12-31,2012-02-10 06:07:57+00:00,1780000000.0,1415000000.0,-345000000.0,321000000.0,3631000000.0,131000000.0,3828000000.0,2124000000.0,367000000.0,2220000000.0,1238000000.0,127000000.0,,,187000000.0,149000000.0,57000000.0,162000000.0,8596000000.0,3143000000.0,2230000000.0,1942000000.0,3143000000.0,3143000000.0,5453000000.0,8596000000.0,4146000000.0,3511000000.0,-200000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2010.0,Q3,,2010-10-01,2010-10-28 17:16:52+00:00,1496000000.0,2200000000.0,-282000000.0,476000000.0,,,3394000000.0,1731000000.0,352000000.0,1834000000.0,1136000000.0,117000000.0,0.0,3559000000.0,84000000.0,159000000.0,,658000000.0,8457000000.0,3277000000.0,3145000000.0,2154000000.0,3277000000.0,3277000000.0,5180000000.0,8457000000.0,3478000000.0,3026000000.0,
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2011.0,FY,,2011-12-31,2013-02-08 06:02:21+00:00,1832000000.0,1451000000.0,-473000000.0,684000000.0,3748000000.0,124000000.0,3771000000.0,2996000000.0,403000000.0,2230000000.0,1191000000.0,148000000.0,,,283000000.0,160000000.0,638000000.0,16000000.0,9094000000.0,2899000000.0,2686000000.0,1848000000.0,2899000000.0,2899000000.0,6195000000.0,9094000000.0,4178000000.0,4347000000.0,-1014000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2011.0,Q3,,2011-09-30,2011-10-28 06:21:04+00:00,1759000000.0,1474000000.0,-354000000.0,811000000.0,3722000000.0,125000000.0,3814000000.0,3016000000.0,402000000.0,2178000000.0,1269000000.0,197000000.0,,,337000000.0,153000000.0,567000000.0,18000000.0,9338000000.0,3123000000.0,2884000000.0,1777000000.0,3123000000.0,3123000000.0,6215000000.0,9338000000.0,4276000000.0,4438000000.0,-812000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2011.0,Q2,,2011-07-01,2011-07-29 06:04:43+00:00,1895000000.0,1757000000.0,-129000000.0,404000000.0,3684000000.0,138000000.0,4022000000.0,2581000000.0,483000000.0,2315000000.0,1367000000.0,151000000.0,79000000.0,,309000000.0,201000000.0,325000000.0,187000000.0,9579000000.0,3269000000.0,2795000000.0,2161000000.0,3269000000.0,3269000000.0,6310000000.0,9579000000.0,4469000000.0,4149000000.0,-611000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2011.0,Q1,,2011-04-01,2011-04-29 06:10:07+00:00,1668000000.0,1463000000.0,-154000000.0,321000000.0,3660000000.0,135000000.0,4000000000.0,2555000000.0,429000000.0,2300000000.0,1326000000.0,149000000.0,66000000.0,,248000000.0,186000000.0,121000000.0,17000000.0,9045000000.0,3227000000.0,2362000000.0,1751000000.0,3227000000.0,3227000000.0,5818000000.0,9045000000.0,4383000000.0,4067000000.0,-400000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2012.0,FY,,2012-12-31,2014-02-07 06:06:07+00:00,1947000000.0,1498000000.0,-430000000.0,721000000.0,3828000000.0,132000000.0,3923000000.0,2834000000.0,386000000.0,2322000000.0,1128000000.0,157000000.0,,,371000000.0,276000000.0,1126000000.0,632000000.0,9510000000.0,2693000000.0,2762000000.0,2579000000.0,2693000000.0,2693000000.0,6817000000.0,9510000000.0,4426000000.0,4238000000.0,-1831000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2012.0,Q3,,2012-09-28,2012-10-25 17:49:59+00:00,1915000000.0,1588000000.0,-372000000.0,803000000.0,3812000000.0,129000000.0,3877000000.0,3214000000.0,413000000.0,2211000000.0,1202000000.0,215000000.0,,,392000000.0,202000000.0,1072000000.0,230000000.0,9628000000.0,2865000000.0,3019000000.0,2145000000.0,2865000000.0,2865000000.0,6763000000.0,9628000000.0,4398000000.0,4618000000.0,-1647000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2012.0,Q2,,2012-06-29,2012-07-23 15:23:42+00:00,1953000000.0,1754000000.0,-469000000.0,422000000.0,3800000000.0,124000000.0,3770000000.0,2761000000.0,455000000.0,2163000000.0,1195000000.0,194000000.0,,,352000000.0,165000000.0,855000000.0,396000000.0,9234000000.0,2764000000.0,2825000000.0,2349000000.0,2764000000.0,2764000000.0,6470000000.0,9234000000.0,4246000000.0,4121000000.0,-1422000000.0
Coca-Cola European Partners PLC,CCE,B0QU0GIVGFFMCOP5RJ72,1491675,2012.0,Q1,,2012-03-30,2012-04-27 06:03:32+00:00,1788000000.0,1651000000.0,-354000000.0,296000000.0,3761000000.0,130000000.0,3890000000.0,2788000000.0,441000000.0,2250000000.0,1219000000.0,177000000.0,,,329000000.0,183000000.0,699000000.0,244000000.0,9164000000.0,2942000000.0,2565000000.0,2032000000.0,2942000000.0,2942000000.0,6222000000.0,9164000000.0,4349000000.0,4190000000.0,-1164000000.0
