company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
United Continental Holdings Inc,UAL,,100517,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 17:26:02+00:00,-42.59,-42.59,946000000.0,-42.59,2277000000.0,-25000000.0,-5396000000.0,-5396000000.0,-5396000000.0,17281000000.0,18657000000.0,,,6000000.0,-550000000.0,,1537000000.0,339000000.0,3789000000.0,17281000000.0,2913000000.0,551000000.0,112000000.0,7351000000.0,-4438000000.0,-989000000.0,-5427000000.0,20194000000.0,126700000.0,126700000.0,126700000.0
United Continental Holdings Inc,UAL,,100517,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 17:19:36+00:00,-2.18,-4.32,917000000.0,-4.32,,-17000000.0,-651000000.0,-651000000.0,-651000000.0,11968000000.0,14733000000.0,,,,41000000.0,,1602000000.0,374000000.0,3237000000.0,11968000000.0,4367000000.0,567000000.0,19000000.0,4528000000.0,-161000000.0,-507000000.0,-668000000.0,16335000000.0,298600000.0,151000000.0,151000000.0
United Continental Holdings Inc,UAL,,100517,2009.0,Q3,2009-07-01,2009-09-30,2010-10-21 16:57:48+00:00,-0.39,-0.39,220000000.0,-0.39,,-4000000.0,-57000000.0,-57000000.0,-57000000.0,3698000000.0,4236000000.0,,,1000000.0,-10000000.0,,197000000.0,43000000.0,384000000.0,3698000000.0,735000000.0,143000000.0,3000000.0,647000000.0,88000000.0,-150000000.0,-62000000.0,4433000000.0,146200000.0,146200000.0,146200000.0
United Continental Holdings Inc,UAL,,100517,2009.0,Q2,2009-04-01,2009-06-30,2010-07-20 16:35:09+00:00,0.19,0.19,222000000.0,0.19,,-13000000.0,28000000.0,28000000.0,28000000.0,3240000000.0,3811000000.0,,,1000000.0,35000000.0,,207000000.0,88000000.0,361000000.0,3240000000.0,778000000.0,133000000.0,5000000.0,671000000.0,107000000.0,-93000000.0,14000000.0,4018000000.0,147400000.0,147400000.0,147400000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q4,2010-10-01,2010-12-31,,-2.21,-2.21,188000000.0,-1.47,,3000000.0,-606000000.0,-606000000.0,-606000000.0,2013000000.0,2722000000.0,,,-2000000.0,-1000000.0,,644000000.0,376000000.0,1308000000.0,2013000000.0,1353000000.0,86000000.0,5000000.0,1872000000.0,-519000000.0,-82000000.0,-601000000.0,3366000000.0,207000000.0,207000000.0,234300000.0
United Continental Holdings Inc,UAL,,100517,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 17:26:52+00:00,1.22,1.22,1079000000.0,1.08,,,253000000.0,253000000.0,253000000.0,16423000000.0,21068000000.0,,,,45000000.0,,2257000000.0,669000000.0,4178000000.0,16423000000.0,6902000000.0,783000000.0,15000000.0,5926000000.0,976000000.0,-723000000.0,253000000.0,23325000000.0,207000000.0,207000000.0,234300000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q3,2010-07-01,2010-09-30,2010-10-21 16:57:48+00:00,2.3,2.3,224000000.0,1.75,,0.0,387000000.0,387000000.0,387000000.0,4167000000.0,5164000000.0,,,1000000.0,15000000.0,,230000000.0,63000000.0,405000000.0,4167000000.0,1227000000.0,169000000.0,5000000.0,692000000.0,535000000.0,-149000000.0,386000000.0,5394000000.0,168300000.0,168300000.0,221100000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q3YTD,2010-01-01,2010-09-30,,3.43,3.43,891000000.0,2.55,,-3000000.0,859000000.0,859000000.0,859000000.0,14410000000.0,18346000000.0,,,2000000.0,46000000.0,,1613000000.0,293000000.0,2870000000.0,14410000000.0,5549000000.0,697000000.0,10000000.0,4054000000.0,1495000000.0,-641000000.0,854000000.0,19959000000.0,168300000.0,168300000.0,221100000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q2,2010-04-01,2010-06-30,2011-07-25 21:43:05+00:00,1.62,1.62,446000000.0,1.29,,-4000000.0,554000000.0,554000000.0,554000000.0,7098000000.0,9368000000.0,,,,7000000.0,,956000000.0,212000000.0,1684000000.0,7098000000.0,3226000000.0,345000000.0,4000000.0,2342000000.0,884000000.0,-334000000.0,550000000.0,10324000000.0,342000000.0,342000000.0,429500000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.13,1.13,667000000.0,0.8,,-3000000.0,472000000.0,472000000.0,472000000.0,10243000000.0,13182000000.0,,,1000000.0,31000000.0,,1383000000.0,230000000.0,2465000000.0,10243000000.0,4322000000.0,528000000.0,5000000.0,3362000000.0,960000000.0,-492000000.0,468000000.0,14565000000.0,342000000.0,342000000.0,429500000.0
