company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
United Continental Holdings Inc,UAL,,100517,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 17:26:02+00:00,97000000.0,,,946000000.0,961000000.0,107000000.0,339000000.0,-702000000.0,2721000000.0,-1239000000.0,-702000000.0,2721000000.0,-1239000000.0,780000000.0,-5396000000.0,-5396000000.0,2153000000.0,155000000.0,807000000.0,,-253000000.0,,-475000000.0,-1039000000.0,-11000000.0,2295000000.0,94000000.0
United Continental Holdings Inc,UAL,,100517,2009.0,Q4,2009-10-01,2009-12-31,,97000000.0,,,242000000.0,-70000000.0,132000000.0,586000000.0,457000000.0,-28000000.0,88000000.0,457000000.0,-28000000.0,88000000.0,517000000.0,-240000000.0,-240000000.0,59000000.0,1000000.0,59000000.0,,,,-87000000.0,-260000000.0,-2000000.0,,
United Continental Holdings Inc,UAL,,100517,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 17:19:36+00:00,97000000.0,,,917000000.0,26000000.0,222000000.0,907000000.0,117000000.0,-80000000.0,966000000.0,117000000.0,-80000000.0,966000000.0,1003000000.0,-651000000.0,-651000000.0,577000000.0,23000000.0,160000000.0,,,,-317000000.0,-1033000000.0,-2000000.0,,77000000.0
United Continental Holdings Inc,UAL,,100517,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-21 16:57:48+00:00,,,,675000000.0,96000000.0,90000000.0,321000000.0,-340000000.0,-52000000.0,878000000.0,-340000000.0,-52000000.0,878000000.0,486000000.0,-411000000.0,-411000000.0,518000000.0,22000000.0,101000000.0,,,,-230000000.0,-773000000.0,,,77000000.0
United Continental Holdings Inc,UAL,,100517,2009.0,Q3,2009-07-01,2009-09-30,,,,,220000000.0,19000000.0,27000000.0,187000000.0,-54000000.0,-43000000.0,56000000.0,-54000000.0,-43000000.0,56000000.0,-41000000.0,-57000000.0,-57000000.0,-126000000.0,,-14000000.0,,,,-60000000.0,-268000000.0,,,31000000.0
United Continental Holdings Inc,UAL,,100517,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-20 16:35:09+00:00,,,,455000000.0,77000000.0,63000000.0,134000000.0,-286000000.0,-9000000.0,822000000.0,-286000000.0,-9000000.0,822000000.0,527000000.0,-354000000.0,-354000000.0,644000000.0,22000000.0,115000000.0,,,,-170000000.0,-505000000.0,,,46000000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q4,2010-10-01,2010-12-31,,28000000.0,,,427000000.0,655000000.0,,90000000.0,-447000000.0,3202000000.0,106000000.0,-447000000.0,3202000000.0,106000000.0,3131000000.0,-325000000.0,-325000000.0,-679000000.0,246000000.0,3891000000.0,270000000.0,,-84000000.0,-416000000.0,-780000000.0,-3000000.0,,-189000000.0
United Continental Holdings Inc,UAL,,100517,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 17:26:52+00:00,28000000.0,,,1079000000.0,264000000.0,,2086000000.0,-200000000.0,3320000000.0,1907000000.0,-200000000.0,3320000000.0,1907000000.0,5027000000.0,253000000.0,253000000.0,283000000.0,257000000.0,3772000000.0,,,-84000000.0,-416000000.0,-2540000000.0,-3000000.0,,48000000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q3TTM,2009-10-01,2010-09-30,,97000000.0,,,894000000.0,-461000000.0,132000000.0,2582000000.0,704000000.0,90000000.0,1889000000.0,704000000.0,90000000.0,1889000000.0,2413000000.0,338000000.0,338000000.0,1021000000.0,12000000.0,-60000000.0,-270000000.0,,,-87000000.0,-2020000000.0,-2000000.0,,237000000.0
United Continental Holdings Inc,UAL,,100517,2010.0,Q3,2010-07-01,2010-09-30,,,,,200000000.0,-1010000000.0,,1000000.0,-356000000.0,213000000.0,445000000.0,-356000000.0,213000000.0,445000000.0,32000000.0,387000000.0,387000000.0,868000000.0,11000000.0,-123000000.0,-270000000.0,,,124000000.0,-368000000.0,,,212000000.0
