company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CareFusion Corp ,CFN,,1457543,2010.0,FY,2009-07-01,2010-06-30,2013-01-31 17:02:10+00:00,0.88,0.88,0.87,184000000.0,194000000.0,161000000.0,33000000.0,194000000.0,1686000000.0,3377000000.0,,-12000000.0,148000000.0,15000000.0,1090000000.0,1686000000.0,1691000000.0,105000000.0,,1241000000.0,450000000.0,-105000000.0,345000000.0,3377000000.0,220500000.0,221500000.0,223000000.0
CareFusion Corp ,CFN,,1457543,2011.0,Q4,2011-04-01,2011-06-30,,0.4,0.4,0.39,35000000.0,90000000.0,104000000.0,-9000000.0,90000000.0,428000000.0,901000000.0,-5000000.0,2000000.0,34000000.0,11000000.0,269000000.0,428000000.0,473000000.0,18000000.0,,316000000.0,157000000.0,-18000000.0,139000000.0,901000000.0,224300000.0,222800000.0,225100000.0
CareFusion Corp ,CFN,,1457543,2011.0,FY,2010-07-01,2011-06-30,2013-08-09 16:21:00+00:00,1.11,1.11,1.1,126000000.0,249000000.0,299000000.0,-50000000.0,249000000.0,1672000000.0,3440000000.0,,-13000000.0,146000000.0,64000000.0,1067000000.0,1672000000.0,1768000000.0,79000000.0,,1264000000.0,504000000.0,-79000000.0,425000000.0,3440000000.0,224300000.0,222800000.0,225100000.0
CareFusion Corp ,CFN,,1457543,2011.0,Q3YTD,2010-07-01,2011-03-31,,0.71,0.71,0.71,91000000.0,159000000.0,195000000.0,-41000000.0,159000000.0,1244000000.0,2539000000.0,5000000.0,-15000000.0,112000000.0,53000000.0,798000000.0,1244000000.0,1295000000.0,61000000.0,,948000000.0,347000000.0,-61000000.0,286000000.0,2539000000.0,225000000.0,223000000.0,225600000.0
CareFusion Corp ,CFN,,1457543,2011.0,Q3,2011-01-01,2011-03-31,2012-05-04 06:46:28+00:00,0.2,0.2,0.2,42000000.0,45000000.0,86000000.0,-41000000.0,45000000.0,405000000.0,842000000.0,,-15000000.0,36000000.0,14000000.0,256000000.0,405000000.0,437000000.0,18000000.0,,291000000.0,146000000.0,-18000000.0,128000000.0,842000000.0,225000000.0,223000000.0,225600000.0
CareFusion Corp ,CFN,,1457543,2011.0,Q2YTD,2010-07-01,2010-12-31,,0.51,0.51,0.51,49000000.0,114000000.0,109000000.0,,114000000.0,839000000.0,1697000000.0,5000000.0,,76000000.0,39000000.0,542000000.0,839000000.0,858000000.0,43000000.0,,657000000.0,201000000.0,-43000000.0,158000000.0,1697000000.0,223500000.0,222800000.0,224500000.0
CareFusion Corp ,CFN,,1457543,2011.0,Q2,2010-10-01,2010-12-31,2012-02-03 09:00:43+00:00,0.34,0.34,0.34,29000000.0,76000000.0,73000000.0,,76000000.0,441000000.0,886000000.0,3000000.0,,36000000.0,17000000.0,270000000.0,441000000.0,445000000.0,20000000.0,,323000000.0,122000000.0,-20000000.0,102000000.0,886000000.0,223500000.0,222800000.0,224500000.0
CareFusion Corp ,CFN,,1457543,2011.0,Q1,2010-07-01,2010-09-30,2011-11-08 09:00:48+00:00,0.17,0.17,0.17,20000000.0,38000000.0,36000000.0,,38000000.0,398000000.0,811000000.0,2000000.0,,40000000.0,22000000.0,272000000.0,398000000.0,413000000.0,23000000.0,,334000000.0,79000000.0,-23000000.0,56000000.0,811000000.0,223500000.0,222100000.0,223900000.0
CareFusion Corp ,CFN,,1457543,2012.0,Q4,2012-04-01,2012-06-30,,0.44,0.44,0.43,40000000.0,96000000.0,91000000.0,5000000.0,96000000.0,486000000.0,961000000.0,,,46000000.0,7000000.0,267000000.0,486000000.0,475000000.0,24000000.0,,320000000.0,155000000.0,-24000000.0,131000000.0,961000000.0,223700000.0,223700000.0,226000000.0
CareFusion Corp ,CFN,,1457543,2012.0,FY,2011-07-01,2012-06-30,2014-08-11 07:27:11+00:00,1.31,1.31,1.3,126000000.0,293000000.0,361000000.0,-68000000.0,293000000.0,1794000000.0,3598000000.0,,0.0,164000000.0,33000000.0,1033000000.0,1794000000.0,1804000000.0,87000000.0,0.0,1230000000.0,574000000.0,-87000000.0,487000000.0,3598000000.0,223700000.0,223700000.0,226000000.0
