company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentassets,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2008.0,FY,,2008-12-31,2009-10-22 17:17:14+00:00,2560000000.0,594000000.0,-704000000.0,1249000000.0,,5331000000.0,276000000.0,8607000000.0,974000000.0,450000000.0,35701000000.0,10282000000.0,244000000.0,234000000.0,2506000000.0,13813000000.0,320000000.0,,39722000000.0,15447000000.0,2813000000.0,2880000000.0,15447000000.0,15447000000.0,24275000000.0,39722000000.0,1208000000.0,21395000000.0,-2993000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,FY,,2009-12-31,2011-02-04 17:03:17+00:00,2470000000.0,666000000.0,-654000000.0,1850000000.0,,5352000000.0,339000000.0,9636000000.0,1036000000.0,475000000.0,37202000000.0,11044000000.0,350000000.0,266000000.0,2021000000.0,15027000000.0,212000000.0,,42184000000.0,16801000000.0,3680000000.0,2682000000.0,16801000000.0,16801000000.0,25383000000.0,42184000000.0,1302000000.0,22701000000.0,-2924000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q3,,2009-09-30,2009-10-22 17:17:14+00:00,2575000000.0,727000000.0,-713000000.0,1435000000.0,,5344000000.0,299000000.0,9620000000.0,1013000000.0,490000000.0,37122000000.0,10595000000.0,266000000.0,337000000.0,2297000000.0,14752000000.0,173000000.0,,41689000000.0,16429000000.0,3217000000.0,2748000000.0,16429000000.0,16429000000.0,25260000000.0,41689000000.0,1350000000.0,22512000000.0,-2954000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q2,,2009-06-30,2009-07-24 16:07:12+00:00,2660000000.0,629000000.0,-714000000.0,1656000000.0,,5333000000.0,283000000.0,9816000000.0,990000000.0,507000000.0,36763000000.0,10487000000.0,271000000.0,451000000.0,2394000000.0,14371000000.0,174000000.0,,41550000000.0,16019000000.0,3346000000.0,2834000000.0,16019000000.0,16019000000.0,25531000000.0,41550000000.0,1441000000.0,22697000000.0,-2971000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2010.0,FY,,2010-12-31,2012-02-03 14:41:53+00:00,2713000000.0,1184000000.0,-734000000.0,1086000000.0,0.0,5370000000.0,261000000.0,9003000000.0,1137000000.0,534000000.0,38253000000.0,11557000000.0,367000000.0,266000000.0,1813000000.0,17154000000.0,239000000.0,,43088000000.0,17763000000.0,3432000000.0,2952000000.0,17763000000.0,17763000000.0,25325000000.0,43088000000.0,1403000000.0,22373000000.0,-4027000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2010.0,Q3,,2010-09-30,2010-10-22 16:39:20+00:00,2526000000.0,1297000000.0,-649000000.0,1358000000.0,,5369000000.0,357000000.0,9060000000.0,1104000000.0,504000000.0,37749000000.0,11480000000.0,394000000.0,238000000.0,1840000000.0,16566000000.0,659000000.0,,43001000000.0,17436000000.0,3910000000.0,3185000000.0,17436000000.0,17436000000.0,25565000000.0,43001000000.0,1342000000.0,22380000000.0,-3850000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2010.0,Q2,,2010-06-30,2010-07-23 15:31:50+00:00,2787000000.0,1250000000.0,-648000000.0,1317000000.0,,5363000000.0,364000000.0,9117000000.0,1064000000.0,496000000.0,37527000000.0,11189000000.0,275000000.0,242000000.0,1871000000.0,15951000000.0,248000000.0,,42535000000.0,17323000000.0,3702000000.0,3035000000.0,17323000000.0,17323000000.0,25212000000.0,42535000000.0,1306000000.0,22177000000.0,-3343000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2010.0,Q1,,2010-03-31,2010-04-23 16:20:46+00:00,2670000000.0,1218000000.0,-648000000.0,1753000000.0,,5344000000.0,355000000.0,9480000000.0,1036000000.0,506000000.0,37301000000.0,11116000000.0,280000000.0,263000000.0,1994000000.0,15406000000.0,239000000.0,,42712000000.0,17213000000.0,4112000000.0,2909000000.0,17213000000.0,17213000000.0,25499000000.0,42712000000.0,1299000000.0,22590000000.0,-2889000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2011.0,FY,,2011-12-31,2013-02-08 13:30:06+00:00,3108000000.0,1401000000.0,-1054000000.0,1217000000.0,0.0,5417000000.0,306000000.0,8697000000.0,1175000000.0,614000000.0,39934000000.0,12368000000.0,189000000.0,260000000.0,2136000000.0,19508000000.0,209000000.0,,45096000000.0,18578000000.0,3727000000.0,3317000000.0,18578000000.0,18578000000.0,26518000000.0,45096000000.0,1435000000.0,23201000000.0,-5293000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2011.0,Q3,,2011-09-30,2011-10-21 12:20:53+00:00,3082000000.0,1424000000.0,-732000000.0,1647000000.0,0.0,5406000000.0,305000000.0,8765000000.0,1171000000.0,607000000.0,39425000000.0,12290000000.0,231000000.0,256000000.0,1722000000.0,18833000000.0,642000000.0,,45066000000.0,18565000000.0,4214000000.0,3724000000.0,18565000000.0,18565000000.0,26501000000.0,45066000000.0,1427000000.0,22777000000.0,-4942000000.0
