company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2007.0,FY,2007-01-01,2007-12-31,2010-02-05 15:30:53+00:00,3.49,3.49,0.745,1321000000.0,3.46,1154000000.0,1855000000.0,1855000000.0,1855000000.0,6328000000.0,15486000000.0,116000000.0,,797000000.0,5259000000.0,6328000000.0,9955000000.0,482000000.0,6580000000.0,3375000000.0,-366000000.0,3009000000.0,16283000000.0,531500000.0,531900000.0,536800000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2008.0,FY,2008-01-01,2008-12-31,2011-02-04 17:03:17+00:00,4.57,4.57,0.98,1366000000.0,4.53,1316000000.0,2335000000.0,2335000000.0,2335000000.0,7237000000.0,17118000000.0,92000000.0,,852000000.0,5297000000.0,7237000000.0,10733000000.0,511000000.0,6663000000.0,4070000000.0,-419000000.0,3651000000.0,17970000000.0,510900000.0,510600000.0,515000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2008.0,Q3,2008-07-01,2008-09-30,2009-10-22 17:17:14+00:00,1.39,1.39,0.27,348000000.0,1.38,405000000.0,703000000.0,703000000.0,703000000.0,1942000000.0,4630000000.0,23000000.0,,216000000.0,1341000000.0,1942000000.0,2904000000.0,130000000.0,1689000000.0,1215000000.0,-107000000.0,1108000000.0,4846000000.0,505800000.0,506556000.0,511303000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2008.0,Q2,2008-04-01,2008-06-30,2009-07-24 16:07:12+00:00,1.03,1.03,0.22,346000000.0,1.02,291000000.0,531000000.0,531000000.0,531000000.0,1991000000.0,4349000000.0,19000000.0,,219000000.0,1300000000.0,1991000000.0,2577000000.0,128000000.0,1646000000.0,931000000.0,-109000000.0,822000000.0,4568000000.0,515500000.0,514264000.0,519005000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,FY,2009-01-01,2009-12-31,2011-02-04 17:03:17+00:00,3.76,3.76,1.08,1427000000.0,3.74,1084000000.0,1890000000.0,1890000000.0,1890000000.0,4587000000.0,13373000000.0,195000000.0,,770000000.0,4750000000.0,4587000000.0,9556000000.0,600000000.0,6177000000.0,3379000000.0,-405000000.0,2974000000.0,14143000000.0,502700000.0,503000000.0,505800000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q4,2009-10-01,2009-12-31,,1.09,1.09,0.27,373000000.0,1.09,320000000.0,549000000.0,549000000.0,549000000.0,1235000000.0,3541000000.0,23000000.0,,213000000.0,1147000000.0,1235000000.0,2519000000.0,153000000.0,1520000000.0,999000000.0,-130000000.0,869000000.0,3754000000.0,502700000.0,503000000.0,505800000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.67,2.67,0.81,1054000000.0,2.67,764000000.0,1341000000.0,1341000000.0,1341000000.0,3352000000.0,9832000000.0,172000000.0,,557000000.0,3603000000.0,3352000000.0,7037000000.0,447000000.0,4657000000.0,2380000000.0,-275000000.0,2105000000.0,10389000000.0,503900000.0,503100000.0,507000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q3,2009-07-01,2009-09-30,2010-10-22 16:39:20+00:00,1.02,1.02,0.27,363000000.0,1.01,305000000.0,514000000.0,514000000.0,514000000.0,1169000000.0,3471000000.0,14000000.0,,200000000.0,1178000000.0,1169000000.0,2502000000.0,156000000.0,1541000000.0,961000000.0,-142000000.0,819000000.0,3671000000.0,503900000.0,503100000.0,507000000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.64,1.64,0.54,691000000.0,1.64,459000000.0,827000000.0,827000000.0,827000000.0,2183000000.0,6361000000.0,158000000.0,,357000000.0,2425000000.0,2183000000.0,4535000000.0,291000000.0,3116000000.0,1419000000.0,-133000000.0,1286000000.0,6718000000.0,505400000.0,502900000.0,505300000.0
Union Pacific Corp,UNP,549300LMMRSZZCZ8CL11,100885,2009.0,Q2,2009-04-01,2009-06-30,2010-07-23 15:31:50+00:00,0.92,0.92,0.27,350000000.0,0.92,268000000.0,465000000.0,465000000.0,465000000.0,1076000000.0,3121000000.0,135000000.0,,182000000.0,1129000000.0,1076000000.0,2227000000.0,150000000.0,1479000000.0,748000000.0,-15000000.0,733000000.0,3303000000.0,505400000.0,502900000.0,505300000.0
