company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othercostofrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:44:41+00:00,3.61,3.61,,193470000.0,3.55,,245581000.0,428643000.0,428643000.0,,381778000.0,46865000.0,3590344000.0,5264151000.0,,136682000.0,22460000.0,,,-56492000.0,491236000.0,3727026000.0,1537125000.0,257147000.0,628214000.0,908911000.0,-234687000.0,674224000.0,5264151000.0,105800000.0,105893052.0,107418240.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 12:35:59+00:00,3.56,3.56,,216917000.0,3.53,,235471000.0,421320000.0,421320000.0,,374160000.0,47160000.0,3920487000.0,5660173000.0,,146229000.0,12411000.0,,,-796000.0,508240000.0,4066716000.0,1593457000.0,224716000.0,724361000.0,869096000.0,-212305000.0,656791000.0,5660173000.0,105100000.0,105149448.0,105939725.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 17:16:11+00:00,0.9,0.9,,54970000.0,0.89,,62010000.0,93910000.0,107738000.0,,93910000.0,,1005648000.0,1447135000.0,-13828000.0,37305000.0,2481000.0,,,-1177000.0,128617000.0,1042953000.0,404182000.0,54505000.0,182410000.0,221772000.0,-52024000.0,169748000.0,1447135000.0,104300000.0,104556770.0,105577823.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 00:00:00+00:00,0.91,0.91,,52892000.0,0.9,,58273000.0,94951000.0,107828000.0,,94951000.0,,973286000.0,1407304000.0,-12877000.0,37497000.0,2987000.0,,,-4000.0,125199000.0,1010783000.0,396521000.0,55320000.0,178087000.0,218434000.0,-52333000.0,166101000.0,1407304000.0,104300000.0,104814817.0,105617173.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2009.0,Q4,2009-10-01,2009-12-31,,1.06,1.06,,56275000.0,1.06,,68728000.0,166799000.0,125190000.0,393000.0,109724000.0,57075000.0,1088525000.0,1560052000.0,41216000.0,41398000.0,680000.0,,,-1376000.0,137161000.0,1129923000.0,430129000.0,44831000.0,192060000.0,238069000.0,-44151000.0,193918000.0,1560052000.0,103600000.0,103603885.0,104167685.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 15:38:01+00:00,4.08,4.08,,228396000.0,4.06,,278213000.0,479759000.0,479366000.0,393000.0,422684000.0,57075000.0,4242147000.0,6100648000.0,,161388000.0,3706000.0,,,-2442000.0,531531000.0,4403535000.0,1697113000.0,185755000.0,757485000.0,939628000.0,-182049000.0,757579000.0,6100648000.0,103600000.0,103603885.0,104167685.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2009.0,Q3,2009-07-01,2009-09-30,2009-11-05 17:16:11+00:00,1.07,1.07,,56813000.0,1.06,,74195000.0,110930000.0,126270000.0,,110930000.0,,1095857000.0,1573915000.0,-15340000.0,42021000.0,999000.0,,,-708000.0,134931000.0,1137878000.0,436037000.0,45535000.0,191036000.0,245001000.0,-44536000.0,200465000.0,1573915000.0,103700000.0,104127334.0,104607318.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.02,3.02,,172121000.0,3.0,,209485000.0,312960000.0,354176000.0,,312960000.0,,3153622000.0,4540596000.0,-41216000.0,119990000.0,3026000.0,,,-1066000.0,394370000.0,3273612000.0,1266984000.0,140924000.0,565425000.0,701559000.0,-137898000.0,563661000.0,4540596000.0,103700000.0,104127334.0,104607318.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2009.0,Q2,2009-04-01,2009-06-30,2009-08-07 00:00:00+00:00,1.02,1.02,,58185000.0,1.02,,70507000.0,105819000.0,119632000.0,,105819000.0,,1051879000.0,1519041000.0,-13813000.0,41233000.0,1273000.0,,,-376000.0,132166000.0,1093112000.0,425929000.0,47088000.0,189975000.0,235954000.0,-45815000.0,190139000.0,1519041000.0,103700000.0,103705683.0,103925843.0
Davita Inc,DVA,M2XHYMU3TZNEZURC6H66,927066,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.95,1.95,,115308000.0,1.94,,135290000.0,202030000.0,227906000.0,,202030000.0,,2057765000.0,2966681000.0,-25876000.0,77969000.0,2027000.0,,,-358000.0,259439000.0,2135734000.0,830947000.0,95389000.0,374389000.0,456558000.0,-93362000.0,363196000.0,2966681000.0,103700000.0,103705683.0,103925843.0
