company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
STERIS plc,STE,,1624899,2014.0,FY,2013-04-01,2014-03-31,2016-05-31 16:05:40+00:00,2.2,2.2,0.82,2.17,,58934000.0,129442000.0,129442000.0,129442000.0,0.0,972630000.0,1622252000.0,339000.0,,48641000.0,13204000.0,380970000.0,972630000.0,649622000.0,18770000.0,442815000.0,206807000.0,-18431000.0,188376000.0,1622252000.0,58966000.0,58966000.0,58966000.0
STERIS plc,STE,,1624899,2015.0,FY,2014-04-01,2015-03-31,2017-05-26 08:34:19+00:00,2.27,2.27,0.9,2.25,0.0,73756000.0,135064000.0,135064000.0,135064000.0,0.0,1075962000.0,1850263000.0,796000.0,,54139000.0,-391000.0,493342000.0,1075962000.0,774301000.0,19187000.0,547090000.0,227211000.0,-18391000.0,208820000.0,1850263000.0,59413000.0,59413000.0,59413000.0
STERIS plc,STE,,1624899,2015.0,Q3,2014-10-01,2014-12-31,2016-02-09 16:58:33+00:00,0.64,0.64,0.23,0.63,,18817000.0,38124000.0,38124000.0,38124000.0,0.0,276088000.0,473244000.0,417000.0,,14549000.0,-1109000.0,122370000.0,276088000.0,197156000.0,4822000.0,135810000.0,61346000.0,-4405000.0,56941000.0,473244000.0,59475000.0,59475000.0,59475000.0
STERIS plc,STE,,1624899,2016.0,FY,2015-04-01,2016-03-31,2018-05-30 09:25:21+00:00,1.57,1.57,0.98,1.56,0.0,60299000.0,111585000.0,111585000.0,110763000.0,822000.0,1343283000.0,2238764000.0,1665000.0,,56664000.0,-820000.0,626710000.0,1343283000.0,895481000.0,42708000.0,682554000.0,212927000.0,-41043000.0,171884000.0,2238764000.0,70698000.0,70698000.0,70698000.0
STERIS plc,STE,,1624899,2016.0,Q4,2016-01-01,2016-03-31,,0.75,0.75,0.25,0.76,,30610000.0,57869000.0,57869000.0,57740000.0,129000.0,426388000.0,690277000.0,550000.0,,14310000.0,156000.0,150097000.0,426388000.0,263889000.0,11397000.0,164563000.0,99326000.0,-10847000.0,88479000.0,690277000.0,70698000.0,70698000.0,70698000.0
STERIS plc,STE,,1624899,2016.0,Q3,2015-10-01,2015-12-31,2017-02-08 16:14:10+00:00,0.26,0.26,0.25,0.26,0.0,8268000.0,21154000.0,21154000.0,20045000.0,1109000.0,380507000.0,618688000.0,406000.0,,14334000.0,-194000.0,177319000.0,380507000.0,238181000.0,17706000.0,191459000.0,46722000.0,-17300000.0,29422000.0,618688000.0,77221000.0,77221000.0,77221000.0
STERIS plc,STE,,1624899,2016.0,Q3YTD,2015-04-01,2015-12-31,,0.82,0.82,0.73,0.8,,29689000.0,53716000.0,53716000.0,53023000.0,693000.0,916895000.0,1548487000.0,1115000.0,,42354000.0,-976000.0,476613000.0,916895000.0,631592000.0,31311000.0,517991000.0,113601000.0,-30196000.0,83405000.0,1548487000.0,77221000.0,77221000.0,77221000.0
STERIS plc,STE,,1624899,2016.0,Q2YTD,2015-04-01,2015-09-30,,0.56,0.56,0.48,0.54,,21421000.0,32562000.0,32562000.0,32978000.0,-416000.0,536388000.0,929799000.0,709000.0,,28020000.0,-782000.0,299294000.0,536388000.0,393411000.0,13605000.0,326532000.0,66879000.0,-12896000.0,53983000.0,929799000.0,59897000.0,59897000.0,59897000.0
STERIS plc,STE,,1624899,2016.0,Q2,2015-07-01,2015-09-30,2016-11-08 16:48:32+00:00,0.15,0.15,0.25,0.14,,7154000.0,8251000.0,8251000.0,8687000.0,-436000.0,280576000.0,489897000.0,227000.0,,14255000.0,-56000.0,172459000.0,280576000.0,209321000.0,7485000.0,186658000.0,22663000.0,-7258000.0,15405000.0,489897000.0,59897000.0,59897000.0,59897000.0
STERIS plc,STE,,1624899,2016.0,Q1,2015-04-01,2015-06-30,2016-08-09 16:20:46+00:00,0.41,0.41,0.23,0.4,,14267000.0,24311000.0,24311000.0,24291000.0,20000.0,255812000.0,439902000.0,482000.0,,13765000.0,-726000.0,126835000.0,255812000.0,184090000.0,6120000.0,139874000.0,44216000.0,-5638000.0,38578000.0,439902000.0,59768000.0,59768000.0,59768000.0
