company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2008.0,FY,2007-03-04,2008-03-01,2010-04-28 17:11:30+00:00,3.2,3.2,0.46,3.12,,815000000.0,1410000000.0,1410000000.0,,1407000000.0,3000000.0,30477000000.0,40023000000.0,-3000000.0,,,,7385000000.0,30477000000.0,9546000000.0,62000000.0,129000000.0,7385000000.0,2161000000.0,67000000.0,2228000000.0,40023000000.0,439700000.0,439900000.0,452900000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2009.0,FY,2008-03-02,2009-02-28,2010-04-28 17:11:30+00:00,2.43,2.43,0.54,2.39,,674000000.0,1033000000.0,1033000000.0,,1003000000.0,30000000.0,34017000000.0,45015000000.0,7000000.0,-111000000.0,144000000.0,,8984000000.0,34017000000.0,10998000000.0,94000000.0,35000000.0,9128000000.0,1870000000.0,-170000000.0,1700000000.0,45015000000.0,412800000.0,412500000.0,422900000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2009.0,Q3,2008-08-31,2008-11-29,2010-01-07 16:47:21+00:00,0.13,0.13,0.14,0.13,,68000000.0,63000000.0,63000000.0,,52000000.0,11000000.0,8639000000.0,11500000000.0,6000000.0,,,,2587000000.0,8639000000.0,2861000000.0,35000000.0,-114000000.0,2587000000.0,274000000.0,-149000000.0,125000000.0,11500000000.0,400000000.0,412900000.0,422600000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2009.0,Q2,2008-06-01,2008-08-30,2009-10-08 15:58:02+00:00,0.49,0.49,0.13,0.48,,122000000.0,205000000.0,205000000.0,,202000000.0,3000000.0,7420000000.0,9801000000.0,,,,,2042000000.0,7420000000.0,2381000000.0,21000000.0,9000000.0,2042000000.0,339000000.0,-12000000.0,327000000.0,9801000000.0,412200000.0,412100000.0,423300000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2010.0,Q4,2009-11-29,2010-02-27,,1.87,1.87,0.14,1.84,,497000000.0,810000000.0,911000000.0,-101000000.0,779000000.0,31000000.0,12243000000.0,16102000000.0,1000000.0,,,,2443000000.0,12243000000.0,3859000000.0,24000000.0,15000000.0,2443000000.0,1416000000.0,-9000000.0,1407000000.0,16102000000.0,416800000.0,416800000.0,427500000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2010.0,FY,2009-03-01,2010-02-27,2012-05-01 16:55:30+00:00,3.16,3.16,0.56,3.1,0.0,835000000.0,1394000000.0,1495000000.0,-101000000.0,1317000000.0,77000000.0,37201000000.0,49243000000.0,1000000.0,,,52000000.0,9622000000.0,37201000000.0,12042000000.0,92000000.0,53000000.0,9674000000.0,2368000000.0,-39000000.0,2329000000.0,49243000000.0,416800000.0,416800000.0,427500000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2010.0,Q3,2009-08-30,2009-11-28,2010-01-07 16:47:21+00:00,0.54,0.54,0.14,0.53,,93000000.0,271000000.0,271000000.0,,227000000.0,44000000.0,9082000000.0,12024000000.0,,,,,2566000000.0,9082000000.0,2942000000.0,23000000.0,11000000.0,2566000000.0,376000000.0,-12000000.0,364000000.0,12024000000.0,420400000.0,417100000.0,428600000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2010.0,Q3YTD,2009-03-01,2009-11-28,,1.29,1.29,0.42,1.26,,338000000.0,584000000.0,584000000.0,,538000000.0,46000000.0,24958000000.0,33141000000.0,,,,52000000.0,7179000000.0,24958000000.0,8183000000.0,68000000.0,38000000.0,7231000000.0,952000000.0,-30000000.0,922000000.0,33141000000.0,420400000.0,417100000.0,428600000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2010.0,Q2,2009-05-31,2009-08-29,2009-10-08 15:58:02+00:00,0.38,0.38,0.14,0.37,,119000000.0,157000000.0,157000000.0,,158000000.0,-1000000.0,8338000000.0,11022000000.0,,,,,2404000000.0,8338000000.0,2684000000.0,22000000.0,18000000.0,2404000000.0,280000000.0,-4000000.0,276000000.0,11022000000.0,415800000.0,416500000.0,427000000.0
Best Buy Co Inc,BBY,HL5XPTVRV0O8TUN5LL90,764478,2010.0,Q2YTD,2009-03-01,2009-08-29,,0.75,0.75,0.28,0.73,,245000000.0,313000000.0,313000000.0,,311000000.0,2000000.0,15876000000.0,21117000000.0,,,,52000000.0,4613000000.0,15876000000.0,5241000000.0,45000000.0,27000000.0,4665000000.0,576000000.0,-18000000.0,558000000.0,21117000000.0,415800000.0,416500000.0,427000000.0
