company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicsharesos,weightedavedilutedsharesos
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 16:12:29+00:00,,2.12,,109802000.0,2.1,862000.0,,144395000.0,257483000.0,257483000.0,,257483000.0,,743704000.0,1361406000.0,,,7645000.0,,-126088000.0,,195365000.0,743704000.0,617702000.0,47669000.0,4141000.0,179941000.0,437761000.0,-35883000.0,401878000.0,1361406000.0,121500000.0,122600000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2008.0,FY,2008-01-01,2008-12-31,2010-02-18 16:12:29+00:00,,2.01,,136816000.0,2.0,9064000.0,,154920000.0,255604000.0,255604000.0,,255604000.0,,854706000.0,1576488000.0,,,-1602000.0,,,,111096000.0,854706000.0,721782000.0,58394000.0,5714000.0,256976000.0,464806000.0,-54282000.0,410524000.0,1576488000.0,127200000.0,127800000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 16:33:26+00:00,,0.74,0.22,34269000.0,0.73,3508000.0,,55684000.0,96198000.0,96198000.0,,96198000.0,,135523000.0,297827000.0,,,611000.0,,,,-38199000.0,135523000.0,162304000.0,13012000.0,1557000.0,-422000.0,162726000.0,-10844000.0,151882000.0,297827000.0,130540000.0,131558000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2008.0,Q2,2008-04-01,2008-06-30,2009-07-29 16:17:22+00:00,,0.44,0.22,32051000.0,0.44,838000.0,,34686000.0,55391000.0,55391000.0,,55391000.0,,167333000.0,334009000.0,,,1574000.0,,,,32654000.0,167333000.0,166676000.0,14327000.0,1697000.0,65543000.0,101133000.0,-11056000.0,90077000.0,334009000.0,126243000.0,127321000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2009.0,Q4,2009-10-01,2009-12-31,,,0.43,-0.66,55595000.0,0.42,5654000.0,,26248000.0,55382000.0,55382000.0,,55382000.0,,159632000.0,385556000.0,,,6786000.0,,,,51466000.0,159632000.0,225924000.0,33683000.0,-4682000.0,112715000.0,113209000.0,-31579000.0,81630000.0,385556000.0,130800000.0,131900000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2009.0,FY,2009-01-01,2009-12-31,2012-02-16 16:05:57+00:00,,1.2,,196078000.0,1.19,17905000.0,,96668000.0,156929000.0,156929000.0,,156929000.0,,563879000.0,1311356000.0,,,8585000.0,,,,176703000.0,563879000.0,747477000.0,111779000.0,,390686000.0,356791000.0,-103194000.0,253597000.0,1311356000.0,130800000.0,131900000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2009.0,Q3,2009-07-01,2009-09-30,2009-10-29 16:33:26+00:00,,0.02,0.22,49706000.0,0.02,4526000.0,,7091000.0,2909000.0,2909000.0,,2909000.0,,64287000.0,218357000.0,,,511000.0,,,,59906000.0,64287000.0,154070000.0,32393000.0,1950000.0,114138000.0,39932000.0,-29932000.0,10000000.0,218357000.0,130850000.0,131505000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2009.0,Q3YTD,2009-01-01,2009-09-30,,,0.77,0.66,140483000.0,0.77,12251000.0,,70420000.0,101547000.0,101547000.0,,101547000.0,,404247000.0,925800000.0,,,1799000.0,,,,125237000.0,404247000.0,521553000.0,78096000.0,4682000.0,277971000.0,243582000.0,-71615000.0,171967000.0,925800000.0,130850000.0,131505000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2009.0,Q2,2009-04-01,2009-06-30,2009-07-29 16:17:22+00:00,,0.2,0.22,46188000.0,0.2,4414000.0,,16717000.0,26645000.0,26645000.0,,26645000.0,,84343000.0,238040000.0,,,698000.0,,,,35581000.0,84343000.0,153697000.0,26460000.0,1610000.0,86183000.0,67514000.0,-24152000.0,43362000.0,238040000.0,130830000.0,131443000.0
EQT Corp,EQT,4NT01YGM4X7ZX86ISY52,33213,2009.0,Q2YTD,2009-01-01,2009-06-30,,,0.75,0.44,90777000.0,0.75,7725000.0,,63329000.0,98638000.0,98638000.0,,98638000.0,,339960000.0,707443000.0,,,1288000.0,,,,65331000.0,339960000.0,367483000.0,45703000.0,2732000.0,163833000.0,203650000.0,-41683000.0,161967000.0,707443000.0,130830000.0,131443000.0
