company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netrealizedcapitalgains,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,premiumsearned,propertyliabilityinsuranceclaims,restructuringcharge,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Extra Space Storage Inc,EXR,,1289490,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:08:45+00:00,,0.46,0.46,1.0,49566000.0,0.46,,519000.0,8249000.0,68671000.0,43349000.0,43349000.0,35781000.0,7568000.0,-60422000.0,6311000.0,6932000.0,235695000.0,130391000.0,20945000.0,,16091000.0,,1727000.0,68671000.0,8249000.0,181684000.0,279042000.0,36936000.0,218620000.0,77800000.0,76996754.0,82352988.0
Extra Space Storage Inc,EXR,,1289490,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 14:16:40+00:00,,0.37,0.37,0.38,52403000.0,0.37,,4300000.0,6432000.0,69818000.0,39093000.0,39093000.0,31977000.0,7116000.0,-63386000.0,27928000.0,6964000.0,238256000.0,136845000.0,20961000.0,,20929000.0,,19011000.0,69818000.0,6432000.0,208259000.0,308074000.0,36429000.0,244688000.0,86400000.0,86343029.0,91082834.0
Extra Space Storage Inc,EXR,,1289490,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 13:25:41+00:00,,0.07,0.07,,13797000.0,0.07,,726000.0,1458000.0,18127000.0,7574000.0,7574000.0,5967000.0,1607000.0,-16669000.0,,1752000.0,60380000.0,34077000.0,5191000.0,,5542000.0,,22000.0,18127000.0,1458000.0,47896000.0,71113000.0,6548000.0,54444000.0,85200000.0,86437877.0,91548984.0
Extra Space Storage Inc,EXR,,1289490,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:47:43+00:00,,-0.09,-0.09,,12840000.0,-0.09,,943000.0,1533000.0,16379000.0,-6681000.0,-6681000.0,-7541000.0,860000.0,-14846000.0,5093000.0,1641000.0,58705000.0,35050000.0,5275000.0,,5085000.0,,18801000.0,16379000.0,1533000.0,66691000.0,74158000.0,-7379000.0,59312000.0,83800000.0,86397618.0,91607503.0
Extra Space Storage Inc,EXR,,1289490,2010.0,Q4,2010-10-01,2010-12-31,,,0.1,0.1,-0.3,13209000.0,0.1,,815000.0,1396000.0,15335000.0,10788000.0,10788000.0,8916000.0,1872000.0,-13939000.0,,1957000.0,60186000.0,35548000.0,6066000.0,,6902000.0,,812000.0,15335000.0,1396000.0,49569000.0,73154000.0,9646000.0,59215000.0,87800000.0,87324104.0,92050453.0
Extra Space Storage Inc,EXR,,1289490,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 16:12:33+00:00,,0.3,0.3,,50349000.0,0.3,,4162000.0,5748000.0,65780000.0,33374000.0,33374000.0,26331000.0,7043000.0,-60032000.0,,6753000.0,232447000.0,139098000.0,23122000.0,,25928000.0,,1235000.0,65780000.0,5748000.0,190682000.0,281497000.0,30783000.0,221465000.0,87800000.0,87324104.0,92050453.0
Extra Space Storage Inc,EXR,,1289490,2010.0,Q3YTD,2010-01-01,2010-09-30,,,0.2,0.2,0.3,37140000.0,0.2,,3347000.0,4352000.0,50445000.0,22586000.0,22586000.0,17415000.0,5171000.0,-46093000.0,,4796000.0,172261000.0,103550000.0,17056000.0,,19026000.0,,423000.0,50445000.0,4352000.0,141113000.0,208343000.0,21137000.0,162250000.0,85200000.0,87484731.0,92189852.0
Extra Space Storage Inc,EXR,,1289490,2010.0,Q3,2010-07-01,2010-09-30,2011-11-07 15:45:54+00:00,,0.09,0.09,0.1,12519000.0,0.09,,1088000.0,1391000.0,16118000.0,9482000.0,9482000.0,7667000.0,1815000.0,-14727000.0,,1736000.0,59332000.0,35688000.0,5851000.0,,6796000.0,,211000.0,16118000.0,1391000.0,48418000.0,71979000.0,8834000.0,57252000.0,85200000.0,87484731.0,92189852.0
Extra Space Storage Inc,EXR,,1289490,2010.0,Q2,2010-04-01,2010-06-30,2011-08-08 13:58:49+00:00,,0.07,0.07,0.1,12202000.0,0.07,,1214000.0,1423000.0,16649000.0,7925000.0,7925000.0,6180000.0,1745000.0,-15226000.0,,1559000.0,56786000.0,33627000.0,5653000.0,,6338000.0,,142000.0,16649000.0,1423000.0,45971000.0,68777000.0,7580000.0,53551000.0,88300000.0,87367967.0,92304831.0
Extra Space Storage Inc,EXR,,1289490,2010.0,Q2YTD,2010-01-01,2010-06-30,,,0.11,0.11,0.2,24621000.0,0.11,,2259000.0,2961000.0,34327000.0,13104000.0,13104000.0,9748000.0,3356000.0,-31366000.0,,3060000.0,112929000.0,67862000.0,11205000.0,,12230000.0,,212000.0,34327000.0,2961000.0,92695000.0,136364000.0,12303000.0,104998000.0,88300000.0,87367967.0,92304831.0
