company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 10:25:46+00:00,-152369000.0,41638000.0,1030000.0,33443000.0,321000.0,-2623000.0,-23987000.0,94600000.0,21032000.0,-166717000.0,90744000.0,21032000.0,-166717000.0,90744000.0,-57564000.0,68934000.0,68934000.0,12354000.0,470000.0,,-24969000.0,,-14815000.0,-25829000.0,-23240000.0,,146000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2009.0,FY,2009-01-01,2009-12-31,2011-02-25 10:25:46+00:00,-10966000.0,46431000.0,1031000.0,37169000.0,56000.0,1257000.0,-11389000.0,2000000.0,-89753000.0,-26562000.0,110846000.0,-89753000.0,-26562000.0,110846000.0,-4212000.0,83984000.0,83984000.0,1082000.0,679000.0,,-27853000.0,,-15740000.0,-35471000.0,-29108000.0,,88000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2009.0,Q4,2009-10-01,2009-12-31,,-5542000.0,13849000.0,79000.0,9045000.0,47000.0,298000.0,-620000.0,1400000.0,-24299000.0,-11369000.0,18653000.0,-24299000.0,-11369000.0,18653000.0,-16717000.0,19961000.0,19961000.0,-9733000.0,447000.0,,-6925000.0,,-5923000.0,-15094000.0,-4127000.0,,49000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2009.0,Q3,2009-07-01,2009-09-30,,-2381000.0,15009000.0,169000.0,9321000.0,,623000.0,-8849000.0,600000.0,-19003000.0,-6072000.0,28098000.0,-19003000.0,-6072000.0,28098000.0,3646000.0,22733000.0,22733000.0,4893000.0,47000.0,,-6932000.0,,-3694000.0,-10112000.0,-2606000.0,,3000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-29 12:49:56+00:00,-5424000.0,32582000.0,952000.0,28124000.0,9000.0,959000.0,-10769000.0,600000.0,-65454000.0,-15193000.0,92193000.0,-65454000.0,-15193000.0,92193000.0,12505000.0,64023000.0,64023000.0,10815000.0,232000.0,,-20928000.0,,-9817000.0,-20377000.0,-24981000.0,,39000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-30 14:45:23+00:00,-3043000.0,17573000.0,783000.0,18803000.0,9000.0,336000.0,-1920000.0,,-46451000.0,-9121000.0,64095000.0,-46451000.0,-9121000.0,64095000.0,8859000.0,41290000.0,41290000.0,5922000.0,185000.0,,-13996000.0,,-6123000.0,-10265000.0,-22375000.0,,36000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2010.0,Q4,2010-10-01,2010-12-31,,-13874000.0,60101000.0,248000.0,9365000.0,148000.0,378000.0,-1362000.0,-4500000.0,-11241000.0,-20108000.0,31634000.0,-11241000.0,-20108000.0,31634000.0,663000.0,19206000.0,19206000.0,4425000.0,219000.0,-143000.0,-8809000.0,,-6246000.0,1968000.0,-119000.0,,7000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 10:11:44+00:00,-34764000.0,60101000.0,248000.0,36408000.0,148000.0,498000.0,-16630000.0,2500000.0,-65497000.0,-47645000.0,124053000.0,-65497000.0,-47645000.0,124053000.0,11409000.0,90002000.0,90002000.0,14273000.0,1440000.0,,-35521000.0,,-13036000.0,-4224000.0,-29692000.0,,7000.0
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-28 10:51:55+00:00,-20890000.0,,,27043000.0,,120000.0,-15268000.0,7000000.0,-54256000.0,-27537000.0,92419000.0,-54256000.0,-27537000.0,92419000.0,10746000.0,70796000.0,70796000.0,9848000.0,1221000.0,143000.0,-26712000.0,,-6790000.0,-6192000.0,-29573000.0,,
Rollins Inc,ROL,549300F2A0BXT4SGWD84,84839,2010.0,Q3TTM,2009-10-01,2010-09-30,,-26432000.0,13849000.0,79000.0,36088000.0,47000.0,418000.0,-15888000.0,8400000.0,-78555000.0,-38906000.0,111072000.0,-78555000.0,-38906000.0,111072000.0,-5971000.0,90757000.0,90757000.0,115000.0,1668000.0,143000.0,-33637000.0,,-12713000.0,-21286000.0,-33700000.0,,49000.0
