company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:14:06+00:00,121300000.0,1.59,1.59,,1.57,,,177400000.0,,485300000.0,487000000.0,-1700000.0,484800000.0,500000.0,673200000.0,3879000000.0,,,,-25600000.0,,59900000.0,,,718100000.0,26800000.0,1680200000.0,673200000.0,3265700000.0,94600000.0,65300000.0,2546400000.0,719300000.0,-54900000.0,664400000.0,3938900000.0,304900000.0,304900000.0,308800000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 21:52:26+00:00,150900000.0,1.85,1.85,,1.84,,0.0,197500000.0,,564700000.0,564700000.0,,563100000.0,1600000.0,761200000.0,4339700000.0,,,,18200000.0,0.0,63700000.0,,,797900000.0,41300000.0,1856100000.0,761200000.0,3642200000.0,85500000.0,33500000.0,2846200000.0,796000000.0,-33800000.0,762200000.0,4403400000.0,304400000.0,304400000.0,306000000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 16:22:55+00:00,39300000.0,0.54,0.54,,0.54,,,67000000.0,,166000000.0,166000000.0,,165400000.0,600000.0,194700000.0,1081900000.0,,,,9900000.0,,16300000.0,,,186600000.0,-200000.0,440400000.0,194700000.0,903500000.0,20800000.0,6500000.0,666100000.0,237400000.0,-4400000.0,233000000.0,1098200000.0,306300000.0,306300000.0,306300000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 18:24:12+00:00,35800000.0,0.47,0.47,,0.47,,,46100000.0,,143800000.0,143800000.0,,143400000.0,400000.0,197500000.0,1155800000.0,,,,-8400000.0,,16200000.0,,,213400000.0,9400000.0,506900000.0,197500000.0,974500000.0,21000000.0,10300000.0,765500000.0,209000000.0,-19100000.0,189900000.0,1172000000.0,305100000.0,305100000.0,305100000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 14:58:22+00:00,146300000.0,2.05,2.05,,2.03,,0.0,224700000.0,,623800000.0,623800000.0,,621300000.0,2500000.0,750900000.0,4447600000.0,,,,-34200000.0,0.0,56000000.0,,,706000000.0,50900000.0,1921500000.0,750900000.0,3752700000.0,76900000.0,31600000.0,2824700000.0,928000000.0,-79500000.0,848500000.0,4503600000.0,303100000.0,303100000.0,306100000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2009.0,Q4,2009-10-01,2009-12-31,,36200000.0,0.73,0.73,,0.72,,,73000000.0,,223100000.0,223100000.0,,221500000.0,1600000.0,184600000.0,1206500000.0,,,300000.0,-1300000.0,,17800000.0,,,185400000.0,3600000.0,497600000.0,184600000.0,1039700000.0,21200000.0,1400000.0,722800000.0,316900000.0,-21100000.0,295800000.0,1224300000.0,303100000.0,303100000.0,306100000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 16:28:31+00:00,36000000.0,0.59,0.59,,0.58,,0.0,53100000.0,,179200000.0,179200000.0,,179000000.0,200000.0,190200000.0,1127800000.0,,,,-12400000.0,0.0,13500000.0,,,176900000.0,4200000.0,497500000.0,190200000.0,951100000.0,17800000.0,26000000.0,714600000.0,236500000.0,-4200000.0,232300000.0,1141300000.0,303400000.0,303400000.0,308600000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2009.0,Q3YTD,2009-01-01,2009-09-30,,110100000.0,1.32,1.32,,1.31,,,151700000.0,,400700000.0,400700000.0,,399800000.0,900000.0,566300000.0,3241100000.0,,,-300000.0,-32900000.0,,38200000.0,,,520600000.0,47300000.0,1423900000.0,566300000.0,2713000000.0,55700000.0,30200000.0,2101900000.0,611100000.0,-58400000.0,552700000.0,3279300000.0,303400000.0,303400000.0,308600000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 14:35:26+00:00,35500000.0,0.58,0.58,,0.58,,,80200000.0,,176800000.0,176800000.0,,176100000.0,700000.0,198300000.0,1118700000.0,,,,-18500000.0,,12100000.0,,,161600000.0,1000000.0,441900000.0,198300000.0,932500000.0,18500000.0,1500000.0,640000000.0,292500000.0,-35500000.0,257000000.0,1130800000.0,303600000.0,303600000.0,303600000.0
Allergan plc,AGN,6T6CAG8O6TSUTMO6BA21,1578845,2009.0,Q2YTD,2009-01-01,2009-06-30,,74100000.0,0.73,0.73,,0.73,,,98600000.0,,221500000.0,221500000.0,,220800000.0,700000.0,376100000.0,2113300000.0,,,-300000.0,-20500000.0,,24700000.0,,,343700000.0,43100000.0,926400000.0,376100000.0,1761900000.0,37900000.0,4200000.0,1387300000.0,374600000.0,-54200000.0,320400000.0,2138000000.0,303600000.0,303600000.0,303600000.0
