company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 17:25:11+00:00,-47738000.0,,,,195900000.0,142667000.0,67471000.0,18222000.0,431750000.0,198533000.0,-762513000.0,570214000.0,198533000.0,-762513000.0,570214000.0,6234000.0,253147000.0,253147000.0,53696000.0,19181000.0,-9431000.0,,-848011000.0,-270620000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2008.0,Q4,2008-10-01,2008-12-31,,,1435000.0,-70349000.0,-29959000.0,60896000.0,2736000.0,53468000.0,2285000.0,90166000.0,76993000.0,-376982000.0,141748000.0,76993000.0,-376982000.0,141748000.0,-158241000.0,43793000.0,43793000.0,-17844000.0,-17421000.0,-409580000.0,,29862000.0,1963000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2008.0,FY,2008-01-01,2008-12-31,2011-03-29 19:14:08+00:00,0.0,1435000.0,,,221792000.0,51684000.0,189730000.0,13972000.0,162166000.0,177102000.0,-994659000.0,774519000.0,177102000.0,-994659000.0,774519000.0,-43038000.0,388396000.0,388396000.0,-26834000.0,225252000.0,-403209000.0,,-643134000.0,-224288000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2008.0,Q3,2008-07-01,2008-09-30,,,,11720000.0,6962000.0,56324000.0,-81000.0,133552000.0,1977000.0,,1464000.0,-235605000.0,262442000.0,1464000.0,-235605000.0,262442000.0,28301000.0,157548000.0,157548000.0,-84982000.0,3282000.0,4332000.0,,-239856000.0,-3795000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-09 17:11:37+00:00,,,70349000.0,29959000.0,160896000.0,48948000.0,136262000.0,11687000.0,72000000.0,100109000.0,-617677000.0,632771000.0,100109000.0,-617677000.0,632771000.0,115203000.0,344603000.0,344603000.0,-8990000.0,242673000.0,6371000.0,,-672996000.0,-226251000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 12:33:49+00:00,,,58629000.0,22997000.0,104572000.0,49029000.0,2710000.0,9710000.0,72000000.0,98645000.0,-382072000.0,370329000.0,98645000.0,-382072000.0,370329000.0,86902000.0,187055000.0,187055000.0,75992000.0,239391000.0,2039000.0,,-433140000.0,-222456000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:09:54+00:00,0.0,7215000.0,,,238323000.0,516814000.0,-61082000.0,12991000.0,1295827000.0,442637000.0,-969714000.0,530599000.0,442637000.0,-969714000.0,530599000.0,3522000.0,-75156000.0,-75156000.0,421299000.0,,-110777000.0,0.0,-1375751000.0,-866181000.0,0.0,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2009.0,Q4,2009-10-01,2009-12-31,,,7215000.0,,,61178000.0,213364000.0,-11273000.0,2396000.0,355000000.0,108061000.0,-233324000.0,124165000.0,108061000.0,-233324000.0,124165000.0,-1098000.0,3496000.0,3496000.0,63549000.0,,-101822000.0,,-344866000.0,-249335000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-09 16:37:34+00:00,,,,,177145000.0,303450000.0,-49809000.0,10595000.0,940827000.0,334576000.0,-736390000.0,406434000.0,334576000.0,-736390000.0,406434000.0,4620000.0,-78652000.0,-78652000.0,357750000.0,,-8955000.0,,-1030885000.0,-616846000.0,,,
Denbury Resources Inc,DNR,549300KCWA5W52MS5559,945764,2009.0,Q3TTM,2008-10-01,2009-09-30,,,1435000.0,-70349000.0,-29959000.0,238041000.0,306186000.0,3659000.0,12880000.0,1030993000.0,411569000.0,-1113372000.0,548182000.0,411569000.0,-1113372000.0,548182000.0,-153621000.0,-34859000.0,-34859000.0,339906000.0,-17421000.0,-418535000.0,,-1001023000.0,-614883000.0,,,
