company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
TransDigm Group Inc,TDG,,1260221,2008.0,FY,2007-10-01,2008-09-30,2010-11-15 16:57:57+00:00,-154160000.0,15099000.0,39918000.0,95099000.0,13252000.0,,,42879000.0,0.0,28525000.0,-165044000.0,189635000.0,28525000.0,-165044000.0,189635000.0,53116000.0,133126000.0,133126000.0,,-14721000.0,28525000.0,,0.0,-10884000.0,,0.0,,0.0
TransDigm Group Inc,TDG,,1260221,2009.0,Q4,2009-06-28,2009-09-30,,-88670000.0,4588000.0,10611000.0,29346000.0,3405000.0,,,22859000.0,,11090000.0,-92666000.0,68095000.0,11090000.0,-92666000.0,68095000.0,-13481000.0,41611000.0,41611000.0,,-4368000.0,11090000.0,,,-3996000.0,,,,
TransDigm Group Inc,TDG,,1260221,2009.0,FY,2008-10-01,2009-09-30,2011-11-18 11:44:09+00:00,-155233000.0,17179000.0,75306000.0,82247000.0,13593000.0,,,6903000.0,0.0,2381000.0,-168388000.0,197112000.0,2381000.0,-168388000.0,197112000.0,31105000.0,162902000.0,162902000.0,,-3465000.0,17623000.0,,,-13155000.0,,-15242000.0,,
TransDigm Group Inc,TDG,,1260221,2009.0,Q3YTD,2008-10-01,2009-06-27,2010-08-11 08:44:43+00:00,-66563000.0,12591000.0,64695000.0,52901000.0,10188000.0,,,-15956000.0,0.0,-8709000.0,-75722000.0,129017000.0,-8709000.0,-75722000.0,129017000.0,44586000.0,121291000.0,121291000.0,,903000.0,6533000.0,,0.0,-9159000.0,,-15242000.0,,
TransDigm Group Inc,TDG,,1260221,2010.0,FY,2009-10-01,2010-09-30,2012-11-16 14:29:28+00:00,-166557000.0,22657000.0,72498000.0,97713000.0,15086000.0,0.0,0.0,6871000.0,404248000.0,23200000.0,-176559000.0,197304000.0,23200000.0,-176559000.0,197304000.0,43945000.0,163445000.0,163445000.0,0.0,-10755000.0,23820000.0,,-404868000.0,-12887000.0,0.0,0.0,,2885000.0
TransDigm Group Inc,TDG,,1260221,2010.0,Q4,2010-07-04,2010-09-30,,-70643000.0,5485000.0,23375000.0,45928000.0,4054000.0,,,-18412000.0,,4456000.0,-70774000.0,42041000.0,4456000.0,-70774000.0,42041000.0,-24277000.0,50635000.0,50635000.0,,279000.0,4456000.0,,,-3016000.0,,,,2885000.0
TransDigm Group Inc,TDG,,1260221,2010.0,Q3YTD,2009-10-01,2010-07-03,2010-08-11 08:44:43+00:00,-95914000.0,17172000.0,49123000.0,51785000.0,11032000.0,,,25283000.0,404248000.0,18744000.0,-105785000.0,155263000.0,18744000.0,-105785000.0,155263000.0,68222000.0,112810000.0,112810000.0,,-11034000.0,19364000.0,,-404868000.0,-9871000.0,,0.0,,
TransDigm Group Inc,TDG,,1260221,2010.0,Q3TTM,2009-06-28,2010-07-03,,-184584000.0,21760000.0,59734000.0,81131000.0,14437000.0,,,48142000.0,404248000.0,29834000.0,-198451000.0,223358000.0,29834000.0,-198451000.0,223358000.0,54741000.0,154421000.0,154421000.0,,-15402000.0,30454000.0,,-404868000.0,-13867000.0,,,,
TransDigm Group Inc,TDG,,1260221,2010.0,Q3,2010-04-04,2010-07-03,,,5711000.0,21078000.0,6975000.0,3773000.0,,,27604000.0,404248000.0,2549000.0,-2941000.0,71432000.0,2549000.0,-2941000.0,71432000.0,71040000.0,44006000.0,44006000.0,,-9662000.0,-401699000.0,,,-2941000.0,,,,
TransDigm Group Inc,TDG,,1260221,2010.0,Q2YTD,2009-10-01,2010-04-03,2011-05-11 09:44:53+00:00,-95914000.0,11461000.0,28045000.0,44810000.0,7259000.0,0.0,,-2321000.0,0.0,16195000.0,-102844000.0,83831000.0,16195000.0,-102844000.0,83831000.0,-2818000.0,68804000.0,68804000.0,,-1372000.0,421063000.0,,-404868000.0,-6930000.0,0.0,,,
