company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 20:22:58+00:00,-2009200000.0,,313600000.0,96000000.0,185400000.0,283600000.0,103000000.0,-83300000.0,65400000.0,2312400000.0,1981100000.0,-1958100000.0,798100000.0,,,,1981100000.0,-1958100000.0,798100000.0,902900000.0,742100000.0,633000000.0,109100000.0,63000000.0,15000000.0,6800000.0,-21200000.0,-96600000.0,,-239300000.0,-16100000.0,-299000000.0,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2008.0,Q4,2008-10-01,2008-12-31,,-35000000.0,,35800000.0,51800000.0,58200000.0,10500000.0,-61800000.0,-69500000.0,2400000.0,6500000.0,-10600000.0,-139500000.0,211000000.0,,,,-10600000.0,-139500000.0,211000000.0,7700000.0,185800000.0,168300000.0,17500000.0,54000000.0,-5700000.0,-3600000.0,8600000.0,-31900000.0,,-111400000.0,18100000.0,,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 16:48:05+00:00,-276000000.0,,280000000.0,136000000.0,274000000.0,22000000.0,-74000000.0,-2000000.0,34000000.0,7000000.0,-1407000000.0,-502000000.0,1107000000.0,,,,-1407000000.0,-502000000.0,1107000000.0,-875000000.0,795000000.0,768000000.0,27000000.0,67000000.0,,0.0,1000000.0,-121000000.0,,-248000000.0,-1252000000.0,-75000000.0,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-02 19:45:31+00:00,-241000000.0,,244200000.0,84200000.0,215800000.0,11500000.0,-12200000.0,67500000.0,31600000.0,500000.0,-1396400000.0,-362500000.0,896000000.0,,,,-1396400000.0,-362500000.0,896000000.0,-882700000.0,609200000.0,599700000.0,9500000.0,13000000.0,5700000.0,3600000.0,-7600000.0,-89100000.0,,-136600000.0,-1270100000.0,-75000000.0,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-03 15:10:23+00:00,0.0,0.0,161300000.0,64300000.0,148600000.0,2300000.0,54800000.0,99500000.0,22000000.0,500000.0,-1191900000.0,-307000000.0,490200000.0,0.0,0.0,,-1191900000.0,-307000000.0,490200000.0,-962300000.0,392900000.0,395200000.0,-2300000.0,25900000.0,3500000.0,0.0,0.0,,0.0,0.0,-1146200000.0,,0.0,0.0
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2009.0,Q4,2009-10-01,2009-12-31,,34000000.0,,37000000.0,44000000.0,-149000000.0,-7000000.0,-19000000.0,-146000000.0,10000000.0,-4000000.0,67000000.0,75000000.0,-787000000.0,,,,67000000.0,75000000.0,-787000000.0,-399000000.0,184000000.0,-559000000.0,743000000.0,67000000.0,280000000.0,,265000000.0,-39000000.0,,48000000.0,-180000000.0,,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 17:16:53+00:00,0.0,,172000000.0,90000000.0,65000000.0,6000000.0,34000000.0,15000000.0,15000000.0,992000000.0,-497000000.0,-86000000.0,261000000.0,,,,-497000000.0,-86000000.0,261000000.0,-16000000.0,629000000.0,-111000000.0,740000000.0,292000000.0,280000000.0,0.0,272000000.0,-148000000.0,,-92000000.0,-1636000000.0,,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2009.0,Q3TTM,2008-10-01,2009-09-30,,-69000000.0,,170800000.0,97800000.0,272200000.0,23500000.0,-8800000.0,91500000.0,7400000.0,1002500000.0,-574600000.0,-300500000.0,1259000000.0,,,,-574600000.0,-300500000.0,1259000000.0,390700000.0,630800000.0,616300000.0,14500000.0,279000000.0,-5700000.0,-3600000.0,15600000.0,-140900000.0,,-251400000.0,-1437900000.0,,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2009.0,Q3,2009-07-01,2009-09-30,,1000000.0,,32000000.0,4000000.0,74000000.0,-1000000.0,38000000.0,140000000.0,3000000.0,2000000.0,-162000000.0,-57000000.0,502000000.0,,,,-162000000.0,-57000000.0,502000000.0,329000000.0,60000000.0,64000000.0,-4000000.0,224000000.0,1000000.0,-4000000.0,8000000.0,-39000000.0,,-53000000.0,-129000000.0,,,
ITT Inc,ITT,YB2O5TUONPB3W1X7WJ88,216228,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-01 16:35:51+00:00,-34000000.0,,135000000.0,46000000.0,214000000.0,13000000.0,53000000.0,161000000.0,5000000.0,996000000.0,-564000000.0,-161000000.0,1048000000.0,,,,-564000000.0,-161000000.0,1048000000.0,383000000.0,445000000.0,448000000.0,-3000000.0,225000000.0,0.0,0.0,7000000.0,-109000000.0,,-140000000.0,-1456000000.0,,,
