company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2012.0,FY,2012-01-01,2012-12-31,2015-03-02 09:35:45+00:00,-0.68,-0.68,-0.68,229000.0,86551000.0,-79399000.0,-79399000.0,-79399000.0,128768000.0,316933000.0,399000.0,119004000.0,59693000.0,128768000.0,188165000.0,,-2486000.0,265248000.0,-77083000.0,-2087000.0,-79170000.0,316933000.0,116800000.0,117401000.0,117401000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,FY,2013-01-01,2013-12-31,2016-02-29 07:01:57+00:00,-3.41,-3.41,-3.41,-1823000.0,316216000.0,-645323000.0,-645323000.0,-645323000.0,266718000.0,664890000.0,-3739000.0,593992000.0,123795000.0,266718000.0,398172000.0,7576000.0,,1034003000.0,-635831000.0,-11315000.0,-647146000.0,664890000.0,189200000.0,189510000.0,189510000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,Q4,2013-10-01,2013-12-31,,-2.4,-2.4,-2.4,-3317000.0,177305000.0,-511471000.0,-511471000.0,-511471000.0,112651000.0,242675000.0,-2009000.0,394848000.0,67547000.0,112651000.0,130024000.0,4830000.0,1727000.0,639700000.0,-509676000.0,-5112000.0,-514788000.0,242675000.0,189200000.0,189510000.0,189510000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,Q3YTD,2013-01-01,2013-09-30,,-1.01,-1.01,-1.01,1494000.0,138911000.0,-133852000.0,-133852000.0,-133852000.0,154067000.0,422215000.0,-1730000.0,199144000.0,56248000.0,154067000.0,268148000.0,2746000.0,-1727000.0,394303000.0,-126155000.0,-6203000.0,-132358000.0,422215000.0,134600000.0,133699000.0,133699000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,Q3,2013-07-01,2013-09-30,2014-11-06 16:06:42+00:00,-0.48,-0.48,-0.48,360000.0,61214000.0,-64601000.0,-64601000.0,-64601000.0,62239000.0,168580000.0,818000.0,87307000.0,21152000.0,62239000.0,106341000.0,,-1727000.0,169673000.0,-63332000.0,-909000.0,-64241000.0,168580000.0,134600000.0,133699000.0,133699000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,Q2YTD,2013-01-01,2013-06-30,,-0.53,-0.53,-0.53,1134000.0,77697000.0,-69251000.0,-69251000.0,-69251000.0,91828000.0,253635000.0,-2548000.0,111837000.0,35096000.0,91828000.0,161807000.0,2746000.0,,224630000.0,-62823000.0,-5294000.0,-68117000.0,253635000.0,132000000.0,132224000.0,132224000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,Q2,2013-04-01,2013-06-30,2014-08-11 16:42:04+00:00,-0.32,-0.32,-0.32,777000.0,45258000.0,-42225000.0,-42225000.0,-42225000.0,50573000.0,139292000.0,-1019000.0,64263000.0,18114000.0,50573000.0,88719000.0,1513000.0,,127635000.0,-38916000.0,-2532000.0,-41448000.0,139292000.0,132000000.0,132224000.0,132224000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2013.0,Q1,2013-01-01,2013-03-31,2014-05-08 16:59:34+00:00,-0.21,-0.21,-0.21,357000.0,32439000.0,-27026000.0,-27026000.0,-27026000.0,41255000.0,114343000.0,-1529000.0,47574000.0,16982000.0,41255000.0,73088000.0,1233000.0,,96995000.0,-23907000.0,-2762000.0,-26669000.0,114343000.0,128700000.0,127456000.0,127456000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2014.0,FY,2014-01-01,2014-12-31,2017-02-27 16:56:45+00:00,-0.96,-0.96,-0.96,-531000.0,614110000.0,-577820000.0,-577820000.0,-577820000.0,446309000.0,1403002000.0,-3567000.0,691543000.0,189906000.0,446309000.0,956693000.0,35918000.0,,1495559000.0,-538866000.0,-39485000.0,-578351000.0,1403002000.0,601900000.0,604990000.0,604990000.0
Twitter Inc,TWTR,549300I8RX485XMK6836,1418091,2014.0,Q4,2014-10-01,2014-12-31,,-0.2,-0.2,-0.2,3687000.0,203599000.0,-125352000.0,-125352000.0,-125352000.0,136613000.0,479078000.0,571000.0,181715000.0,55304000.0,136613000.0,342465000.0,27185000.0,3102000.0,440618000.0,-98153000.0,-23512000.0,-121665000.0,479078000.0,601900000.0,604990000.0,604990000.0
