company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
NRG Energy Inc,NRG,,1013871,2008.0,FY,,2008-12-31,2009-08-25 15:45:30+00:00,451000000.0,464000000.0,724000000.0,,310000000.0,284000000.0,,1494000000.0,0.0,4353000000.0,,201000000.0,1718000000.0,,815000000.0,7697000000.0,925000000.0,455000000.0,11545000000.0,7000000.0,,1190000000.0,,,,5569000000.0,4741000000.0,,,1313000000.0,1686000000.0,,,,247000000.0,510000000.0,2423000000.0,464000000.0,,24808000000.0,6263000000.0,8492000000.0,6581000000.0,7116000000.0,7123000000.0,17438000000.0,24808000000.0,4771000000.0,10857000000.0,853000000.0,-823000000.0
NRG Energy Inc,NRG,,1013871,2009.0,FY,,2009-12-31,2011-02-22 14:09:25+00:00,693000000.0,876000000.0,298000000.0,3052000000.0,416000000.0,300000000.0,,2304000000.0,0.0,4951000000.0,,197000000.0,1718000000.0,14616000000.0,1777000000.0,7847000000.0,409000000.0,541000000.0,11564000000.0,12000000.0,,1783000000.0,287000000.0,504000000.0,32000000.0,538000000.0,1796000000.0,,207000000.0,1198000000.0,1455000000.0,,,279000000.0,247000000.0,2000000.0,3332000000.0,571000000.0,1636000000.0,23378000000.0,7536000000.0,6208000000.0,3762000000.0,7685000000.0,7697000000.0,15434000000.0,23378000000.0,5606000000.0,11672000000.0,149000000.0,-1163000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q3,,2009-09-30,2009-11-02 15:49:07+00:00,725000000.0,1119000000.0,636000000.0,,320000000.0,296000000.0,,2250000000.0,0.0,4571000000.0,101000000.0,0.0,1718000000.0,,1942000000.0,8229000000.0,899000000.0,533000000.0,11610000000.0,12000000.0,,1572000000.0,,,,3707000000.0,3310000000.0,,,1574000000.0,2570000000.0,,,,247000000.0,501000000.0,3305000000.0,537000000.0,,25954000000.0,7414000000.0,8211000000.0,5208000000.0,7820000000.0,7832000000.0,17875000000.0,25954000000.0,6133000000.0,12667000000.0,406000000.0,-782000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q2,,2009-06-30,2009-08-25 15:45:30+00:00,857000000.0,1186000000.0,618000000.0,,372000000.0,292000000.0,,2282000000.0,0.0,4564000000.0,,46000000.0,1718000000.0,,2111000000.0,8294000000.0,846000000.0,530000000.0,11609000000.0,12000000.0,,1564000000.0,,,,5072000000.0,4664000000.0,,,1689000000.0,2415000000.0,,,,247000000.0,262000000.0,3033000000.0,453000000.0,,27305000000.0,7437000000.0,9332000000.0,6638000000.0,7843000000.0,7855000000.0,19203000000.0,27305000000.0,6364000000.0,12565000000.0,406000000.0,-532000000.0
NRG Energy Inc,NRG,,1013871,2010.0,FY,,2010-12-31,2012-02-28 13:33:40+00:00,783000000.0,734000000.0,307000000.0,3796000000.0,432000000.0,317000000.0,,2951000000.0,0.0,5326000000.0,,108000000.0,1868000000.0,16313000000.0,1776000000.0,8748000000.0,536000000.0,453000000.0,12517000000.0,17000000.0,,1989000000.0,322000000.0,384000000.0,0.0,731000000.0,2367000000.0,,192000000.0,2678000000.0,2980000000.0,,,296000000.0,248000000.0,8000000.0,3800000000.0,463000000.0,1964000000.0,26896000000.0,8055000000.0,7137000000.0,4220000000.0,8055000000.0,8072000000.0,18576000000.0,26896000000.0,7242000000.0,14356000000.0,,-1503000000.0
NRG Energy Inc,NRG,,1013871,2010.0,Q3,,2010-09-30,2010-11-04 12:34:43+00:00,765000000.0,904000000.0,650000000.0,,571000000.0,313000000.0,,3447000000.0,0.0,5319000000.0,,381000000.0,1713000000.0,,1541000000.0,9063000000.0,912000000.0,463000000.0,11844000000.0,17000000.0,,1747000000.0,,,,707000000.0,2529000000.0,,,2913000000.0,3345000000.0,,,,248000000.0,496000000.0,3817000000.0,157000000.0,2479000000.0,27419000000.0,8204000000.0,8496000000.0,4482000000.0,8204000000.0,8221000000.0,18950000000.0,27419000000.0,7079000000.0,14468000000.0,0.0,-1503000000.0
NRG Energy Inc,NRG,,1013871,2010.0,Q2,,2010-06-30,2010-08-13 12:48:10+00:00,690000000.0,909000000.0,623000000.0,,476000000.0,309000000.0,,2168000000.0,0.0,5314000000.0,,244000000.0,1716000000.0,,1626000000.0,7991000000.0,828000000.0,535000000.0,11793000000.0,17000000.0,,1768000000.0,,,,553000000.0,1794000000.0,,,2771000000.0,3227000000.0,,,,248000000.0,404000000.0,3596000000.0,179000000.0,1800000000.0,25103000000.0,8013000000.0,6369000000.0,3530000000.0,8013000000.0,8030000000.0,16825000000.0,25103000000.0,6941000000.0,13295000000.0,0.0,-1373000000.0
NRG Energy Inc,NRG,,1013871,2010.0,Q1,,2010-03-31,2010-05-10 12:11:17+00:00,595000000.0,700000000.0,588000000.0,,667000000.0,304000000.0,,1813000000.0,0.0,5277000000.0,,174000000.0,1713000000.0,,1686000000.0,7846000000.0,897000000.0,549000000.0,11627000000.0,12000000.0,,1925000000.0,,,,3540000000.0,2863000000.0,,,1513000000.0,1863000000.0,,,,247000000.0,540000000.0,3388000000.0,152000000.0,,24578000000.0,8009000000.0,7142000000.0,4372000000.0,8009000000.0,8021000000.0,16310000000.0,24578000000.0,5809000000.0,11938000000.0,0.0,-1323000000.0
NRG Energy Inc,NRG,,1013871,2011.0,Q3,,2011-09-30,2011-11-03 12:51:13+00:00,974000000.0,1042000000.0,527000000.0,,201000000.0,331000000.0,,1127000000.0,0.0,5351000000.0,,65000000.0,1859000000.0,0.0,1561000000.0,9208000000.0,576000000.0,320000000.0,12843000000.0,162000000.0,,1588000000.0,,327000000.0,,575000000.0,2348000000.0,,0.0,1256000000.0,1458000000.0,,,245000000.0,248000000.0,441000000.0,4099000000.0,81000000.0,2588000000.0,24760000000.0,7770000000.0,6338000000.0,3995000000.0,7770000000.0,7932000000.0,16580000000.0,24760000000.0,5579000000.0,12585000000.0,0.0,-1881000000.0
NRG Energy Inc,NRG,,1013871,2011.0,Q2,,2011-06-30,2011-08-04 12:41:24+00:00,842000000.0,1008000000.0,493000000.0,,305000000.0,326000000.0,,1939000000.0,0.0,5342000000.0,,101000000.0,1863000000.0,0.0,1589000000.0,8910000000.0,549000000.0,386000000.0,12283000000.0,158000000.0,,1709000000.0,,419000000.0,,514000000.0,1579000000.0,,0.0,2594000000.0,2710000000.0,,,298000000.0,248000000.0,145000000.0,4156000000.0,90000000.0,1749000000.0,25336000000.0,8170000000.0,6039000000.0,3105000000.0,8170000000.0,8328000000.0,16760000000.0,25336000000.0,7014000000.0,13655000000.0,0.0,-1633000000.0
NRG Energy Inc,NRG,,1013871,2011.0,Q1,,2011-03-31,2011-05-05 12:55:45+00:00,568000000.0,687000000.0,415000000.0,,363000000.0,322000000.0,,2711000000.0,0.0,5333000000.0,,137000000.0,1863000000.0,0.0,1686000000.0,8802000000.0,521000000.0,418000000.0,11579000000.0,0.0,,1812000000.0,,415000000.0,,464000000.0,1728000000.0,,0.0,2601000000.0,3260000000.0,,,311000000.0,248000000.0,13000000.0,3538000000.0,150000000.0,1774000000.0,25043000000.0,7601000000.0,6378000000.0,2998000000.0,7601000000.0,7601000000.0,17194000000.0,25043000000.0,7086000000.0,14196000000.0,0.0,-1633000000.0
NRG Energy Inc,NRG,,1013871,2012.0,Q3,,2012-09-30,2012-11-02 13:54:57+00:00,1246000000.0,1075000000.0,604000000.0,,-68000000.0,349000000.0,,1610000000.0,0.0,5391000000.0,,15000000.0,1886000000.0,,1188000000.0,10968000000.0,649000000.0,393000000.0,15866000000.0,485000000.0,,1092000000.0,,78000000.0,,174000000.0,2538000000.0,,,1170000000.0,1895000000.0,,,217000000.0,249000000.0,237000000.0,4002000000.0,374000000.0,2677000000.0,27220000000.0,7405000000.0,6383000000.0,4777000000.0,7405000000.0,7890000000.0,19081000000.0,27220000000.0,4971000000.0,14304000000.0,,-1920000000.0
NRG Energy Inc,NRG,,1013871,2012.0,Q2,,2012-06-30,2012-08-08 12:37:47+00:00,1350000000.0,1000000000.0,793000000.0,,-17000000.0,345000000.0,,1149000000.0,0.0,5386000000.0,,115000000.0,1886000000.0,,1256000000.0,10485000000.0,658000000.0,416000000.0,15318000000.0,430000000.0,,1147000000.0,,81000000.0,,206000000.0,3369000000.0,,,1402000000.0,2029000000.0,,,606000000.0,249000000.0,208000000.0,4026000000.0,71000000.0,3670000000.0,27856000000.0,7473000000.0,7255000000.0,5698000000.0,7473000000.0,7903000000.0,19704000000.0,27856000000.0,5283000000.0,14006000000.0,,-1922000000.0
NRG Energy Inc,NRG,,1013871,2012.0,Q1,,2012-03-31,2012-05-03 12:41:00+00:00,1080000000.0,716000000.0,619000000.0,,71000000.0,340000000.0,,1014000000.0,0.0,5377000000.0,,92000000.0,1886000000.0,,1340000000.0,10150000000.0,643000000.0,392000000.0,14376000000.0,330000000.0,,1300000000.0,,370000000.0,,697000000.0,5023000000.0,,,1457000000.0,1973000000.0,,,272000000.0,249000000.0,217000000.0,3777000000.0,71000000.0,5150000000.0,28530000000.0,7303000000.0,8458000000.0,6885000000.0,7303000000.0,7633000000.0,20648000000.0,28530000000.0,5696000000.0,13763000000.0,,-1922000000.0
NRG Energy Inc,NRG,,1013871,2013.0,Q3,,2013-09-30,2013-11-12 16:39:10+00:00,1140000000.0,1366000000.0,1033000000.0,,-129000000.0,290000000.0,,2129000000.0,0.0,7847000000.0,0.0,112000000.0,1953000000.0,,1141000000.0,15802000000.0,626000000.0,861000000.0,20600000000.0,833000000.0,1499000000.0,50000000.0,,76000000.0,,755000000.0,1186000000.0,,,1719000000.0,3209000000.0,,,442000000.0,249000000.0,307000000.0,4272000000.0,911000000.0,1389000000.0,34863000000.0,10048000000.0,7249000000.0,4382000000.0,10048000000.0,10881000000.0,23733000000.0,34863000000.0,7014000000.0,19351000000.0,,-1942000000.0
