company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
NRG Energy Inc,NRG,,1013871,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 17:17:24+00:00,2.16,2.16,,658000000.0,1.96,,377000000.0,573000000.0,556000000.0,17000000.0,518000000.0,0.0,3479000000.0,5989000000.0,,,55000000.0,,-17000000.0,55000000.0,,0.0,309000000.0,3479000000.0,2510000000.0,737000000.0,55000000.0,950000000.0,1560000000.0,-627000000.0,933000000.0,5989000000.0,239800000.0,240000000.0,288000000.0
NRG Energy Inc,NRG,,1013871,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 14:09:25+00:00,4.98,4.98,,649000000.0,4.43,,713000000.0,1225000000.0,1053000000.0,172000000.0,1170000000.0,0.0,3644000000.0,6885000000.0,,,17000000.0,,0.0,55000000.0,,0.0,319000000.0,3644000000.0,3241000000.0,583000000.0,59000000.0,968000000.0,2273000000.0,-507000000.0,1766000000.0,6885000000.0,234900000.0,235000000.0,275000000.0
NRG Energy Inc,NRG,,1013871,2008.0,Q3,2008-07-01,2008-09-30,2009-11-02 15:49:07+00:00,3.26,3.26,,156000000.0,2.81,,502000000.0,778000000.0,778000000.0,0.0,765000000.0,0.0,1010000000.0,2612000000.0,,,-7000000.0,,,13000000.0,,0.0,75000000.0,1010000000.0,1602000000.0,142000000.0,58000000.0,231000000.0,1371000000.0,-91000000.0,1280000000.0,2612000000.0,234700000.0,235000000.0,277000000.0
NRG Energy Inc,NRG,,1013871,2008.0,Q2,2008-04-01,2008-06-30,2009-08-25 15:45:30+00:00,0.48,0.48,,161000000.0,0.48,,-53000000.0,127000000.0,-41000000.0,168000000.0,113000000.0,0.0,1015000000.0,1316000000.0,,,12000000.0,,,14000000.0,,0.0,83000000.0,1015000000.0,301000000.0,144000000.0,-19000000.0,244000000.0,57000000.0,-151000000.0,-94000000.0,1316000000.0,235400000.0,236000000.0,236000000.0
NRG Energy Inc,NRG,,1013871,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 13:33:40+00:00,3.7,3.7,,818000000.0,3.44,0.0,728000000.0,941000000.0,941000000.0,,909000000.0,-1000000.0,5371000000.0,8952000000.0,,,-5000000.0,,0.0,33000000.0,,54000000.0,550000000.0,5371000000.0,3581000000.0,654000000.0,169000000.0,1422000000.0,2159000000.0,-490000000.0,1669000000.0,8952000000.0,245700000.0,246000000.0,271000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q4,2009-10-01,2009-12-31,,0.15,0.15,,224000000.0,0.16,,114000000.0,33000000.0,33000000.0,,27000000.0,,1436000000.0,2141000000.0,,,4000000.0,,,6000000.0,,25000000.0,142000000.0,1436000000.0,705000000.0,179000000.0,8000000.0,391000000.0,314000000.0,-167000000.0,147000000.0,2141000000.0,245700000.0,246000000.0,271000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 12:34:43+00:00,1.09,1.09,,212000000.0,1.02,,166000000.0,278000000.0,278000000.0,,272000000.0,0.0,1905000000.0,2916000000.0,,,5000000.0,,0.0,6000000.0,,6000000.0,182000000.0,1905000000.0,1011000000.0,178000000.0,6000000.0,400000000.0,611000000.0,-167000000.0,444000000.0,2916000000.0,249500000.0,249000000.0,272000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.54,3.54,0.11,594000000.0,3.54,,614000000.0,908000000.0,908000000.0,,882000000.0,-1000000.0,3935000000.0,6811000000.0,,,-9000000.0,,,27000000.0,,29000000.0,408000000.0,3935000000.0,2876000000.0,475000000.0,161000000.0,1031000000.0,1845000000.0,-323000000.0,1522000000.0,6811000000.0,249500000.0,249000000.0,272000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q2,2009-04-01,2009-06-30,2010-08-13 12:48:10+00:00,1.68,1.68,,213000000.0,1.56,,150000000.0,432000000.0,432000000.0,,426000000.0,-1000000.0,1251000000.0,2237000000.0,,,-11000000.0,,0.0,7000000.0,,23000000.0,131000000.0,1251000000.0,986000000.0,159000000.0,133000000.0,367000000.0,619000000.0,-37000000.0,582000000.0,2237000000.0,253600000.0,253000000.0,275000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.41,2.41,0.08,382000000.0,2.41,,448000000.0,630000000.0,630000000.0,,610000000.0,-1000000.0,2030000000.0,3895000000.0,,,-14000000.0,,,21000000.0,,23000000.0,226000000.0,2030000000.0,1865000000.0,297000000.0,155000000.0,631000000.0,1234000000.0,-156000000.0,1078000000.0,3895000000.0,253600000.0,253000000.0,275000000.0
NRG Energy Inc,NRG,,1013871,2009.0,Q1,2009-01-01,2009-03-31,2010-05-10 12:11:17+00:00,0.78,0.78,,169000000.0,0.7,,298000000.0,198000000.0,198000000.0,,184000000.0,,779000000.0,1658000000.0,,,-3000000.0,,0.0,14000000.0,,,95000000.0,779000000.0,879000000.0,138000000.0,22000000.0,264000000.0,615000000.0,-119000000.0,496000000.0,1658000000.0,235900000.0,237000000.0,275000000.0
NRG Energy Inc,NRG,,1013871,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 15:45:43+00:00,1.86,1.86,0.0,838000000.0,1.84,0.0,277000000.0,476000000.0,476000000.0,,468000000.0,,6128000000.0,8849000000.0,,,33000000.0,,-23000000.0,9000000.0,,0.0,598000000.0,6128000000.0,2721000000.0,632000000.0,44000000.0,1413000000.0,1308000000.0,-555000000.0,753000000.0,8849000000.0,251600000.0,252000000.0,254000000.0
NRG Energy Inc,NRG,,1013871,2010.0,Q4,2010-10-01,2010-12-31,,-0.06,-0.06,,218000000.0,-0.06,,6000000.0,476000000.0,476000000.0,,-240000000.0,1000000.0,1289000000.0,1816000000.0,714000000.0,491000000.0,-1000000.0,,,2000000.0,,,157000000.0,1289000000.0,527000000.0,163000000.0,3000000.0,375000000.0,152000000.0,-161000000.0,-9000000.0,1816000000.0,251600000.0,252000000.0,254000000.0
