company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,extraordinaryincome,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstonetincometocommon,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,propertyliabilityinsuranceclaims,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2007.0,FY,2007-01-01,2007-12-31,2010-02-22 17:15:24+00:00,92000000.0,3.49,3.49,,3.45,0.0,642000000.0,681000000.0,5212000000.0,3482000000.0,1261000000.0,1261000000.0,1261000000.0,,1730000000.0,954000000.0,-27000000.0,,,1333000000.0,1412000000.0,600000000.0,0.0,198000000.0,3256000000.0,1152000000.0,3482000000.0,5212000000.0,6433000000.0,6606000000.0,1903000000.0,8336000000.0,3388000000.0,361300000.0,360675000.0,365488000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 21:46:16+00:00,144000000.0,4.32,4.32,,4.3,,1031000000.0,1230000000.0,4879000000.0,2229000000.0,1811000000.0,1811000000.0,1789000000.0,,2650000000.0,1098000000.0,296000000.0,22000000.0,,2346000000.0,1252000000.0,,,421000000.0,3842000000.0,1467000000.0,2229000000.0,4879000000.0,7851000000.0,8043000000.0,2842000000.0,10693000000.0,3798000000.0,414100000.0,413182000.0,416100000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 14:08:03+00:00,34000000.0,1.1,1.1,0.24,1.09,0.0,369000000.0,246000000.0,1027000000.0,502000000.0,477000000.0,477000000.0,477000000.0,,525000000.0,267000000.0,347000000.0,,,572000000.0,324000000.0,0.0,0.0,30000000.0,1022000000.0,363000000.0,502000000.0,1027000000.0,1925000000.0,2246000000.0,846000000.0,2771000000.0,966000000.0,433600000.0,430872000.0,435030000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 20:44:46+00:00,33000000.0,1.36,1.36,0.24,1.35,0.0,283000000.0,352000000.0,1137000000.0,480000000.0,548000000.0,548000000.0,548000000.0,,657000000.0,279000000.0,9000000.0,,,437000000.0,357000000.0,,0.0,32000000.0,1060000000.0,320000000.0,480000000.0,1137000000.0,1841000000.0,2015000000.0,831000000.0,2672000000.0,977000000.0,402900000.0,402482000.0,406964000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q4,2009-10-01,2009-12-31,,32000000.0,1.15,1.15,-0.03,1.13,,182000000.0,83000000.0,877000000.0,180000000.0,498000000.0,498000000.0,498000000.0,,697000000.0,278000000.0,57000000.0,,,455000000.0,233000000.0,,35000000.0,9000000.0,791000000.0,270000000.0,180000000.0,877000000.0,1565000000.0,1583000000.0,680000000.0,2280000000.0,940000000.0,473100000.0,470602000.0,474003000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 06:22:22+00:00,136000000.0,-4.32,-4.32,,-4.31,-3684000000.0,722000000.0,570000000.0,3286000000.0,722000000.0,-1881000000.0,1803000000.0,-2044000000.0,,2564000000.0,1131000000.0,141000000.0,163000000.0,,1363000000.0,937000000.0,250000000.0,149000000.0,49000000.0,3037000000.0,1094000000.0,722000000.0,3286000000.0,5966000000.0,6076000000.0,2525000000.0,8640000000.0,3334000000.0,473100000.0,470602000.0,474003000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q3YTD,2009-01-01,2009-09-30,,104000000.0,-5.47,-5.47,0.03,-5.44,-3684000000.0,540000000.0,487000000.0,2409000000.0,542000000.0,-2379000000.0,1305000000.0,-2542000000.0,,1867000000.0,853000000.0,84000000.0,163000000.0,,908000000.0,704000000.0,250000000.0,114000000.0,40000000.0,2246000000.0,824000000.0,542000000.0,2409000000.0,4401000000.0,4493000000.0,1845000000.0,6360000000.0,2394000000.0,495500000.0,493453000.0,498290000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 12:37:18+00:00,36000000.0,0.66,0.66,0.01,0.66,,160000000.0,105000000.0,898000000.0,175000000.0,327000000.0,327000000.0,327000000.0,,723000000.0,283000000.0,42000000.0,,,334000000.0,264000000.0,250000000.0,16000000.0,11000000.0,819000000.0,269000000.0,175000000.0,898000000.0,1733000000.0,1513000000.0,487000000.0,2236000000.0,833000000.0,495500000.0,493453000.0,498290000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q2YTD,2009-01-01,2009-06-30,,68000000.0,-6.13,-6.13,0.02,-6.1,-3684000000.0,380000000.0,382000000.0,1511000000.0,367000000.0,-2706000000.0,978000000.0,-2869000000.0,,1144000000.0,570000000.0,42000000.0,163000000.0,,574000000.0,440000000.0,,98000000.0,29000000.0,1427000000.0,555000000.0,367000000.0,1511000000.0,2668000000.0,2980000000.0,1358000000.0,4124000000.0,1561000000.0,462800000.0,463196000.0,465814000.0
State Street Corp,STT,549300ZFEEJ2IP5VME73,93751,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:46:31+00:00,34000000.0,-7.16,-7.16,0.01,-7.12,-3684000000.0,242000000.0,201000000.0,773000000.0,193000000.0,-3182000000.0,502000000.0,-3314000000.0,,580000000.0,288000000.0,26000000.0,132000000.0,,334000000.0,210000000.0,,14000000.0,12000000.0,696000000.0,310000000.0,193000000.0,773000000.0,1364000000.0,1542000000.0,744000000.0,2122000000.0,795000000.0,462800000.0,463196000.0,465814000.0
